,what,was,french,population,in,north,america,?
the,0.42745697498321533,0.48711544275283813,0.2555147111415863,0.32044094800949097,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.22068053483963013
french,0.17393042147159576,0.2523815333843231,1.0000001192092896,0.16878677904605865,0.22093388438224792,0.14223402738571167,0.15473008155822754,0.1386883556842804
population,0.2000674307346344,0.1935066133737564,0.16878677904605865,1.0,0.3268454372882843,0.27665644884109497,0.14240096509456635,0.14449454843997955
numbered,0.23809881508350372,0.19551539421081543,0.10063035786151886,0.19016806781291962,0.22566960752010345,0.17977659404277802,0.18769685924053192,0.20463265478610992
about,0.47976887226104736,0.2577359974384308,0.1707664281129837,0.3066638112068176,0.39797019958496094,0.24974049627780914,0.24487876892089844,0.302409827709198
"75,000",0.030178425833582878,0.07242204248905182,0.05676037445664406,0.018443576991558075,0.13592486083507538,0.10619734227657318,0.014622129499912262,0.026292284950613976
and,0.31309178471565247,0.3740963041782379,0.32751965522766113,0.23080337047576904,0.4954058527946472,0.2776443064212799,0.2647855281829834,0.20544172823429108
was,0.22111038863658905,1.0000001192092896,0.2523815333843231,0.1935066133737564,0.45514053106307983,0.29020047187805176,0.2850865423679352,0.18412111699581146
heavily,0.22760839760303497,0.26897817850112915,0.17115521430969238,0.16033558547496796,0.20618461072444916,0.12851184606552124,0.11288569867610931,0.1724066138267517
concentrated,0.20476274192333221,0.22351744771003723,0.12643800675868988,0.25837063789367676,0.29073235392570496,0.17195402085781097,0.10370737314224243,0.11501483619213104
along,0.22421957552433014,0.24175575375556946,0.08793354034423828,0.1343231350183487,0.3603311777114868,0.28480100631713867,0.17035698890686035,0.17134909331798553
the,0.42745697498321533,0.48711544275283813,0.2555147111415863,0.32044094800949097,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.22068053483963013
st.,0.10219959169626236,0.17142929136753082,0.16073863208293915,0.008845075964927673,0.15931649506092072,0.19807133078575134,0.0663491040468216,0.13592876493930817
lawrence,0.17999349534511566,0.206548273563385,0.20269858837127686,0.15304172039031982,0.2335701733827591,0.17818567156791687,0.19407013058662415,0.1681434065103531
river,0.13815869390964508,0.15785206854343414,0.14718952775001526,0.24689015746116638,0.2149806171655655,0.3617013692855835,0.185702845454216,0.15390869975090027
valley,0.15729281306266785,0.21369484066963196,0.08975742012262344,0.2707141041755676,0.2723499834537506,0.34153690934181213,0.137581929564476,0.11486150324344635
",",0.3087472915649414,0.45456063747406006,0.28806620836257935,0.2967977225780487,0.5201468467712402,0.31834840774536133,0.253568559885025,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.1637353003025055,0.15404780209064484,0.4080928862094879,0.185934916138649,0.21664398908615112,0.2433311939239502
some,0.4491020441055298,0.21528802812099457,0.20150943100452423,0.2011595219373703,0.4010399878025055,0.18648658692836761,0.2816940248012543,0.2562315762042999
also,0.42747777700424194,0.4032125174999237,0.24775905907154083,0.21411414444446564,0.5073733329772949,0.24276778101921082,0.2576046884059906,0.21848613023757935
in,0.30808621644973755,0.45514053106307983,0.22093388438224792,0.3268454372882843,1.0,0.39050599932670593,0.3098583221435547,0.20430970191955566
acadia,0.15141341090202332,0.23227140307426453,0.31300926208496094,0.24670511484146118,0.24403652548789978,0.32672974467277527,0.2820838689804077,0.05178680270910263
(,0.2411840260028839,0.2980341613292694,0.19998501241207123,0.14130665361881256,0.3087427020072937,0.20408999919891357,0.20632019639015198,0.40561532974243164
present-day,0.3194306194782257,0.2928279638290405,0.18785600364208221,0.17648831009864807,0.3419967591762543,0.15883100032806396,0.25018808245658875,0.24972984194755554
new,0.2130378633737564,0.2748313844203949,0.1977054476737976,0.14427055418491364,0.3758552670478821,0.24270093441009521,0.27665242552757263,0.14782847464084625
brunswick,0.12715443968772888,0.20971423387527466,0.27702596783638,0.22712819278240204,0.26409289240837097,0.24193736910820007,0.1595214456319809,0.10656692087650299
and,0.31309178471565247,0.3740963041782379,0.32751965522766113,0.23080337047576904,0.4954058527946472,0.2776443064212799,0.2647855281829834,0.20544172823429108
parts,0.3415631353855133,0.239912748336792,0.15026190876960754,0.23396039009094238,0.3282690644264221,0.3013719618320465,0.2616206705570221,0.12310896813869476
of,0.33290785551071167,0.4069072902202606,0.19450366497039795,0.3060894012451172,0.5696388483047485,0.3604778051376343,0.28803038597106934,0.1826142966747284
nova,0.17516832053661346,0.14939220249652863,0.17582763731479645,0.14414136111736298,0.1719568967819214,0.1970871388912201,0.1737203598022461,0.11942808330059052
scotia,0.17493435740470886,0.17474716901779175,0.20548264682292938,0.17178583145141602,0.1699678599834442,0.25834083557128906,0.18307234346866608,0.10058031976222992
",",0.3087472915649414,0.45456063747406006,0.28806620836257935,0.2967977225780487,0.5201468467712402,0.31834840774536133,0.253568559885025,0.31091248989105225
including,0.18328791856765747,0.21884717047214508,0.19837699830532074,0.17400483787059784,0.35857823491096497,0.18914736807346344,0.23976942896842957,0.1633303165435791
île,0.19509828090667725,0.24158285558223724,0.47159719467163086,0.2775398790836334,0.263050377368927,0.3246922194957733,0.1787741333246231,0.14412149786949158
royale,0.13219782710075378,0.2904479503631592,0.3923526704311371,0.08666274696588516,0.26262378692626953,0.14590509235858917,0.14388170838356018,0.14304903149604797
(,0.2411840260028839,0.2980341613292694,0.19998501241207123,0.14130665361881256,0.3087427020072937,0.20408999919891357,0.20632019639015198,0.40561532974243164
present-day,0.3194306194782257,0.2928279638290405,0.18785600364208221,0.17648831009864807,0.3419967591762543,0.15883100032806396,0.25018808245658875,0.24972984194755554
cape,0.17391739785671234,0.18533015251159668,0.22227029502391815,0.1585557758808136,0.24917589128017426,0.3205409348011017,0.2878919839859009,0.10433043539524078
breton,0.19564233720302582,0.1756177544593811,0.4111041724681854,0.21887922286987305,0.2035631686449051,0.21225109696388245,0.1438790112733841,0.09257686883211136
island,0.1299295574426651,0.23908254504203796,0.16721321642398834,0.2735837399959564,0.24730545282363892,0.3212604522705078,0.22839805483818054,0.0887429490685463
),0.26259949803352356,0.3267642855644226,0.21857915818691254,0.1573704034090042,0.3326910734176636,0.19693730771541595,0.19718800485134125,0.42300865054130554
),0.26259949803352356,0.3267642855644226,0.21857915818691254,0.1573704034090042,0.3326910734176636,0.19693730771541595,0.19718800485134125,0.42300865054130554
.,0.3567904531955719,0.40146201848983765,0.2480926215648651,0.26950228214263916,0.5591574311256409,0.3171539604663849,0.29180291295051575,0.4130953550338745
