,what,does,it,mean,when,a,harmonic,series,diverges,?
however,0.4480680823326111,0.4463717043399811,0.467002272605896,0.3372284173965454,0.5574322938919067,0.38150349259376526,0.23186132311820984,0.19053401052951813,0.26371505856513977,0.2152075469493866
",",0.3087472915649414,0.28617382049560547,0.48329564929008484,0.27540135383605957,0.36674630641937256,0.427140474319458,0.2112172544002533,0.24060699343681335,0.2206672579050064,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,0.6251175999641418,0.25977957248687744,0.5091903209686279,0.5829201340675354,0.1936408430337906,0.31376904249191284,0.28587883710861206,0.22068053483963013
harmonic,0.18725574016571045,0.1904558688402176,0.21090440452098846,0.21249449253082275,0.21715116500854492,0.22735418379306793,1.0,0.17941921949386597,0.22067807614803314,0.16280938684940338
series,0.17328087985515594,0.11163214594125748,0.20531252026557922,0.1184258759021759,0.2194245308637619,0.23966510593891144,0.17941921949386597,1.0000001192092896,0.22355394065380096,0.1709602326154709
1,-0.21266892552375793,-0.24693645536899567,-0.14533983170986176,-0.23362956941127777,-0.2683585286140442,-0.20817746222019196,-0.19816921651363373,-0.265503853559494,-0.0530284158885479,-0.249979168176651
+,0.1158081665635109,0.23111866414546967,0.20689484477043152,0.18954703211784363,0.15157148241996765,0.10495228320360184,0.1641136258840561,0.19023436307907104,0.12344256788492203,0.2903686463832855
1/2,0.0010635468643158674,0.025822414085268974,0.06910163164138794,0.02840566448867321,0.07046506553888321,0.07917226105928421,-0.01838422566652298,0.03202622011303902,-0.03207879140973091,-0.022870099171996117
+,0.1158081665635109,0.23111866414546967,0.20689484477043152,0.18954703211784363,0.15157148241996765,0.10495228320360184,0.1641136258840561,0.19023436307907104,0.12344256788492203,0.2903686463832855
1/3,-0.3255644738674164,-0.22378350794315338,-0.3867921829223633,-0.1118665263056755,-0.3837752044200897,-0.29937878251075745,-0.1128760278224945,-0.06527812033891678,-0.1252700388431549,-0.17796869575977325
+,0.1158081665635109,0.23111866414546967,0.20689484477043152,0.18954703211784363,0.15157148241996765,0.10495228320360184,0.1641136258840561,0.19023436307907104,0.12344256788492203,0.2903686463832855
1/4,0.12268650531768799,0.11163291335105896,0.25360146164894104,0.12240394949913025,0.186927929520607,0.2040160745382309,0.06815354526042938,0.20688743889331818,0.14470060169696808,0.07317571341991425
+,0.1158081665635109,0.23111866414546967,0.20689484477043152,0.18954703211784363,0.15157148241996765,0.10495228320360184,0.1641136258840561,0.19023436307907104,0.12344256788492203,0.2903686463832855
