,which,of,the,three,heavily,populated,areas,has,the,least,number,of,inhabitants,?
out,0.37864550948143005,0.34176841378211975,0.39404502511024475,0.25204190611839294,0.1396830528974533,0.19176863133907318,0.2758319079875946,0.30727511644363403,0.39404502511024475,0.25487110018730164,0.21289682388305664,0.34176841378211975,0.14867420494556427,0.22020699083805084
of,0.5011631846427917,1.0,0.733189046382904,0.3844621181488037,0.15830223262310028,0.2850462794303894,0.2803763747215271,0.3909035325050354,0.733189046382904,0.32696738839149475,0.2778518795967102,1.0,0.26628780364990234,0.1826142966747284
these,0.5959210991859436,0.42684608697891235,0.49086877703666687,0.462976336479187,0.27255409955978394,0.2868542969226837,0.4205722212791443,0.32906898856163025,0.49086877703666687,0.39996781945228577,0.3956935405731201,0.42684608697891235,0.1624470055103302,0.2571668326854706
",",0.3658004403114319,0.4946078956127167,0.4933079481124878,0.3347506821155548,0.22766776382923126,0.3050559461116791,0.2789289653301239,0.3734780251979828,0.4933079481124878,0.28584957122802734,0.2535701394081116,0.4946078956127167,0.2508344054222107,0.31091248989105225
three,0.40919098258018494,0.3844621181488037,0.43452659249305725,1.0,0.14734365046024323,0.18489620089530945,0.22901685535907745,0.3388388752937317,0.43452659249305725,0.41469037532806396,0.37020018696784973,0.3844621181488037,0.20202995836734772,0.20928427577018738
are,0.42922598123550415,0.39081433415412903,0.40399202704429626,0.38895705342292786,0.2218887358903885,0.3164038062095642,0.4082777500152588,0.4313911199569702,0.40399202704429626,0.3839871287345886,0.3537501394748688,0.39081433415412903,0.2401406168937683,0.24591213464736938
heavy,0.2966303825378418,0.24240271747112274,0.2532151937484741,0.20963029563426971,0.42185014486312866,0.111986443400383,0.21509967744350433,0.19209274649620056,0.2532151937484741,0.16462455689907074,0.16165024042129517,0.24240271747112274,0.09275253862142563,0.16717074811458588
populated,0.26438772678375244,0.2850462794303894,0.33048298954963684,0.18489620089530945,0.28477564454078674,0.9999998807907104,0.4309711754322052,0.3057844042778015,0.33048298954963684,0.3360592722892761,0.19611872732639313,0.2850462794303894,0.5796582698822021,0.20106194913387299
areas,0.34350457787513733,0.2803763747215271,0.3311663568019867,0.22901685535907745,0.3179628252983093,0.4309711754322052,0.9999999403953552,0.26786115765571594,0.3311663568019867,0.31586068868637085,0.21285976469516754,0.2803763747215271,0.3510858714580536,0.1273590475320816
:,-0.11049769818782806,-0.08807745575904846,-0.03403344005346298,0.07388566434383392,0.00479885796085,-0.039543863385915756,-0.09025382995605469,-0.02031770534813404,-0.03403344005346298,-0.016686351969838142,0.028673168271780014,-0.08807745575904846,0.04957464337348938,-0.07156077772378922
the,0.6521818041801453,0.733189046382904,1.0,0.43452659249305725,0.2549211382865906,0.33048298954963684,0.3311663568019867,0.4177538752555847,1.0,0.3428877890110016,0.35145696997642517,0.733189046382904,0.2644902467727661,0.22068053483963013
los,0.15805238485336304,0.17343297600746155,0.2502395510673523,0.23073403537273407,0.1390918642282486,0.172007754445076,0.13785625994205475,0.14173460006713867,0.2502395510673523,0.12338894605636597,0.11575766652822495,0.17343297600746155,0.19953778386116028,0.15495611727237701
angeles,0.15751682221889496,0.16643567383289337,0.24588194489479065,0.21823973953723907,0.14068301022052765,0.15736684203147888,0.13989020884037018,0.14982153475284576,0.24588194489479065,0.15667934715747833,0.1185809001326561,0.16643567383289337,0.16632404923439026,0.16139166057109833
area,0.3276861011981964,0.3409860134124756,0.37834644317626953,0.1964956521987915,0.1967373788356781,0.5160993337631226,0.6056747436523438,0.3084876537322998,0.37834644317626953,0.24625268578529358,0.25521284341812134,0.3409860134124756,0.506601095199585,0.12640461325645447
with,0.46403205394744873,0.41827285289764404,0.4223487675189972,0.35964319109916687,0.21823829412460327,0.21451330184936523,0.2644236087799072,0.44092974066734314,0.4223487675189972,0.2754864990711212,0.2513769268989563,0.41827285289764404,0.2266433835029602,0.2433311939239502
over,0.4256240129470825,0.36136594414711,0.39856547117233276,0.2890925109386444,0.23940697312355042,0.22114498913288116,0.30211585760116577,0.370955228805542,0.39856547117233276,0.40478515625,0.3201165199279785,0.36136594414711,0.14671184122562408,0.25742942094802856
12,0.28720608353614807,0.2886716425418854,0.28907760977745056,0.1218995600938797,0.2112468034029007,0.27408862113952637,0.2019481658935547,0.23230086266994476,0.28907760977745056,0.195585235953331,0.09167207777500153,0.2886716425418854,0.28194862604141235,0.10021790862083435
million,0.30525195598602295,0.21686489880084991,0.277012437582016,0.282323956489563,0.17815646529197693,0.24548929929733276,0.18135081231594086,0.2611117959022522,0.277012437582016,0.2883831560611725,0.2546447515487671,0.21686489880084991,0.3006707429885864,0.23092924058437347
inhabitants,0.18075451254844666,0.26628780364990234,0.2644902467727661,0.20202995836734772,0.17495062947273254,0.5796582698822021,0.3510858714580536,0.30085715651512146,0.2644902467727661,0.20652435719966888,0.1343778371810913,0.26628780364990234,1.0000001192092896,0.1312350630760193
",",0.3658004403114319,0.4946078956127167,0.4933079481124878,0.3347506821155548,0.22766776382923126,0.3050559461116791,0.2789289653301239,0.3734780251979828,0.4933079481124878,0.28584957122802734,0.2535701394081116,0.4946078956127167,0.2508344054222107,0.31091248989105225
the,0.6521818041801453,0.733189046382904,1.0,0.43452659249305725,0.2549211382865906,0.33048298954963684,0.3311663568019867,0.4177538752555847,1.0,0.3428877890110016,0.35145696997642517,0.733189046382904,0.2644902467727661,0.22068053483963013
riverside-san,0.276614785194397,0.31087252497673035,0.3030746281147003,0.19395926594734192,0.22020377218723297,0.29773834347724915,0.2846696972846985,0.2700432538986206,0.3030746281147003,0.18209990859031677,0.1914738118648529,0.31087252497673035,0.270997554063797,0.12295176833868027
bernardino,0.20370326936244965,0.26093193888664246,0.2722903788089752,0.20940780639648438,0.1346561759710312,0.2525938153266907,0.23764747381210327,0.207108274102211,0.2722903788089752,0.1916893869638443,0.14686547219753265,0.26093193888664246,0.2477593719959259,0.11443846672773361
area,0.3276861011981964,0.3409860134124756,0.37834644317626953,0.1964956521987915,0.1967373788356781,0.5160993337631226,0.6056747436523438,0.3084876537322998,0.37834644317626953,0.24625268578529358,0.25521284341812134,0.3409860134124756,0.506601095199585,0.12640461325645447
