,from,whom,did,the,huguenots,purchase,the,land,where,they,settled,?
they,0.3321932256221771,0.3403101861476898,0.4879390597343445,0.49925389885902405,0.2739465832710266,0.23147565126419067,0.49925389885902405,0.2857455909252167,0.43078136444091797,0.9999999403953552,0.3296305239200592,0.2753053903579712
purchased,0.22290094196796417,0.20355424284934998,0.19566655158996582,0.21101699769496918,0.17680275440216064,0.8427236080169678,0.21101699769496918,0.32915952801704407,0.19298864901065826,0.2122780680656433,0.31834179162979126,0.04121813923120499
from,1.0,0.19855497777462006,0.20248863101005554,0.40150508284568787,0.17123448848724365,0.2239561676979065,0.40150508284568787,0.21997374296188354,0.3713873624801636,0.3321932256221771,0.24865834414958954,0.19969791173934937
john,0.16657888889312744,0.22666244208812714,0.18785913288593292,0.2230520099401474,0.2669491469860077,0.21469265222549438,0.2230520099401474,0.17226485908031464,0.12403866648674011,0.1480495035648346,0.1307186633348465,0.13162356615066528
pell,0.2292439490556717,0.14661236107349396,0.09840396046638489,0.2187959849834442,0.1625925898551941,0.25384196639060974,0.2187959849834442,0.11226582527160645,0.10019591450691223,0.09262954443693161,0.007781880907714367,0.11566035449504852
",",0.39760664105415344,0.25587570667266846,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.220005065202713,0.4933079481124878,0.22220008075237274,0.3149496018886566,0.390799880027771,0.32133597135543823,0.31091248989105225
lord,0.13435690104961395,0.2091442495584488,0.16158217191696167,0.2489406019449234,0.2192465364933014,0.11038637161254883,0.2489406019449234,0.2138616442680359,0.14689426124095917,0.13981278240680695,0.14653411507606506,0.09544310718774796
of,0.4249346852302551,0.2070929855108261,0.2513895630836487,0.733189046382904,0.27577435970306396,0.21814467012882233,0.733189046382904,0.3057127296924591,0.38066378235816956,0.3426007330417633,0.28296858072280884,0.1826142966747284
pelham,0.1900414228439331,0.2750714421272278,0.1483970731496811,0.23714900016784668,0.33374476432800293,0.19764946401119232,0.23714900016784668,0.19591379165649414,0.20001812279224396,0.13734214007854462,0.1403493732213974,0.14169710874557495
manor,0.16483399271965027,0.15352164208889008,0.2378610074520111,0.24105635285377502,0.29628151655197144,0.2388308048248291,0.24105635285377502,0.29144203662872314,0.2110474407672882,0.19195950031280518,0.22430305182933807,0.13017193973064423
",",0.39760664105415344,0.25587570667266846,0.3015086054801941,0.4933079481124878,0.23394492268562317,0.220005065202713,0.4933079481124878,0.22220008075237274,0.3149496018886566,0.390799880027771,0.32133597135543823,0.31091248989105225
a,0.322764128446579,0.21455949544906616,0.2552328109741211,0.5829201340675354,0.20410758256912231,0.24305202066898346,0.5829201340675354,0.247930645942688,0.40997210144996643,0.3528250455856323,0.24018414318561554,0.23916715383529663
tract,0.25547346472740173,0.1432003378868103,0.06217226758599281,0.2717020511627197,0.1573118418455124,0.18706315755844116,0.2717020511627197,0.21285699307918549,0.2060415893793106,0.25846877694129944,0.221893310546875,0.1459975689649582
of,0.4249346852302551,0.2070929855108261,0.2513895630836487,0.733189046382904,0.27577435970306396,0.21814467012882233,0.733189046382904,0.3057127296924591,0.38066378235816956,0.3426007330417633,0.28296858072280884,0.1826142966747284
land,0.21997374296188354,0.1605973243713379,0.19881628453731537,0.28587454557418823,0.2369009107351303,0.307309091091156,0.28587454557418823,1.0000001192092896,0.21639515459537506,0.2857455909252167,0.3647042214870453,0.1432059109210968
consisting,0.19961416721343994,0.11745359003543854,0.08322962373495102,0.33371514081954956,0.12272358685731888,0.13211055099964142,0.33371514081954956,0.1400213986635208,0.1473727971315384,0.2708646357059479,0.20952458679676056,0.006223649252206087
