,how,often,does,doctor,who,travel,by,himself,?
the,0.33890387415885925,0.38004449009895325,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.2857808768749237,0.4408751428127289,0.24642214179039001,0.22068053483963013
doctor,0.2004029005765915,0.18360058963298798,0.17192082107067108,0.9999999403953552,0.3504868149757385,0.27298468351364136,0.13681447505950928,0.2183612734079361,0.1462511420249939
rarely,0.27430808544158936,0.584110677242279,0.37868085503578186,0.18008020520210266,0.3270801901817322,0.20233745872974396,0.21634702384471893,0.22722570598125458,0.23009803891181946
travels,0.19710026681423187,0.24539287388324738,0.21149297058582306,0.3345279097557068,0.20237360894680023,0.7555403113365173,0.22568337619304657,0.1662110835313797,0.06471772491931915
alone,0.3223377764225006,0.32738029956817627,0.2488425225019455,0.1927599459886551,0.3550184369087219,0.24827264249324799,0.24745671451091766,0.2830081284046173,0.25589054822921753
and,0.33647966384887695,0.42465832829475403,0.3461615741252899,0.21673844754695892,0.41279885172843933,0.24324584007263184,0.4289871156215668,0.23012475669384003,0.20544172823429108
often,0.41107481718063354,1.0000001192092896,0.33894720673561096,0.18360058963298798,0.393799751996994,0.2515290379524231,0.32333052158355713,0.21881087124347687,0.23748154938220978
brings,0.26016873121261597,0.23114849627017975,0.35607877373695374,0.13749909400939941,0.22582361102104187,0.3047795593738556,0.16752703487873077,0.18199358880519867,0.21409378945827484
one,0.3213292360305786,0.3808180093765259,0.2924913763999939,0.17397142946720123,0.40083858370780945,0.23293714225292206,0.29445651173591614,0.20777113735675812,0.2673267424106598
or,0.3378981947898865,0.5791526436805725,0.4248845875263214,0.21396701037883759,0.31144875288009644,0.22116240859031677,0.30274316668510437,0.180548295378685,0.32389625906944275
more,0.4319567084312439,0.406600683927536,0.2897747755050659,0.16165468096733093,0.31567877531051636,0.24872469902038574,0.2627272307872772,0.1691901832818985,0.27894994616508484
companions,0.19656947255134583,0.24905094504356384,0.19669736921787262,0.4105963706970215,0.35028961300849915,0.3394117057323456,0.24363431334495544,0.2617400586605072,0.14333169162273407
to,0.44169697165489197,0.4351843297481537,0.4391997456550598,0.22950075566768646,0.42656609416007996,0.324314147233963,0.33534231781959534,0.2758015990257263,0.29463258385658264
share,0.2350335270166397,0.2049550712108612,0.2503064274787903,0.08300356566905975,0.22441379725933075,0.20518581569194794,0.1474302113056183,0.0387558750808239,0.1754547506570816
these,0.41104358434677124,0.5577440857887268,0.31633180379867554,0.19513088464736938,0.34544891119003296,0.23588408529758453,0.33332425355911255,0.1880190223455429,0.2571668326854706
adventures,0.15217673778533936,0.23380984365940094,0.17038972675800323,0.283301442861557,0.2170078009366989,0.3039359748363495,0.14275753498077393,0.17897279560565948,0.15214234590530396
.,0.3287222981452942,0.30710849165916443,0.3022993505001068,0.22361043095588684,0.3541337847709656,0.22954578697681427,0.3936232924461365,0.16836950182914734,0.4130953550338745
