,where,did,jochi,remain,after,genghis,khan,sent,for,his,sons,in,the,spring,of,1223,?
rashid,0.13359053432941437,0.1569824069738388,0.4033265709877014,0.11679300665855408,0.19823476672172546,0.5395623445510864,0.5313112139701843,0.16285046935081482,0.15200069546699524,0.2843000888824463,0.24418935179710388,0.17496392130851746,0.2683787941932678,0.1563531756401062,0.23865948617458344,0.12775039672851562,0.1572933793067932
al-din,0.1480787992477417,0.16765311360359192,0.3025204837322235,0.16703194379806519,0.220445916056633,0.3038869798183441,0.3048354685306549,0.09245668351650238,0.15153868496418,0.24501490592956543,0.1709669530391693,0.1995939165353775,0.17545713484287262,0.15649983286857605,0.11196931451559067,0.14142683148384094,0.2989424467086792
reports,0.18060199916362762,0.32930049300193787,0.14483222365379333,0.18474726378917694,0.20304466784000397,0.15331675112247467,0.133901447057724,0.27032706141471863,0.24826116859912872,0.21889199316501617,0.0900934562087059,0.2124374359846115,0.2622474431991577,0.13724389672279358,0.27564457058906555,0.2242744266986847,0.23746368288993835
that,0.4876193106174469,0.47518548369407654,0.11676155030727386,0.36095982789993286,0.373811811208725,0.21352417767047882,0.14077997207641602,0.2519396245479584,0.4137635827064514,0.3173833191394806,0.12536194920539856,0.435920387506485,0.5473989248275757,0.2511378526687622,0.41498205065727234,0.05157904699444771,0.32716336846351624
the,0.5003893971443176,0.34736719727516174,0.19898229837417603,0.33184581995010376,0.4565047025680542,0.3448939025402069,0.21067845821380615,0.3010627329349518,0.4739971458911896,0.4394008219242096,0.16342225670814514,0.6662389636039734,1.0,0.316989928483963,0.733189046382904,0.04458068683743477,0.22068053483963013
great,0.17954127490520477,0.2083706259727478,0.0964270681142807,0.11335387080907822,0.22460803389549255,0.3619271516799927,0.22385743260383606,0.1015208512544632,0.19302397966384888,0.27059897780418396,0.13464553654193878,0.23348836600780487,0.2822027802467346,0.19272463023662567,0.3168134391307831,-0.04140002653002739,0.13135133683681488
khan,0.1568954735994339,0.155345618724823,0.30853474140167236,0.07578112930059433,0.1264270693063736,0.5896923542022705,1.0,0.20124854147434235,0.13388998806476593,0.26570460200309753,0.2521197199821472,0.1527150720357895,0.21067845821380615,0.11125382781028748,0.17124508321285248,0.02848144620656967,0.12862591445446014
sent,0.3384990990161896,0.3411059081554413,0.16180020570755005,0.13135404884815216,0.29600438475608826,0.23061181604862213,0.20124854147434235,1.0,0.27045202255249023,0.2945024371147156,0.2689269185066223,0.25609636306762695,0.3010627329349518,0.09066452831029892,0.28923630714416504,0.05527964234352112,0.10903520882129669
for,0.38599511981010437,0.318512886762619,0.17153716087341309,0.20373035967350006,0.3650246858596802,0.14123353362083435,0.13388998806476593,0.27045202255249023,0.9999999403953552,0.39312878251075745,0.1313200145959854,0.4322226941585541,0.4739971458911896,0.18597541749477386,0.4185989499092102,0.12040726095438004,0.264628142118454
his,0.29880598187446594,0.3546801507472992,0.22831186652183533,0.24470192193984985,0.41949746012687683,0.3744826912879944,0.26570460200309753,0.2945024371147156,0.39312878251075745,0.9999998807907104,0.3316914141178131,0.3598145842552185,0.4394008219242096,0.21079818904399872,0.38364991545677185,-0.03868246078491211,0.18075084686279297
