,if,the,tops,of,the,rock,units,within,the,folds,remain,pointing,upwards,",",they,are,called,what,?
if,1.0,0.33724796772003174,0.20639166235923767,0.2557544410228729,0.33724796772003174,0.12996108829975128,0.19252674281597137,0.3103365898132324,0.33724796772003174,0.25901052355766296,0.32075235247612,0.33548396825790405,0.3277946710586548,0.257730096578598,0.4092397689819336,0.32547882199287415,0.26625341176986694,0.5277165174484253,0.4441644251346588
the,0.33724796772003174,1.0,0.18722869455814362,0.733189046382904,1.0,0.23786304891109467,0.2691343426704407,0.39827480912208557,1.0,0.25519511103630066,0.33184581995010376,0.3205399215221405,0.31046444177627563,0.4933079481124878,0.49925389885902405,0.40399202704429626,0.489897221326828,0.42745697498321533,0.22068053483963013
tops,0.20639166235923767,0.18722869455814362,1.0000001192092896,0.10300387442111969,0.18722869455814362,0.20669826865196228,0.31260061264038086,0.23943191766738892,0.18722869455814362,0.28907325863838196,0.2208191454410553,0.19445636868476868,0.3437305986881256,0.23602932691574097,0.2524183392524719,0.22166986763477325,0.18917615711688995,0.1631266325712204,0.15181536972522736
of,0.2557544410228729,0.733189046382904,0.10300387442111969,1.0,0.733189046382904,0.2653365731239319,0.2597769498825073,0.39594778418540955,0.733189046382904,0.18923333287239075,0.29009148478507996,0.25666725635528564,0.24629409611225128,0.4946078956127167,0.3426007330417633,0.39081433415412903,0.4222904443740845,0.33290785551071167,0.1826142966747284
the,0.33724796772003174,1.0,0.18722869455814362,0.733189046382904,1.0,0.23786304891109467,0.2691343426704407,0.39827480912208557,1.0,0.25519511103630066,0.33184581995010376,0.3205399215221405,0.31046444177627563,0.4933079481124878,0.49925389885902405,0.40399202704429626,0.489897221326828,0.42745697498321533,0.22068053483963013
rock,0.12996108829975128,0.23786304891109467,0.20669826865196228,0.2653365731239319,0.23786304891109467,1.0,0.1478174924850464,0.19510747492313385,0.23786304891109467,0.29007160663604736,0.1829712688922882,0.14647017419338226,0.22769123315811157,0.2775712311267853,0.23386521637439728,0.2232755869626999,0.20767638087272644,0.1923677921295166,0.13172835111618042
units,0.19252674281597137,0.2691343426704407,0.31260061264038086,0.2597769498825073,0.2691343426704407,0.1478174924850464,1.0,0.3089343011379242,0.2691343426704407,0.12654806673526764,0.17360036075115204,0.11325483024120331,0.20826438069343567,0.20803093910217285,0.27152952551841736,0.2583767771720886,0.18275466561317444,0.1804584264755249,0.089388407766819
within,0.3103365898132324,0.39827480912208557,0.23943191766738892,0.39594778418540955,0.39827480912208557,0.19510747492313385,0.3089343011379242,1.0,0.39827480912208557,0.23191618919372559,0.35436108708381653,0.19680869579315186,0.25402551889419556,0.2513136863708496,0.2779225707054138,0.3069663643836975,0.24071745574474335,0.2498195916414261,0.1870293766260147
the,0.33724796772003174,1.0,0.18722869455814362,0.733189046382904,1.0,0.23786304891109467,0.2691343426704407,0.39827480912208557,1.0,0.25519511103630066,0.33184581995010376,0.3205399215221405,0.31046444177627563,0.4933079481124878,0.49925389885902405,0.40399202704429626,0.489897221326828,0.42745697498321533,0.22068053483963013
folds,0.25901052355766296,0.25519511103630066,0.28907325863838196,0.18923333287239075,0.25519511103630066,0.29007160663604736,0.12654806673526764,0.23191618919372559,0.25519511103630066,0.9999999403953552,0.2223273664712906,0.24826718866825104,0.45265236496925354,0.19349488615989685,0.386417955160141,0.3868755102157593,0.2961066961288452,0.17123739421367645,0.14088325202465057
