,what,did,luther,call,good,works,that,existed,solely,to,attract,god,'s,favor,?
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.2520289719104767,0.2152448445558548,0.2656683027744293,0.435920387506485,0.2661771774291992,0.16969463229179382,0.45010748505592346,0.2206280380487442,0.1355067938566208,-0.037580832839012146,0.2092810571193695,0.20430970191955566
this,0.5489566326141357,0.3609912693500519,0.17328955233097076,0.3195565938949585,0.4312455356121063,0.2975098788738251,0.6909449696540833,0.3076931834220886,0.39019930362701416,0.5759071707725525,0.26785042881965637,0.23806245625019073,0.02106832154095173,0.32531973719596863,0.3155723512172699
work,0.3762225806713104,0.336654931306839,0.15580131113529205,0.23327617347240448,0.3610139489173889,0.6060804724693298,0.34257015585899353,0.1490267664194107,0.22422592341899872,0.3482864499092102,0.15176419913768768,0.15446507930755615,-0.03332063928246498,0.1705312430858612,0.2621155381202698
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.2670435905456543,0.3217065632343292,0.29211118817329407,0.4137537479400635,0.24464987218379974,0.19012796878814697,0.44245919585227966,0.1846245676279068,0.24755379557609558,-0.0016132977325469255,0.2809197008609772,0.31091248989105225
one,0.376489520072937,0.27659472823143005,0.1255420446395874,0.196565642952919,0.325741171836853,0.2639932632446289,0.5133185982704163,0.31257715821266174,0.2972829341888428,0.4025384783744812,0.2940044105052948,0.23624882102012634,0.06913424283266068,0.22554010152816772,0.2673267424106598
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.2378445267677307,0.2696770131587982,0.1964656114578247,0.41498205065727234,0.2990404963493347,0.25502604246139526,0.41548454761505127,0.22641630470752716,0.2159487009048462,-0.03817026689648628,0.25472742319107056,0.1826142966747284
his,0.26976513862609863,0.3546801507472992,0.27093374729156494,0.08363278955221176,0.2863979637622833,0.32648009061813354,0.3173833191394806,0.16388000547885895,0.2705177366733551,0.3715193271636963,0.14983510971069336,0.23519068956375122,0.047556519508361816,0.26858577132225037,0.18075084686279297
most,0.3219912350177765,0.2822507321834564,0.07516884058713913,0.23111692070960999,0.26066043972969055,0.2340836375951767,0.4497850239276886,0.2763766646385193,0.30707982182502747,0.321603000164032,0.2945551872253418,0.17179656028747559,0.024445664137601852,0.19677144289016724,0.2107497900724411
emphatic,0.27913346886634827,0.2402971088886261,0.186838299036026,0.11812949180603027,0.3000349998474121,0.17956358194351196,0.3170418441295624,0.17636515200138092,0.23117300868034363,0.2620216906070709,0.13091887533664703,0.27369460463523865,0.011345616541802883,0.24586737155914307,0.2426198124885559
statements,0.36506614089012146,0.2888825237751007,0.24558140337467194,0.19516213238239288,0.2506623864173889,0.2520623207092285,0.44073790311813354,0.21471354365348816,0.3079783618450165,0.2911079525947571,0.1544206142425537,0.28351643681526184,-0.018237370997667313,0.2933705151081085,0.28064221143722534
on,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.14074347913265228,0.2569187879562378,0.18736502528190613,0.42569106817245483,0.14631131291389465,0.32246771454811096,0.41031414270401,0.21446765959262848,0.13295738399028778,0.0026888418942689896,0.2537641227245331,0.2714994251728058
faith,0.3120079040527344,0.24413958191871643,0.2839079797267914,0.17054779827594757,0.46130460500717163,0.17393045127391815,0.29499298334121704,0.12962676584720612,0.2376723736524582,0.2426898032426834,0.08668351173400879,0.40165990591049194,0.07204221934080124,0.2675217390060425,0.2833177447319031
