,how,old,was,tesla,when,he,died,?
on,0.32655060291290283,0.21449986100196838,0.3909217119216919,0.16159376502037048,0.37706470489501953,0.32403138279914856,0.2450883537530899,0.2714994251728058
7,-0.2171877920627594,-0.039551280438899994,0.002381215337663889,-0.026343144476413727,-0.21990855038166046,-0.07969670742750168,-0.06542061269283295,-0.15092156827449799
january,0.11096196621656418,0.15695442259311676,0.3933098316192627,0.13615937530994415,0.23963238298892975,0.2963085472583771,0.40647467970848083,0.28608936071395874
1943,-0.07470279186964035,-0.0011088068131357431,0.12445774674415588,-0.028515523299574852,-0.037551648914813995,0.1143438071012497,0.08515609055757523,-0.08025530725717545
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.20599327981472015,0.36674630641937256,0.40251094102859497,0.36026471853256226,0.31091248989105225
at,0.2154216170310974,0.17987459897994995,0.36707764863967896,0.16552478075027466,0.38876327872276306,0.3280475437641144,0.27932441234588623,0.21978627145290375
the,0.33890387415885925,0.31849798560142517,0.48711544275283813,0.1324402391910553,0.5091903209686279,0.4571082592010498,0.18710990250110626,0.22068053483963013
age,0.17137715220451355,0.3780447840690613,0.27072176337242126,0.07816897332668304,0.30780088901519775,0.3103105127811432,0.481362909078598,0.16859300434589386
of,0.2480744868516922,0.30522194504737854,0.4069072902202606,0.18837453424930573,0.3757161796092987,0.38706058263778687,0.25637882947921753,0.1826142966747284
86,0.10609403997659683,0.03686380013823509,0.09539933502674103,0.17388592660427094,0.028783665969967842,0.02913070097565651,-0.00926967989653349,0.10934870690107346
",",0.22659391164779663,0.26524028182029724,0.45456063747406006,0.20599327981472015,0.36674630641937256,0.40251094102859497,0.36026471853256226,0.31091248989105225
tesla,0.19128404557704926,0.13497856259346008,0.16455206274986267,0.9999999403953552,0.1504557579755783,0.12373391538858414,0.04018354043364525,0.10250775516033173
died,0.07147754728794098,0.2349543571472168,0.4570699632167816,0.04018354043364525,0.20204433798789978,0.39118778705596924,0.9999998807907104,0.15254227817058563
alone,0.3223377764225006,0.2909289598464966,0.17050841450691223,0.07129799574613571,0.3575355112552643,0.26746314764022827,0.17854316532611847,0.25589054822921753
in,0.2601168751716614,0.2865324318408966,0.45514053106307983,0.17097744345664978,0.4431333839893341,0.41690486669540405,0.25881269574165344,0.20430970191955566
room,0.19825907051563263,0.13200825452804565,0.18439160287380219,0.19949762523174286,0.2989810109138489,0.17862468957901,0.13493511080741882,0.1769251674413681
3327,0.05971556529402733,0.19207553565502167,0.27114439010620117,0.13183079659938812,0.20419156551361084,0.20418602228164673,0.253680020570755,0.10917526483535767
of,0.2480744868516922,0.30522194504737854,0.4069072902202606,0.18837453424930573,0.3757161796092987,0.38706058263778687,0.25637882947921753,0.1826142966747284
the,0.33890387415885925,0.31849798560142517,0.48711544275283813,0.1324402391910553,0.5091903209686279,0.4571082592010498,0.18710990250110626,0.22068053483963013
new,0.20832711458206177,0.3384166657924652,0.2748313844203949,0.15999311208724976,0.257220059633255,0.2739552855491638,0.15599755942821503,0.14782847464084625
yorker,0.163186714053154,0.17066630721092224,0.2750867009162903,0.1643785536289215,0.18918398022651672,0.24678044021129608,0.20879541337490082,0.24605333805084229
hotel,0.06781139969825745,0.1767168939113617,0.2647566497325897,0.11258964985609055,0.14345425367355347,0.1800794005393982,0.20520521700382233,0.05846213921904564
.,0.3287222981452942,0.32390445470809937,0.40146201848983765,0.17949827015399933,0.475719153881073,0.38061028718948364,0.24093139171600342,0.4130953550338745
