,when,did,the,plague,return,to,europe,?
the,0.5091903209686279,0.34736719727516174,1.0,0.2537761330604553,0.2543797492980957,0.535392165184021,0.34463706612586975,0.22068053483963013
plague,0.25819700956344604,0.1901843398809433,0.2537761330604553,0.9999999403953552,0.15533176064491272,0.21845681965351105,0.26059749722480774,0.11872942000627518
repeatedly,0.3983765244483948,0.24088814854621887,0.2483106106519699,0.20808447897434235,0.2369835376739502,0.3286038339138031,0.10524523258209229,0.23499341309070587
returned,0.28365370631217957,0.32570260763168335,0.32857778668403625,0.22281862795352936,0.6497189998626709,0.30012887716293335,0.24740485846996307,0.07695316523313522
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.21845681965351105,0.3110596537590027,1.0,0.24889446794986725,0.29463258385658264
haunt,0.1847517192363739,0.16671186685562134,0.22326071560382843,0.27964723110198975,0.23648767173290253,0.215752974152565,0.15768665075302124,0.2650257349014282
europe,0.18744638562202454,0.22473940253257751,0.34463706612586975,0.26059749722480774,0.15956921875476837,0.24889446794986725,1.0000001192092896,0.18278923630714417
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2229994833469391,0.20753136277198792,0.48971283435821533,0.3463572859764099,0.20544172823429108
the,0.5091903209686279,0.34736719727516174,1.0,0.2537761330604553,0.2543797492980957,0.535392165184021,0.34463706612586975,0.22068053483963013
mediterranean,0.20474420487880707,0.11543042957782745,0.33625227212905884,0.3108503520488739,0.14724279940128326,0.22875052690505981,0.38993039727211,0.15430885553359985
throughout,0.30454620718955994,0.194510817527771,0.4158564507961273,0.19651295244693756,0.20858535170555115,0.31226396560668945,0.41732537746429443,0.12665234506130219
the,0.5091903209686279,0.34736719727516174,1.0,0.2537761330604553,0.2543797492980957,0.535392165184021,0.34463706612586975,0.22068053483963013
14th,0.12621067464351654,0.08776213228702545,0.21954689919948578,0.14767946302890778,0.10420890152454376,0.13803231716156006,0.08310806006193161,0.028729064390063286
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.21845681965351105,0.3110596537590027,1.0,0.24889446794986725,0.29463258385658264
17th,0.1468975991010666,0.0865093395113945,0.2679309546947479,0.10413999110460281,0.15517543256282806,0.16142873466014862,0.13369782269001007,0.096589595079422
centuries,0.24950438737869263,0.22437435388565063,0.32166481018066406,0.3422189950942993,0.10693297535181046,0.2275104820728302,0.3413836658000946,0.13179439306259155
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.2547653317451477,0.25014954805374146,0.4645031690597534,0.31984585523605347,0.4130953550338745
