,what,range,of,years,was,the,current,warming,compared,to,?
these,0.4164220690727234,0.3556128442287445,0.42684608697891235,0.2443821281194687,0.19784674048423767,0.49086877703666687,0.15298551321029663,0.25306063890457153,0.330493301153183,0.46852558851242065,0.2571668326854706
studies,0.18772079050540924,0.11072573810815811,0.26975658535957336,0.25638818740844727,0.22014805674552917,0.22738903760910034,0.03919363021850586,0.3387783169746399,0.2764921188354492,0.27655282616615295,0.1388726830482483
were,0.22298263013362885,0.1852422058582306,0.34038281440734863,0.3048669695854187,0.590133786201477,0.3906462490558624,0.13490986824035645,0.1481005698442459,0.3065771758556366,0.31913647055625916,0.17890112102031708
widely,0.22598060965538025,0.25012242794036865,0.22028475999832153,0.20043593645095825,0.3025229275226593,0.29394426941871643,0.11893279105424881,0.1851615309715271,0.3103322386741638,0.2705559730529785,0.10354958474636078
presented,0.23381416499614716,0.12061399966478348,0.30231305956840515,0.20486631989479065,0.2883085608482361,0.3251480758190155,0.15777923166751862,0.19351065158843994,0.20581138134002686,0.24592746794223785,0.17025142908096313
as,0.31749409437179565,0.22109805047512054,0.3886612355709076,0.234328031539917,0.3677520453929901,0.48381632566452026,0.33648446202278137,0.2530823349952698,0.2889116704463959,0.42092081904411316,0.27043893933296204
demonstrating,0.2377135157585144,0.23107506334781647,0.2578790783882141,0.10133276134729385,0.1716352254152298,0.28351321816444397,0.16094554960727692,0.2732914090156555,0.1555701494216919,0.24820521473884583,0.16282391548156738
that,0.6297725439071655,0.2156076580286026,0.41498205065727234,0.27599525451660156,0.33670201897621155,0.5473989248275757,0.2016455978155136,0.32051822543144226,0.30344316363334656,0.5436353087425232,0.32716336846351624
the,0.42745697498321533,0.2311336100101471,0.733189046382904,0.2912273406982422,0.48711544275283813,1.0,0.3314409554004669,0.28771063685417175,0.28685078024864197,0.535392165184021,0.22068053483963013
current,0.18294453620910645,0.09967046231031418,0.31470298767089844,0.1562318354845047,0.20140352845191956,0.3314409554004669,1.0,0.19870953261852264,0.1796317845582962,0.30630946159362793,0.12074550241231918
warming,0.28293129801750183,0.17320486903190613,0.279348224401474,0.16760411858558655,0.15131735801696777,0.28771063685417175,0.19870953261852264,0.9999998807907104,0.22936542332172394,0.3203888237476349,0.24314598739147186
period,0.24507179856300354,0.198104128241539,0.2698146104812622,0.38214126229286194,0.2820133864879608,0.3125074505805969,0.14595147967338562,0.23878999054431915,0.19604168832302094,0.24346192181110382,0.18706195056438446
is,0.28837618231773376,0.2467041313648224,0.4854315221309662,0.19551363587379456,0.5810302495956421,0.5823672413825989,0.2555285692214966,0.22126150131225586,0.2816821038722992,0.42745086550712585,0.22961433231830597
exceptional,0.22437724471092224,0.2895744740962982,0.3679232597351074,0.20662541687488556,0.18336528539657593,0.3299735188484192,0.16583745181560516,0.19167351722717285,0.31342369318008423,0.2567862272262573,0.1693650484085083
in,0.30808621644973755,0.2084861844778061,0.5696388483047485,0.33554986119270325,0.45514053106307983,0.6662389636039734,0.1955713927745819,0.23962810635566711,0.2479310929775238,0.45010748505592346,0.20430970191955566
comparison,0.272602915763855,0.1916431337594986,0.2909576892852783,0.19103261828422546,0.15860727429389954,0.2772393822669983,0.15774182975292206,0.12186554074287415,0.5845596790313721,0.21920135617256165,0.20726710557937622
to,0.455847829580307,0.2767433524131775,0.41548454761505127,0.23891852796077728,0.3636345863342285,0.535392165184021,0.30630946159362793,0.3203888237476349,0.2345995306968689,1.0,0.29463258385658264
temperatures,0.2523624897003174,0.3323036730289459,0.2011728584766388,0.1960626244544983,0.1787019520998001,0.27544233202934265,0.2241860181093216,0.4792865514755249,0.24615316092967987,0.28822293877601624,0.1895846426486969
