,what,is,the,second,phase,of,the,digitization,project,?
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.29143109917640686,0.733189046382904,1.0,0.30199649930000305,0.2027820199728012,0.22068053483963013
second,0.19948028028011322,0.3161451518535614,0.4620301127433777,1.0,0.19885753095149994,0.353416383266449,0.4620301127433777,0.15462838113307953,0.13665205240249634,0.17239587008953094
step,0.28945717215538025,0.20939913392066956,0.20505109429359436,0.20970095694065094,0.2620440721511841,0.22579428553581238,0.20505109429359436,0.27717798948287964,0.19968630373477936,0.23299238085746765
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.353416383266449,0.2589104175567627,1.0,0.733189046382904,0.30801132321357727,0.17578177154064178,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.4620301127433777,0.29143109917640686,0.733189046382904,1.0,0.30199649930000305,0.2027820199728012,0.22068053483963013
factory,0.13602052628993988,0.23070071637630463,0.2101404368877411,0.18547862768173218,0.12373644858598709,0.1801474392414093,0.2101404368877411,0.1561477929353714,0.2039182335138321,0.13535508513450623
project,0.27033838629722595,0.1924840211868286,0.2027820199728012,0.13665205240249634,0.19688355922698975,0.17578177154064178,0.2027820199728012,0.3439951539039612,1.0,0.30569031834602356
is,0.28837618231773376,1.0,0.5823672413825989,0.3161451518535614,0.2040843516588211,0.4854315221309662,0.5823672413825989,0.20953750610351562,0.1924840211868286,0.22961433231830597
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.3098561465740204,0.21437396109104156,0.41548454761505127,0.535392165184021,0.24331095814704895,0.28750085830688477,0.29463258385658264
catalog,0.16572877764701843,0.1101517528295517,0.19848686456680298,0.0822811871767044,0.09649379551410675,0.15782225131988525,0.19848686456680298,0.44057077169418335,0.20861482620239258,0.19544024765491486
everything,0.5900073051452637,0.23604778945446014,0.33579888939857483,0.19400081038475037,0.10037831217050552,0.2166808843612671,0.33579888939857483,0.23397213220596313,0.25515055656433105,0.37031570076942444
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.346034437417984,0.2420554906129837,0.5352458953857422,0.5934505462646484,0.250759094953537,0.23938670754432678,0.4130953550338745
