,who,did,jamukha,support,that,were,not,part,of,temüjin,'s,power,base,?
jamukha,0.26036083698272705,0.15834690630435944,0.9999999403953552,0.19669927656650543,0.22430790960788727,0.19633203744888306,0.19631415605545044,0.20862004160881042,0.2439788281917572,0.48555630445480347,0.04738704860210419,0.12965092062950134,0.14473268389701843,0.20055611431598663
supported,0.22602812945842743,0.3048703968524933,0.18592360615730286,0.7087500691413879,0.33392322063446045,0.271778404712677,0.30957934260368347,0.22890937328338623,0.30414751172065735,0.24240046739578247,-0.053373903036117554,0.2327071875333786,0.22662076354026794,0.11593948304653168
the,0.3733934462070465,0.34736719727516174,0.26145488023757935,0.22984638810157776,0.5473989248275757,0.3906462490558624,0.4310511648654938,0.527681291103363,0.733189046382904,0.43713900446891785,-0.01540423184633255,0.2647338807582855,0.2870652377605438,0.22068053483963013
traditional,0.21787117421627045,0.17380854487419128,0.25648951530456543,0.10896113514900208,0.23444122076034546,0.26198744773864746,0.22508177161216736,0.19994570314884186,0.32287317514419556,0.2781701385974884,0.05243854969739914,0.20799747109413147,0.19391153752803802,0.1327509582042694
mongolian,0.22100761532783508,0.14811597764492035,0.407887727022171,0.21216417849063873,0.24603262543678284,0.16115030646324158,0.18595169484615326,0.17643694579601288,0.22608324885368347,0.5043861865997314,-0.009959477931261063,0.07030097395181656,0.14294570684432983,0.13122369349002838
aristocracy,0.3521735668182373,0.2846585810184479,0.26513829827308655,0.24228589236736298,0.2747879922389984,0.2801961302757263,0.2749173045158386,0.20024904608726501,0.301937073469162,0.38369229435920715,0.03930491581559181,0.35534799098968506,0.09548036754131317,0.16470614075660706
",",0.3365725874900818,0.3015086054801941,0.30996835231781006,0.2733234167098999,0.4137537479400635,0.36755475401878357,0.3769696354866028,0.3376222252845764,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.2231994867324829,0.24008820950984955,0.31091248989105225
while,0.4068111777305603,0.3330625295639038,0.19590187072753906,0.3066663444042206,0.43523597717285156,0.3084527552127838,0.4146956503391266,0.2376212179660797,0.3366928696632385,0.31159722805023193,0.0011869525769725442,0.21523621678352356,0.26569998264312744,0.21076419949531555
temüjin,0.416724294424057,0.3476600646972656,0.48555630445480347,0.2898428738117218,0.4035418629646301,0.3361695408821106,0.3234820067882538,0.3057132065296173,0.378805011510849,1.0,-0.010023289360105991,0.2841247022151947,0.25401970744132996,0.21090233325958252
followed,0.19133411347866058,0.2675115466117859,0.1871943324804306,0.1529252678155899,0.27784204483032227,0.2812596261501312,0.3038504123687744,0.24126875400543213,0.3060508966445923,0.2496531903743744,-0.0014459885424003005,0.08804643899202347,0.14748486876487732,0.20567169785499573
a,0.36608949303627014,0.2552328109741211,0.24383728206157684,0.2484646886587143,0.47537946701049805,0.17203083634376526,0.3791346549987793,0.3994528353214264,0.5052502155303955,0.36845725774765015,0.04866964742541313,0.21580491960048676,0.27513372898101807,0.23916715383529663
meritocratic,0.288918673992157,0.2427905797958374,0.26724615693092346,0.3083059787750244,0.30002540349960327,0.19893676042556763,0.31041860580444336,0.23439905047416687,0.3375779390335083,0.3420194983482361,-0.04577537253499031,0.19773204624652863,0.17757779359817505,0.270601361989975
method,0.18475493788719177,0.21537424623966217,0.13883402943611145,0.18366900086402893,0.29335150122642517,0.13319812715053558,0.2600453197956085,0.14965157210826874,0.22896558046340942,0.20675422251224518,0.008591505698859692,0.13806195557117462,0.16422542929649353,0.2194802314043045
",",0.3365725874900818,0.3015086054801941,0.30996835231781006,0.2733234167098999,0.4137537479400635,0.36755475401878357,0.3769696354866028,0.3376222252845764,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.2231994867324829,0.24008820950984955,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.2926517128944397,0.25609129667282104,0.4731321930885315,0.42175528407096863,0.39099299907684326,0.35301485657691956,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.27496716380119324,0.23155631124973297,0.20544172823429108
attracted,0.29854264855384827,0.18127098679542542,0.15076781809329987,0.2081986665725708,0.2750568985939026,0.20696419477462769,0.22661679983139038,0.12620575726032257,0.23168495297431946,0.22510409355163574,-0.04340294748544693,0.12244122475385666,0.1421382874250412,0.06735223531723022
a,0.36608949303627014,0.2552328109741211,0.24383728206157684,0.2484646886587143,0.47537946701049805,0.17203083634376526,0.3791346549987793,0.3994528353214264,0.5052502155303955,0.36845725774765015,0.04866964742541313,0.21580491960048676,0.27513372898101807,0.23916715383529663
broader,0.15580104291439056,0.1403363049030304,0.2817634642124176,0.2623601257801056,0.3421524167060852,0.1317930370569229,0.3192974030971527,0.336391806602478,0.271144837141037,0.23621174693107605,0.02097405306994915,0.16632172465324402,0.20769605040550232,0.31004589796066284
",",0.3365725874900818,0.3015086054801941,0.30996835231781006,0.2733234167098999,0.4137537479400635,0.36755475401878357,0.3769696354866028,0.3376222252845764,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.2231994867324829,0.24008820950984955,0.31091248989105225
though,0.3492638170719147,0.4678466022014618,0.22052904963493347,0.33953750133514404,0.5324916243553162,0.36266976594924927,0.6113561391830444,0.2677866816520691,0.37307101488113403,0.33624765276908875,0.013477406464517117,0.2252514362335205,0.15226413309574127,0.3188856542110443
lower,0.13005778193473816,0.1054062619805336,0.16831009089946747,0.12085139751434326,0.25661587715148926,0.17496317625045776,0.20697054266929626,0.22235289216041565,0.31757521629333496,0.18863427639007568,0.08257514238357544,0.17670325934886932,0.14932918548583984,0.08471795171499252
class,0.17484316229820251,0.14515089988708496,0.1341126263141632,0.15710948407649994,0.23035554587841034,0.17030099034309387,0.1832761913537979,0.1674400418996811,0.19740594923496246,0.18121427297592163,-0.017892489209771156,0.10184025764465332,0.08264991641044617,0.12778934836387634
",",0.3365725874900818,0.3015086054801941,0.30996835231781006,0.2733234167098999,0.4137537479400635,0.36755475401878357,0.3769696354866028,0.3376222252845764,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.2231994867324829,0.24008820950984955,0.31091248989105225
range,0.1519712656736374,0.0891508087515831,0.1501707136631012,0.13835808634757996,0.2156076580286026,0.1852422058582306,0.18248917162418365,0.28296032547950745,0.234999418258667,0.13187594711780548,-0.008888337761163712,0.10533569008111954,0.1954999566078186,0.1204894632101059
of,0.2827862501144409,0.2513895630836487,0.2439788281917572,0.2307697981595993,0.41498205065727234,0.34038281440734863,0.3307090103626251,0.452393114566803,1.0,0.378805011510849,-0.03817026689648628,0.25273123383522034,0.23717565834522247,0.1826142966747284
followers,0.35074537992477417,0.2305241972208023,0.399843692779541,0.19053609669208527,0.32123544812202454,0.29064780473709106,0.2654111683368683,0.17605648934841156,0.26143142580986023,0.38511744141578674,0.02695409208536148,0.21345089375972748,0.10851400345563889,0.16716530919075012
.,0.3541337847709656,0.35288307070732117,0.23000960052013397,0.2751289904117584,0.4460422694683075,0.3378238379955292,0.4824007451534271,0.32817673683166504,0.5352458953857422,0.31788840889930725,-0.003708066651597619,0.2141435295343399,0.26800644397735596,0.4130953550338745
