,the,v,&,a,has,its,origins,in,which,world,exposition,?
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.4177538752555847,0.559237003326416,0.2890577018260956,0.6662389636039734,0.6521818041801453,0.33604270219802856,0.30685076117515564,0.22068053483963013
v,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.07488378137350082,0.1524200141429901,0.17641711235046387,0.15216681361198425,0.1653934270143509,0.06254376471042633,0.13036410510540009,0.28677162528038025
&,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.1216270700097084,0.11429427564144135,0.13062849640846252,0.1358654648065567,0.16294614970684052,0.15911176800727844,0.1509939432144165,0.12596383690834045
a,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.4670248031616211,0.4424409866333008,0.1583317220211029,0.539380669593811,0.56894451379776,0.22239887714385986,0.23940640687942505,0.23916715383529663
has,0.4177538752555847,0.07488378137350082,0.1216270700097084,0.4670248031616211,1.0,0.4627293348312378,0.2554745078086853,0.4173259735107422,0.4350704550743103,0.21706144511699677,0.12522874772548676,0.15994466841220856
its,0.559237003326416,0.1524200141429901,0.11429427564144135,0.4424409866333008,0.4627293348312378,1.0,0.239765465259552,0.3793783485889435,0.5154205560684204,0.23953673243522644,0.2737089693546295,0.15103481709957123
origins,0.2890577018260956,0.17641711235046387,0.13062849640846252,0.1583317220211029,0.2554745078086853,0.239765465259552,1.0,0.21701936423778534,0.2681773006916046,0.18545641005039215,0.2372456043958664,0.1275135576725006
in,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.4173259735107422,0.3793783485889435,0.21701936423778534,1.0,0.4840516746044159,0.3038199245929718,0.30755117535591125,0.20430970191955566
the,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.4177538752555847,0.559237003326416,0.2890577018260956,0.6662389636039734,0.6521818041801453,0.33604270219802856,0.30685076117515564,0.22068053483963013
great,0.2822027802467346,0.06902553886175156,0.08465798944234848,0.21836373209953308,0.179184690117836,0.16369754076004028,0.12994740903377533,0.23348836600780487,0.2356490194797516,0.21953028440475464,0.147819384932518,0.13135133683681488
exhibition,0.22614671289920807,0.066697858273983,0.1514037847518921,0.18410839140415192,0.1972021609544754,0.19099704921245575,0.17322617769241333,0.28266429901123047,0.25333690643310547,0.24911227822303772,0.5080180168151855,0.11494685709476471
