,where,are,reserved,matters,stated,in,the,scotland,act,?
the,0.5003893971443176,0.40399202704429626,0.23639146983623505,0.32925453782081604,0.2814950942993164,0.6662389636039734,1.0,0.23846951127052307,0.28682878613471985,0.22068053483963013
specific,0.3296095132827759,0.35680872201919556,0.2286432981491089,0.33850324153900146,0.299418568611145,0.26078200340270996,0.3501757085323334,0.22331947088241577,0.27743497490882874,0.30923372507095337
devolved,0.2556496262550354,0.24146072566509247,0.2452012300491333,0.46008846163749695,0.31513795256614685,0.31779801845550537,0.39628729224205017,0.38908591866493225,0.297052264213562,0.1570919156074524
matters,0.2845143973827362,0.3050505220890045,0.23579123616218567,0.9999999403953552,0.38645535707473755,0.22737738490104675,0.32925453782081604,0.21951928734779358,0.2813962399959564,0.3182642459869385
are,0.32389864325523376,1.0,0.22219422459602356,0.3050505220890045,0.1896786242723465,0.3841303884983063,0.40399202704429626,0.19172759354114532,0.22266654670238495,0.24591213464736938
all,0.36365973949432373,0.5343062281608582,0.28046366572380066,0.35767072439193726,0.2589035630226135,0.3335905969142914,0.4860881567001343,0.15738077461719513,0.22487662732601166,0.29575422406196594
subjects,0.23714317381381989,0.3335327208042145,0.13592971861362457,0.4574539065361023,0.23561865091323853,0.22681275010108948,0.22999566793441772,0.14879409968852997,0.21574382483959198,0.26547127962112427
which,0.5477990508079529,0.42922598123550415,0.22335118055343628,0.3272422254085541,0.2548240125179291,0.4840516746044159,0.6521818041801453,0.23217903077602386,0.3216746747493744,0.25814583897590637
are,0.32389864325523376,1.0,0.22219422459602356,0.3050505220890045,0.1896786242723465,0.3841303884983063,0.40399202704429626,0.19172759354114532,0.22266654670238495,0.24591213464736938
not,0.3820744752883911,0.46186959743499756,0.32723480463027954,0.39304685592651367,0.38202324509620667,0.3403114080429077,0.4310511648654938,0.18398283421993256,0.2604115903377533,0.41942933201789856
explicitly,0.25433215498924255,0.2838962972164154,0.26437824964523315,0.3235502541065216,0.4399847984313965,0.14657194912433624,0.24453070759773254,0.18608099222183228,0.24417617917060852,0.2977891266345978
stated,0.20085664093494415,0.1896786242723465,0.2535424530506134,0.38645535707473755,1.0,0.24313503503799438,0.2814950942993164,0.19433750212192535,0.19679269194602966,0.24280361831188202
in,0.5344807505607605,0.3841303884983063,0.19184279441833496,0.22737738490104675,0.24313503503799438,1.0,0.6662389636039734,0.24716059863567352,0.22050046920776367,0.20430970191955566
schedule,0.1906246840953827,0.19186674058437347,0.17029176652431488,0.2523362338542938,0.3270692527294159,0.20525701344013214,0.21986375749111176,0.21420860290527344,0.24862508475780487,0.16743622720241547
5,0.06772465258836746,-0.004890664014965296,0.07820442318916321,-0.07050120085477829,0.007379764690995216,0.0862177163362503,0.09255307912826538,0.002666514366865158,0.0197432991117239,0.06222071498632431
to,0.47735077142715454,0.3504326641559601,0.18730998039245605,0.32389286160469055,0.3195562958717346,0.45010748505592346,0.535392165184021,0.19875919818878174,0.24833928048610687,0.29463258385658264
the,0.5003893971443176,0.40399202704429626,0.23639146983623505,0.32925453782081604,0.2814950942993164,0.6662389636039734,1.0,0.23846951127052307,0.28682878613471985,0.22068053483963013
scotland,0.2062309980392456,0.19172759354114532,0.16635459661483765,0.21951928734779358,0.19433750212192535,0.24716059863567352,0.23846951127052307,1.0,0.2434776872396469,0.09160218387842178
act,0.13504351675510406,0.22266654670238495,0.20842619240283966,0.2813962399959564,0.19679269194602966,0.22050046920776367,0.28682878613471985,0.2434776872396469,1.0,0.1482519507408142
as,0.35409465432167053,0.3826591968536377,0.38206207752227783,0.2599027454853058,0.3581467568874359,0.3887844979763031,0.48381632566452026,0.19265124201774597,0.2497578263282776,0.27043893933296204
reserved,0.19266849756240845,0.22219422459602356,0.9999998807907104,0.23579123616218567,0.2535424530506134,0.19184279441833496,0.23639146983623505,0.16635459661483765,0.20842619240283966,0.1177138090133667
matters,0.2845143973827362,0.3050505220890045,0.23579123616218567,0.9999999403953552,0.38645535707473755,0.22737738490104675,0.32925453782081604,0.21951928734779358,0.2813962399959564,0.3182642459869385
.,0.41390106081962585,0.3452940285205841,0.17660196125507355,0.2861754298210144,0.26454663276672363,0.5591574311256409,0.5934505462646484,0.23843355476856232,0.2025400698184967,0.4130953550338745
