,what,is,the,largest,item,from,italy,that,is,part,of,the,sculpture,collection,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.24508722126483917,0.40150508284568787,0.2633645832538605,0.5473989248275757,0.5823672413825989,0.527681291103363,0.733189046382904,1.0,0.23690329492092133,0.25281965732574463,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.11873708665370941,0.20374812185764313,0.1562909334897995,0.19412246346473694,0.3413417339324951,0.3383965790271759,0.36650770902633667,0.3757036626338959,0.2256268858909607,0.22454601526260376,0.12401245534420013
item,0.29692167043685913,0.2482070028781891,0.24508722126483917,0.11873708665370941,1.0,0.22565551102161407,0.11838947236537933,0.3259255290031433,0.2482070028781891,0.16012287139892578,0.18744561076164246,0.24508722126483917,0.12084781378507614,0.27755501866340637,0.2842435836791992
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.20374812185764313,0.22565551102161407,1.0,0.1655264049768448,0.3477667272090912,0.27355384826660156,0.31841611862182617,0.4249346852302551,0.40150508284568787,0.18837447464466095,0.2754948139190674,0.19969791173934937
italy,0.16949890553951263,0.16406619548797607,0.2633645832538605,0.1562909334897995,0.11838947236537933,0.1655264049768448,1.0,0.17940302193164825,0.16406619548797607,0.2111598402261734,0.2844046950340271,0.2633645832538605,0.1878734529018402,0.16158559918403625,0.11567100137472153
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.2482070028781891,0.27355384826660156,0.16406619548797607,0.3995479643344879,1.0,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.20341666042804718,0.21135231852531433,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.24508722126483917,0.40150508284568787,0.2633645832538605,0.5473989248275757,0.5823672413825989,0.527681291103363,0.733189046382904,1.0,0.23690329492092133,0.25281965732574463,0.22068053483963013
chancel,0.24752357602119446,0.18314863741397858,0.35158711671829224,0.08207813650369644,0.20929944515228271,0.16640810668468475,0.19274938106536865,0.2925816476345062,0.18314863741397858,0.28993257880210876,0.31217291951179504,0.35158711671829224,0.2554260492324829,0.2015322893857956,0.15613511204719543
chapel,0.21555310487747192,0.14665859937667847,0.22978568077087402,0.18095463514328003,0.10200896114110947,0.12479729950428009,0.20655924081802368,0.17274047434329987,0.14665859937667847,0.21265701949596405,0.2654571533203125,0.22978568077087402,0.3215504586696625,0.20035812258720398,0.11566921323537827
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.20374812185764313,0.22565551102161407,1.0,0.1655264049768448,0.3477667272090912,0.27355384826660156,0.31841611862182617,0.4249346852302551,0.40150508284568787,0.18837447464466095,0.2754948139190674,0.19969791173934937
santa,0.23841293156147003,0.1796122044324875,0.23511074483394623,0.17657490074634552,0.13590064644813538,0.20531083643436432,0.2793615460395813,0.19766521453857422,0.1796122044324875,0.1995963156223297,0.2417823076248169,0.23511074483394623,0.18561913073062897,0.1498745083808899,0.17321589589118958
chiara,0.17269094288349152,0.1743074208498001,0.2098989188671112,0.13777431845664978,0.07851777970790863,0.18899190425872803,0.417056679725647,0.12058403342962265,0.1743074208498001,0.16658751666545868,0.2269476056098938,0.2098989188671112,0.27662891149520874,0.11267158389091492,0.17970120906829834
florence,0.1746513396501541,0.1600719690322876,0.17304638028144836,0.10175419598817825,0.030856968834996223,0.1461395025253296,0.49658122658729553,0.15331698954105377,0.1600719690322876,0.13280104100704193,0.1642632931470871,0.17304638028144836,0.33030933141708374,0.20035235583782196,0.14859086275100708
dated,0.15505221486091614,0.13580690324306488,0.2046709507703781,0.058302778750658035,0.1403118371963501,0.22167015075683594,0.12752903997898102,0.2510267496109009,0.13580690324306488,0.11684655398130417,0.210488960146904,0.2046709507703781,0.25370094180107117,0.19724096357822418,0.215650275349617
1493–1500,0.03774642571806908,0.11525809019804001,0.10128065943717957,0.03624487295746803,0.06073608249425888,0.08225741982460022,0.014707768335938454,0.09973759204149246,0.11525809019804001,0.03999749943614006,0.04198693484067917,0.10128065943717957,0.03828569874167442,-0.04480477422475815,0.13286903500556946
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.14941494166851044,0.39760664105415344,0.2497674822807312,0.4137537479400635,0.4691906273365021,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.2533513307571411,0.2277175933122635,0.31091248989105225
designed,0.15902110934257507,0.18406619131565094,0.2559613883495331,0.13669298589229584,0.15105080604553223,0.12069370597600937,0.14962336421012878,0.270294189453125,0.18406619131565094,0.1781352460384369,0.2000347077846527,0.2559613883495331,0.30310794711112976,0.2010653018951416,0.11213942617177963
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.17839421331882477,0.14509552717208862,0.3373257517814636,0.19219915568828583,0.37496164441108704,0.3899846076965332,0.28271573781967163,0.3646814823150635,0.4408751428127289,0.17374664545059204,0.2678082287311554,0.17966607213020325
giuliano,0.1285943239927292,0.11560342460870743,0.16869038343429565,0.09025239199399948,0.12592239677906036,0.12573231756687164,0.5203664302825928,0.1735391616821289,0.11560342460870743,0.08418972045183182,0.2118496149778366,0.16869038343429565,0.2540242373943329,0.15963038802146912,0.15284208953380585
da,0.17252732813358307,0.15954378247261047,0.16199231147766113,0.1000266745686531,0.025863274931907654,0.13284514844417572,0.2594473958015442,0.17941834032535553,0.15954378247261047,0.13817434012889862,0.15832912921905518,0.16199231147766113,0.18829232454299927,0.12016512453556061,0.17175890505313873
sangallo,0.1803979128599167,0.21171601116657257,0.2072424441576004,0.14685943722724915,0.1193937435746193,0.1579134166240692,0.39508652687072754,0.1887066662311554,0.21171601116657257,0.1753253936767578,0.18042460083961487,0.2072424441576004,0.3528779447078705,0.1409706175327301,0.20399807393550873
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.30890756845474243,0.24485835433006287,0.325604110956192,0.22874875366687775,0.5921133160591125,0.6328473687171936,0.4648587107658386,0.38761502504348755,0.6251175999641418,0.18940822780132294,0.21974997222423553,0.25732165575027466
is,0.28837618231773376,1.0,0.5823672413825989,0.3413417339324951,0.2482070028781891,0.27355384826660156,0.16406619548797607,0.3995479643344879,1.0,0.4582172930240631,0.4854315221309662,0.5823672413825989,0.20341666042804718,0.21135231852531433,0.22961433231830597
