,what,toxin,induces,apoptosis,in,the,target,cell,?
the,0.42745697498321533,0.20144450664520264,0.2289762943983078,0.2650298476219177,0.6662389636039734,1.0,0.25054478645324707,0.15822452306747437,0.22068053483963013
entry,0.23903775215148926,0.12105397135019302,0.1271965205669403,0.20884469151496887,0.23369251191616058,0.22964252531528473,0.18096239864826202,0.12438375502824783,0.21010564267635345
of,0.33290785551071167,0.19524909555912018,0.26687923073768616,0.25456541776657104,0.5696388483047485,0.733189046382904,0.15346646308898926,0.18332023918628693,0.1826142966747284
another,0.4190070629119873,0.25037071108818054,0.2102888524532318,0.32785332202911377,0.3397690951824188,0.5019711852073669,0.28113308548927307,0.2031998187303543,0.295511931180954
toxin,0.21964475512504578,1.0,0.3883531391620636,0.5569670796394348,0.184128075838089,0.20144450664520264,0.22516727447509766,0.31637004017829895,0.22142015397548676
called,0.3235960602760315,0.19397199153900146,0.27019956707954407,0.2124205082654953,0.40847352147102356,0.489897221326828,0.1432424783706665,0.15713366866111755,0.18963319063186646
granulysin,0.16189450025558472,0.5012596249580383,0.30925485491752625,0.45869380235671997,0.2647742033004761,0.2729506194591522,0.17825934290885925,0.44437718391418457,0.1733282506465912
(,0.2411840260028839,0.15858054161071777,0.17826402187347412,0.18556331098079681,0.3087427020072937,0.33289089798927307,0.21567678451538086,0.20061977207660675,0.40561532974243164
a,0.3320399522781372,0.2030869722366333,0.2521171271800995,0.2648368179798126,0.539380669593811,0.5829201340675354,0.1994335651397705,0.21525812149047852,0.23916715383529663
protease,0.21440723538398743,0.4311616122722626,0.3333696126937866,0.41256144642829895,0.2814881205558777,0.290321946144104,0.23550140857696533,0.3013714551925659,0.18991133570671082
),0.26259949803352356,0.13041888177394867,0.1420796811580658,0.17486552894115448,0.3326910734176636,0.3456730246543884,0.19447118043899536,0.2050846964120865,0.42300865054130554
induces,0.1520342379808426,0.3883531391620636,0.9999999403953552,0.44095662236213684,0.17433924973011017,0.2289762943983078,0.20586878061294556,0.2743713855743408,0.0994550809264183
the,0.42745697498321533,0.20144450664520264,0.2289762943983078,0.2650298476219177,0.6662389636039734,1.0,0.25054478645324707,0.15822452306747437,0.22068053483963013
target,0.22247901558876038,0.22516727447509766,0.20586878061294556,0.28515565395355225,0.1404450386762619,0.25054478645324707,0.9999999403953552,0.2168091982603073,0.24974246323108673
cell,0.19222842156887054,0.31637004017829895,0.2743713855743408,0.5333412289619446,0.16478286683559418,0.15822452306747437,0.2168091982603073,1.0000001192092896,0.2058541625738144
to,0.455847829580307,0.22633378207683563,0.1993207186460495,0.26597070693969727,0.45010748505592346,0.535392165184021,0.275001585483551,0.19730474054813385,0.29463258385658264
undergo,0.20737503468990326,0.26171839237213135,0.37835776805877686,0.4414083659648895,0.19309307634830475,0.21054203808307648,0.15529803931713104,0.29648831486701965,0.15837688744068146
apoptosis,0.2901170253753662,0.5569670796394348,0.44095662236213684,0.9999998807907104,0.20735135674476624,0.2650298476219177,0.28515565395355225,0.5333412289619446,0.2257007509469986
.,0.3567904531955719,0.23838821053504944,0.17362534999847412,0.2630654275417328,0.5591574311256409,0.5934505462646484,0.24514639377593994,0.2801848351955414,0.4130953550338745
