,when,was,the,``,dalekmania,'',period,?
the,0.5091903209686279,0.48711544275283813,1.0,0.029072100296616554,0.3298735022544861,0.041273195296525955,0.3125074505805969,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.006519378628581762,0.26319971680641174,-0.03874251991510391,0.3305831849575043,0.18701928853988647
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.06780257821083069,0.2560809850692749,0.13035868108272552,0.2698146104812622,0.1826142966747284
these,0.3811454772949219,0.19784674048423767,0.49086877703666687,0.09766163676977158,0.281339555978775,-0.010087166912853718,0.280052125453949,0.2571668326854706
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,-0.012679691426455975,0.27005717158317566,0.04456103965640068,0.2820133864879608,0.18412111699581146
the,0.5091903209686279,0.48711544275283813,1.0,0.029072100296616554,0.3298735022544861,0.041273195296525955,0.3125074505805969,0.22068053483963013
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,1.0,0.08899563550949097,-0.09173435717821121,0.18262124061584473,0.0685480609536171
dalekmania,0.24282671511173248,0.27005717158317566,0.3298735022544861,0.08899563550949097,0.9999998807907104,0.04272564500570297,0.15424370765686035,0.29957151412963867
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,-0.09173435717821121,0.04272564500570297,1.0,0.037288106977939606,0.018684765323996544
period,0.3356073200702667,0.2820133864879608,0.3125074505805969,0.18262124061584473,0.15424370765686035,0.037288106977939606,1.0,0.18706195056438446
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.15585018694400787,0.20773468911647797,-0.022970275953412056,0.22779083251953125,0.40561532974243164
circa,0.2036164551973343,0.25311726331710815,0.23350559175014496,0.049929309636354446,0.24313229322433472,0.10556657612323761,0.29480186104774475,0.11602373421192169
1964–1965,0.10490517318248749,0.0523846335709095,0.19987717270851135,0.09254657477140427,0.21140027046203613,0.035176195204257965,0.07966998964548111,0.13394857943058014
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.1698397845029831,0.20609235763549805,-0.028269650414586067,0.2531823217868805,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.09681109338998795,0.28544214367866516,-0.037358131259679794,0.25030651688575745,0.31091248989105225
when,0.9999999403953552,0.37326499819755554,0.5091903209686279,0.07174111902713776,0.24282671511173248,-0.07688097655773163,0.3356073200702667,0.22841128706932068
