,from,what,type,of,materials,must,liquid,oxygen,be,separated,?
it,0.325604110956192,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.25009089708328247,0.17906725406646729,0.33848634362220764,0.26699385046958923,0.5203388929367065,0.23704028129577637,0.25732165575027466
is,0.27355384826660156,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.2010483592748642,0.3093329071998596,0.2801579535007477,0.21825239062309265,0.4819129705429077,0.18671321868896484,0.22961433231830597
a,0.322764128446579,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.21448606252670288,0.3016769587993622,0.2669180929660797,0.21662019193172455,0.39883795380592346,0.20032064616680145,0.23916715383529663
highly,0.11790557950735092,0.22724121809005737,0.20136535167694092,0.21906863152980804,0.2756845951080322,0.21627943217754364,0.20493367314338684,0.19681644439697266,0.3787047564983368,0.04254671931266785,0.1542806625366211
reactive,0.13676877319812775,0.26621317863464355,0.22434675693511963,0.1701417863368988,0.3866656720638275,0.2577810287475586,0.47042611241340637,0.516227126121521,0.34119713306427,0.19927163422107697,0.20790518820285797
substance,0.23786155879497528,0.2803279459476471,0.2569679021835327,0.23127788305282593,0.4438411593437195,0.27929770946502686,0.582061767578125,0.44294869899749756,0.37529927492141724,0.20390918850898743,0.2033585160970688
and,0.3601827025413513,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2919374406337738,0.33253467082977295,0.23888376355171204,0.22261030972003937,0.41766801476478577,0.30934858322143555,0.20544172823429108
must,0.20263603329658508,0.30362528562545776,0.22601568698883057,0.24322323501110077,0.2759096324443817,1.0,0.23246048390865326,0.2284652441740036,0.4737209677696228,0.18563173711299896,0.23707495629787445
be,0.3107333183288574,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.3439505696296692,0.4737209677696228,0.34251296520233154,0.28851351141929626,1.0,0.22417773306369781,0.3324260413646698
segregated,0.2006034404039383,0.17653241753578186,0.1065407395362854,0.18913781642913818,0.2525682747364044,0.18835791945457458,0.16129878163337708,0.059200409799814224,0.22683148086071014,0.3248661458492279,0.17535969614982605
from,1.0,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.2295190840959549,0.20263603329658508,0.2113398164510727,0.23457925021648407,0.3107333183288574,0.2992449700832367,0.19969791173934937
combustible,0.23531702160835266,0.2506256699562073,0.34923219680786133,0.22582003474235535,0.4451654255390167,0.35249850153923035,0.5238521099090576,0.4618971049785614,0.36021140217781067,0.22318384051322937,0.24960510432720184
materials,0.2295190840959549,0.21012352406978607,0.24908779561519623,0.23909913003444672,1.0,0.2759096324443817,0.4100230634212494,0.2875748872756958,0.3439505696296692,0.13541993498802185,0.1301651895046234
.,0.41536515951156616,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.22580863535404205,0.27722811698913574,0.2470431923866272,0.2554275095462799,0.4383580684661865,0.2813975214958191,0.4130953550338745
