,what,policy,did,stalin,implement,shortly,after,lenin,'s,death,?
however,0.4480680823326111,0.2708236277103424,0.5603718757629395,0.2516453266143799,0.3574030101299286,0.3665468096733093,0.41216742992401123,0.19108252227306366,0.011690815910696983,0.23867833614349365,0.2152075469493866
",",0.3087472915649414,0.2903050184249878,0.3015086054801941,0.24950867891311646,0.22027646005153656,0.2916414141654968,0.38860568404197693,0.2037825882434845,-0.0016132977325469255,0.2070959210395813,0.31091248989105225
after,0.21973377466201782,0.1468489021062851,0.30330467224121094,0.25425079464912415,0.1310734748840332,0.6404975652694702,1.0,0.2201547771692276,-0.055672239512205124,0.2794583737850189,0.16608688235282898
lenin,0.17199039459228516,0.22643417119979858,0.1741231232881546,0.6760158538818359,0.20968888700008392,0.16956907510757446,0.2201547771692276,1.0,0.02598397433757782,0.18505863845348358,0.13449633121490479
's,0.02692362666130066,-0.07627277821302414,0.05069678649306297,0.10266343504190445,0.025480937212705612,-0.06172686070203781,-0.055672239512205124,0.02598397433757782,0.9999999403953552,0.07207932323217392,-0.023395681753754616
death,0.2267695665359497,0.10648763179779053,0.2252790331840515,0.2280408889055252,0.017223507165908813,0.2642039954662323,0.2794583737850189,0.18505863845348358,0.07207932323217392,0.9999998807907104,0.21149799227714539
",",0.3087472915649414,0.2903050184249878,0.3015086054801941,0.24950867891311646,0.22027646005153656,0.2916414141654968,0.38860568404197693,0.2037825882434845,-0.0016132977325469255,0.2070959210395813,0.31091248989105225
joseph,0.20494906604290009,0.14914952218532562,0.19009922444820404,0.4613417685031891,0.12181765586137772,0.1504267454147339,0.13819503784179688,0.26610076427459717,0.07943470776081085,0.2117718607187271,0.08421234786510468
stalin,0.22820690274238586,0.2830774188041687,0.2704411745071411,0.9999999403953552,0.2230396568775177,0.21573761105537415,0.25425079464912415,0.6760158538818359,0.10266343504190445,0.2280408889055252,0.16725970804691315
established,0.14869536459445953,0.2850854992866516,0.18989217281341553,0.07650307565927505,0.19089415669441223,0.16023914515972137,0.25570741295814514,0.15772764384746552,-0.05163693428039551,0.11200548708438873,0.15917523205280304
'socialism,0.294239342212677,0.394175261259079,0.2166544795036316,0.3404994010925293,0.2730519473552704,0.1453482210636139,0.10416676104068756,0.4126071333885193,0.03202556073665619,0.13205541670322418,0.1673155277967453
in,0.30808621644973755,0.1459147185087204,0.2593238651752472,0.19074957072734833,0.19847343862056732,0.34036749601364136,0.44050168991088867,0.20401428639888763,-0.037580832839012146,0.18743370473384857,0.20430970191955566
one,0.376489520072937,0.21257612109184265,0.27659472823143005,0.18103879690170288,0.23695437610149384,0.2186584770679474,0.3593756854534149,0.18714626133441925,0.06913424283266068,0.20430900156497955,0.2673267424106598
country,0.22705033421516418,0.24342869222164154,0.24348343908786774,0.24326102435588837,0.18901024758815765,0.12368372827768326,0.20467059314250946,0.23810827732086182,0.0747150406241417,0.17983315885066986,0.12647280097007751
',0.3245812654495239,0.2118832916021347,0.25488927960395813,0.14406275749206543,0.20694224536418915,0.17846529185771942,0.31325316429138184,0.17361466586589813,0.07651367038488388,0.1959543526172638,0.330942302942276
for,0.3017193675041199,0.2759707272052765,0.318512886762619,0.16580908000469208,0.3161557912826538,0.22257617115974426,0.3650246858596802,0.12594453990459442,-0.07241261005401611,0.19869662821292877,0.264628142118454
