,who,is,the,president,of,tumas,?
there,0.2844357192516327,0.3904260993003845,0.47025805711746216,0.08984291553497314,0.44397735595703125,0.28852108120918274,0.29405656456947327
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.2505730390548706,0.4069072902202606,0.24004197120666504,0.18412111699581146
an,0.2848317325115204,0.4654068350791931,0.4207492768764496,0.16313809156417847,0.32280945777893066,0.18992285430431366,0.19793890416622162
attempt,0.2894035577774048,0.15496763586997986,0.2614527940750122,0.24367600679397583,0.21525268256664276,0.15000131726264954,0.16559520363807678
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.21247753500938416,0.41548454761505127,0.23393051326274872,0.29463258385658264
withdraw,0.17908671498298645,0.1102752536535263,0.25700607895851135,0.21153287589550018,0.17758740484714508,0.11329138278961182,0.19605658948421478
the,0.3733934462070465,0.5823672413825989,1.0,0.24330610036849976,0.733189046382904,0.3292103111743927,0.22068053483963013
united,0.21193812787532806,0.22408509254455566,0.34367692470550537,0.29482975602149963,0.3187655806541443,0.20732907950878143,0.17266890406608582
methodist,0.21443013846874237,0.14683330059051514,0.21922016143798828,0.3041475713253021,0.28458893299102783,0.2752460241317749,0.1436992734670639
church,0.19418756663799286,0.203276589512825,0.23846197128295898,0.20960067212581635,0.3079429268836975,0.27198702096939087,0.18081501126289368
membership,0.2513469159603119,0.1935994029045105,0.2937599718570709,0.31077197194099426,0.26808464527130127,0.16519944369792938,0.15225854516029358
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.18811661005020142,0.5696388483047485,0.2864392399787903,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,1.0,0.24330610036849976,0.733189046382904,0.3292103111743927,0.22068053483963013
religious,0.2875464856624603,0.1584658920764923,0.22950971126556396,0.21461978554725647,0.2958606779575348,0.26933717727661133,0.15727058053016663
coalition,0.19923917949199677,0.1363379955291748,0.27709540724754333,0.3585100471973419,0.2811764180660248,0.19491440057754517,0.13521195948123932
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.17469504475593567,0.4185989499092102,0.20264600217342377,0.264628142118454
reproductive,0.2041248232126236,0.1769166737794876,0.260206013917923,0.13113871216773987,0.2793607711791992,0.3035033047199249,0.25456109642982483
choice,0.298758864402771,0.2168283462524414,0.2640603482723236,0.14931657910346985,0.23419108986854553,0.16660410165786743,0.28709158301353455
at,0.22096660733222961,0.25906258821487427,0.457212895154953,0.1509951651096344,0.42558613419532776,0.2484130859375,0.21978627145290375
their,0.3767721951007843,0.2101074606180191,0.516537070274353,0.1401531845331192,0.4329940676689148,0.2242155522108078,0.1898253709077835
general,0.2461782991886139,0.20144300162792206,0.28634732961654663,0.28887805342674255,0.28352999687194824,0.13385656476020813,0.1972234547138214
conference,0.13570554554462433,0.13909097015857697,0.25393402576446533,0.17408625781536102,0.19579021632671356,0.18759866058826447,0.11172781884670258
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.26552814245224,0.4946078956127167,0.3775487244129181,0.31091248989105225
