,where,did,the,grand,canal,start,?
kublai,0.2104915827512741,0.2875992953777313,0.32886171340942383,0.3053946793079376,0.11530797928571701,0.1760837882757187,0.14562560617923737
expanded,0.1920405477285385,0.20851697027683258,0.3258892893791199,0.12787944078445435,0.2124733328819275,0.3315664231777191,0.2124357968568802
the,0.5003893971443176,0.34736719727516174,1.0,0.305169016122818,0.26047348976135254,0.3656389117240906,0.22068053483963013
grand,0.14345501363277435,0.17368978261947632,0.305169016122818,0.9999999403953552,0.19265727698802948,0.20211084187030792,0.1168735921382904
canal,0.18127882480621338,0.08102171123027802,0.26047348976135254,0.19265727698802948,1.0,0.20553232729434967,0.1123519018292427
from,0.3713873624801636,0.20248863101005554,0.40150508284568787,0.10258761048316956,0.15640263259410858,0.27236250042915344,0.19969791173934937
southern,0.2580642104148865,0.13322393596172333,0.3282862603664398,0.17145918309688568,0.21499167382717133,0.13596700131893158,0.11225555837154388
china,0.2026863694190979,0.16472692787647247,0.3110525608062744,0.19611923396587372,0.17641934752464294,0.17372970283031464,0.18007943034172058
to,0.47735077142715454,0.4452643394470215,0.535392165184021,0.21583840250968933,0.15252184867858887,0.33345553278923035,0.29463258385658264
daidu,0.18025697767734528,0.11935389041900635,0.27974653244018555,0.19261278212070465,0.09126345813274384,0.14576378464698792,0.15795040130615234
in,0.5344807505607605,0.2593238651752472,0.6662389636039734,0.24767720699310303,0.25331923365592957,0.29979339241981506,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,1.0,0.305169016122818,0.26047348976135254,0.3656389117240906,0.22068053483963013
north,0.23586879670619965,0.16732536256313324,0.36298373341560364,0.2314176708459854,0.3234170377254486,0.18893708288669586,0.11829731613397598
.,0.41390106081962585,0.35288307070732117,0.5934505462646484,0.22995266318321228,0.20299389958381653,0.3501981496810913,0.4130953550338745
