,how,many,huguenots,fled,france,by,the,1700s,?
while,0.2918691337108612,0.3748262822628021,0.2227342277765274,0.28788861632347107,0.2284872829914093,0.3083919286727905,0.39804592728614807,-0.045259010046720505,0.21076419949531555
nearly,0.23273618519306183,0.4278171956539154,0.2876224219799042,0.24108442664146423,0.1888197958469391,0.2504696547985077,0.3409946858882904,0.0031509255059063435,0.11670064926147461
three-quarters,0.22563064098358154,0.3473276197910309,0.3822668194770813,0.33611583709716797,0.29885703325271606,0.31901541352272034,0.4411717653274536,0.08448980003595352,0.20615549385547638
eventually,0.29669713973999023,0.33631840348243713,0.30609792470932007,0.3892449140548706,0.22315242886543274,0.3448309600353241,0.42022404074668884,-0.09832894057035446,0.13642115890979767
were,0.2082374095916748,0.4804460406303406,0.2728680968284607,0.3595745265483856,0.24330811202526093,0.4406847059726715,0.3906462490558624,0.06933140009641647,0.17890112102031708
killed,0.1255389302968979,0.1783437877893448,0.25953033566474915,0.4245969355106354,0.16892902553081512,0.27886173129081726,0.23115427792072296,0.041274286806583405,0.17928971350193024
or,0.3378981947898865,0.36905089020729065,0.17725598812103271,0.1341688632965088,0.1777304857969284,0.30274316668510437,0.4174870550632477,0.14739792048931122,0.32389625906944275
submitted,0.13834938406944275,0.1703856736421585,0.14314962923526764,0.18716637790203094,0.09760565310716629,0.28346261382102966,0.2515087127685547,0.10980673879384995,0.2415507286787033
",",0.22659391164779663,0.40610817074775696,0.23394492268562317,0.26419100165367126,0.28250643610954285,0.3680937886238098,0.4933079481124878,0.05690858140587807,0.31091248989105225
roughly,0.24497489631175995,0.265968918800354,0.22722363471984863,0.13937516510486603,0.15211032330989838,0.22591209411621094,0.3095499873161316,0.07702392339706421,0.09299357235431671
"500,000",0.040930114686489105,-0.008393935859203339,0.07805506139993668,0.015525756403803825,0.13518257439136505,0.18886104226112366,0.18992732465267181,-0.28445056080818176,0.033224716782569885
huguenots,0.17459295690059662,0.27507859468460083,1.0,0.3725947439670563,0.44966813921928406,0.16713643074035645,0.30745792388916016,0.10063250362873077,0.16010338068008423
had,0.2549138069152832,0.40130746364593506,0.2472342848777771,0.3780874013900757,0.2409151792526245,0.37294110655784607,0.3875846862792969,-0.023040249943733215,0.20728366076946259
fled,0.14125284552574158,0.219984233379364,0.3725947439670563,0.9999999403953552,0.2900550961494446,0.23437130451202393,0.27857163548469543,0.026727134361863136,0.13968057930469513
france,0.13197430968284607,0.24514140188694,0.44966813921928406,0.2900550961494446,1.0000001192092896,0.22743742167949677,0.35517507791519165,0.2017490118741989,0.15069349110126495
by,0.34370526671409607,0.3409687578678131,0.16713643074035645,0.23437130451202393,0.22743742167949677,1.0000001192092896,0.4408751428127289,0.04685600474476814,0.17966607213020325
the,0.33890387415885925,0.4335206151008606,0.30745792388916016,0.27857163548469543,0.35517507791519165,0.4408751428127289,1.0,-0.02057970128953457,0.22068053483963013
early,0.2415190190076828,0.4033903181552887,0.22591663897037506,0.2078656405210495,0.22195738554000854,0.25586557388305664,0.34442198276519775,-0.01666240021586418,0.15272949635982513
18th,0.19687892496585846,0.10557981580495834,0.04273581504821777,-0.019283704459667206,0.07888656854629517,0.2704973816871643,0.2844390869140625,-0.1198999211192131,0.11879357695579529
century,0.1569085419178009,0.3132779002189636,0.290620356798172,0.21803151071071625,0.2201867252588272,0.29995259642601013,0.3617299497127533,-0.009008786641061306,0.1026201918721199
[,0.03530287742614746,0.1508627086877823,0.11062141507863998,0.10125056654214859,0.10363444685935974,0.10289373248815536,0.07130392640829086,-0.19876936078071594,0.011015460826456547
citation,0.1860959678888321,0.13911859691143036,0.14196740090847015,0.07468205690383911,0.12981587648391724,0.13910628855228424,0.2536581754684448,0.1749299168586731,0.3382055461406708
needed,0.4245111644268036,0.3006705045700073,0.1760949045419693,0.12905731797218323,0.2072603851556778,0.24527448415756226,0.3064746856689453,0.16863545775413513,0.2863257825374603
],0.06738625466823578,-0.016180947422981262,-0.03622718155384064,-0.023372763767838478,-0.11613856256008148,0.043569888919591904,-0.04779602214694023,0.03622448816895485,-0.0022520492784678936
.,0.3287222981452942,0.3974229395389557,0.2170230895280838,0.18768249452114105,0.33719199895858765,0.3936232924461365,0.5934505462646484,0.06749255955219269,0.4130953550338745
