,iran,has,assisted,what,type,of,groups,in,iraq,?
the,0.2222200483083725,0.4177538752555847,0.22827282547950745,0.42745697498321533,0.21819381415843964,0.733189046382904,0.27790749073028564,0.6662389636039734,0.2386751025915146,0.22068053483963013
islamic,0.4710836112499237,0.14078153669834137,0.19627733528614044,0.2204568088054657,0.13606184720993042,0.25656506419181824,0.19505317509174347,0.19633598625659943,0.5077990293502808,0.1692383587360382
republic,0.3211982548236847,0.18762972950935364,0.09483898431062698,0.18626701831817627,0.07982514053583145,0.2802940905094147,0.17529211938381195,0.2782426178455353,0.27616164088249207,0.16880398988723755
has,0.19236522912979126,1.0,0.10563670098781586,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.21874025464057922,0.4173259735107422,0.17999696731567383,0.15994466841220856
also,0.24878323078155518,0.505894660949707,0.23582322895526886,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.26234152913093567,0.5073733329772949,0.24563078582286835,0.21848613023757935
maintained,0.09500738233327866,0.1698572039604187,0.3224574029445648,0.20107032358646393,0.1348963975906372,0.2985607385635376,0.13270224630832672,0.21686826646327972,0.18211489915847778,0.17174425721168518
its,0.19463782012462616,0.4627293348312378,0.09257277101278305,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.16035817563533783,0.3793783485889435,0.2592979967594147,0.15103481709957123
hold,0.1727595180273056,0.24276848137378693,0.21625202894210815,0.20790280401706696,0.17571261525154114,0.2465030699968338,0.18329055607318878,0.2667064666748047,0.22073595225811005,0.18586084246635437
on,0.1285727322101593,0.34604379534721375,0.18990923464298248,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.14260469377040863,0.46853652596473694,0.14956407248973846,0.2714994251728058
power,0.1758042573928833,0.1779095083475113,0.19276995956897736,0.22216427326202393,0.09106644988059998,0.25273123383522034,0.19567672908306122,0.16666220128536224,0.1508893221616745,0.15304024517536163
in,0.2470509260892868,0.4173259735107422,0.22382716834545135,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22620722651481628,1.0,0.2443525791168213,0.20430970191955566
iran,1.0,0.19236522912979126,0.16369286179542542,0.1860760748386383,0.09119100123643875,0.23381876945495605,0.16843289136886597,0.2470509260892868,0.6300618648529053,0.13501082360744476
in,0.2470509260892868,0.4173259735107422,0.22382716834545135,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22620722651481628,1.0,0.2443525791168213,0.20430970191955566
spite,0.16695022583007812,0.2588801980018616,0.22662651538848877,0.21531596779823303,0.13725963234901428,0.3317907452583313,0.19598066806793213,0.2916569411754608,0.26632192730903625,0.1537058800458908
of,0.23381876945495605,0.3909035325050354,0.282266229391098,0.33290785551071167,0.18112817406654358,1.0,0.24723079800605774,0.5696388483047485,0.24110949039459229,0.1826142966747284
us,0.18379206955432892,0.16496556997299194,0.16183918714523315,0.32081687450408936,0.1764208972454071,0.23568789660930634,0.1377282589673996,0.19746538996696472,0.269081175327301,0.2742428481578827
economic,0.19921056926250458,0.2052665501832962,0.13444934785366058,0.18082544207572937,0.06928404420614243,0.3030148148536682,0.14629316329956055,0.22027181088924408,0.2651976943016052,0.1206481084227562
sanctions,0.2659151554107666,0.1647941917181015,0.23893022537231445,0.3307080864906311,0.12155388295650482,0.23423455655574799,0.2694297730922699,0.1741596907377243,0.306732177734375,0.2475357949733734
",",0.21806921064853668,0.3734780251979828,0.23627705872058868,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2671695053577423,0.5201468467712402,0.20734131336212158,0.31091248989105225
and,0.21643413603305817,0.43716782331466675,0.2880154848098755,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.29783302545547485,0.4954058527946472,0.2504468858242035,0.20544172823429108
has,0.19236522912979126,1.0,0.10563670098781586,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.21874025464057922,0.4173259735107422,0.17999696731567383,0.15994466841220856
created,0.10246577113866806,0.2519540786743164,0.20989984273910522,0.20714101195335388,0.11768139898777008,0.32043445110321045,0.09580762684345245,0.2843434810638428,0.1325855702161789,0.21177415549755096
or,0.20138238370418549,0.316264808177948,0.2702527940273285,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.26111581921577454,0.3586423695087433,0.1881619244813919,0.32389625906944275
assisted,0.16369286179542542,0.10563670098781586,0.9999999403953552,0.1354658454656601,0.14741699397563934,0.282266229391098,0.1637575924396515,0.22382716834545135,0.1861175000667572,0.08560974150896072
