,what,type,of,conservation,effort,is,gaining,attention,in,the,amazon,?
meanwhile,0.24885934591293335,0.020702803507447243,0.1686907261610031,0.13267211616039276,0.35231927037239075,0.12701289355754852,0.30352091789245605,0.25674471259117126,0.18316087126731873,0.2615615129470825,0.17107561230659485,0.16201108694076538
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.23182041943073273,0.21392761170864105,0.4691906273365021,0.2934018671512604,0.23177941143512726,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2678036689758301,0.25344645977020264,0.5823672413825989,0.35633590817451477,0.256243497133255,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
relationship,0.24358563125133514,0.020544983446598053,0.22000651061534882,0.19574537873268127,0.1875332146883011,0.22806847095489502,0.21726103127002716,0.24242137372493744,0.20233847200870514,0.21018025279045105,0.14752380549907684,0.11361731588840485
between,0.2462156116962433,0.13229937851428986,0.3737983703613281,0.16681449115276337,0.16899284720420837,0.26809602975845337,0.23201841115951538,0.13662946224212646,0.41100412607192993,0.39067012071609497,0.12149064987897873,0.12887074053287506
non-human,0.25379765033721924,0.1605299413204193,0.35383766889572144,0.3315894305706024,0.25705423951148987,0.26165997982025146,0.18625883758068085,0.24544638395309448,0.25450780987739563,0.3160475492477417,0.16053324937820435,0.2629164159297943
primates,0.24427421391010284,0.19510118663311005,0.30702629685401917,0.27496370673179626,0.1491391360759735,0.26225176453590393,0.09948637336492538,0.16271409392356873,0.19309717416763306,0.24906249344348907,0.2332470715045929,0.17433509230613708
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.24742233753204346,0.18001915514469147,0.5394441485404968,0.32260259985923767,0.2495301067829132,1.0,0.6662389636039734,0.12227833271026611,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2678036689758301,0.25344645977020264,0.5823672413825989,0.35633590817451477,0.256243497133255,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
subsistence,0.25011420249938965,0.18829777836799622,0.23735900223255157,0.32448968291282654,0.3071049451828003,0.243722066283226,0.2892439067363739,0.30005306005477905,0.27142032980918884,0.2609193027019501,0.26410073041915894,0.13591037690639496
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2740582227706909,0.25185704231262207,0.3859752118587494,0.3063693046569824,0.2678675949573517,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20544172823429108
symbolism,0.24349315464496613,0.20256246626377106,0.3304949402809143,0.2837654948234558,0.16941435635089874,0.23534630239009857,0.18706275522708893,0.21036390960216522,0.19021116197109222,0.26660382747650146,0.12845976650714874,0.1440187692642212
of,0.33290785551071167,0.18112817406654358,1.0,0.2804107666015625,0.21940191090106964,0.4854315221309662,0.314731627702713,0.21725396811962128,0.5696388483047485,0.733189046382904,0.20143137872219086,0.1826142966747284
indigenous,0.19103914499282837,0.09747857600450516,0.2675965428352356,0.30722522735595703,0.1700778603553772,0.1472627967596054,0.16423965990543365,0.19194841384887695,0.19140906631946564,0.24885469675064087,0.3022803068161011,0.14450161159038544
lowland,0.13359485566616058,0.08453115820884705,0.23005831241607666,0.29175540804862976,0.11900826543569565,0.2310178130865097,0.10232385993003845,0.13646815717220306,0.21987305581569672,0.23083484172821045,0.28689879179000854,0.11702325940132141
south,0.15388517081737518,0.11440043896436691,0.33382371068000793,0.22276853024959564,0.09927093982696533,0.27680471539497375,0.1497708410024643,0.1118292286992073,0.33642083406448364,0.3129390776157379,0.23864558339118958,0.12336621433496475
american,0.1909721940755844,0.1438770294189453,0.22180068492889404,0.149314746260643,0.17356626689434052,0.1853146106004715,0.1551227569580078,0.23111097514629364,0.22871561348438263,0.24562937021255493,0.15544374287128448,0.18877598643302917
peoples,0.26138749718666077,0.13879643380641937,0.2785113751888275,0.2101965695619583,0.15735790133476257,0.21010412275791168,0.18904900550842285,0.1836874783039093,0.2226382941007614,0.3388310670852661,0.22153738141059875,0.2085462063550949
has,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.2469862401485443,0.17719730734825134,0.5668748617172241,0.297532856464386,0.2816322147846222,0.4173259735107422,0.4177538752555847,0.1779293268918991,0.15994466841220856
gained,0.15457381308078766,0.09751135110855103,0.29895761609077454,0.24116459488868713,0.2602395713329315,0.2201099395751953,0.6673696637153625,0.32959404587745667,0.2935055196285248,0.29543522000312805,0.14820462465286255,0.11261032521724701
increased,0.1599731743335724,0.17842847108840942,0.3371390700340271,0.26679497957229614,0.3031983971595764,0.1395888477563858,0.4747427701950073,0.26952219009399414,0.244624063372612,0.3188653886318207,0.11138453334569931,0.09587585180997849
attention,0.3020271062850952,0.11746042221784592,0.21725396811962128,0.22946274280548096,0.4442557990550995,0.2123902142047882,0.35232168436050415,1.0,0.2495301067829132,0.256243497133255,0.11114959418773651,0.19994445145130157
