,how,was,the,fate,of,luther,decided,?
over,0.31446483731269836,0.24486446380615234,0.39856547117233276,0.21112100780010223,0.36136594414711,0.19360381364822388,0.2641545534133911,0.25742942094802856
the,0.33890387415885925,0.48711544275283813,1.0,0.24733972549438477,0.733189046382904,0.1759674996137619,0.37534645199775696,0.22068053483963013
next,0.24492809176445007,0.25374743342399597,0.35833123326301575,0.1703062504529953,0.2935165464878082,0.1511766016483307,0.2815415561199188,0.167460098862648
five,0.20553050935268402,0.310379296541214,0.41977158188819885,0.12714876234531403,0.3980514109134674,0.1796959936618805,0.20477566123008728,0.18342848122119904
days,0.23509229719638824,0.2985812723636627,0.2574930489063263,0.17454084753990173,0.23668107390403748,0.13727988302707672,0.24007761478424072,0.2198754847049713
",",0.22659391164779663,0.45456063747406006,0.4933079481124878,0.24074088037014008,0.4946078956127167,0.23255878686904907,0.2726382911205292,0.31091248989105225
private,0.08935344964265823,0.18122155964374542,0.18291357159614563,0.16800421476364136,0.18706899881362915,0.16110587120056152,0.16195209324359894,0.14389030635356903
conferences,0.18415935337543488,0.14676052331924438,0.2745058238506317,0.0980934277176857,0.22132393717765808,0.20808784663677216,0.18068429827690125,0.14015959203243256
were,0.2082374095916748,0.590133786201477,0.3906462490558624,0.1433301419019699,0.34038281440734863,0.18652333319187164,0.3337101638317108,0.17890112102031708
held,0.06776752322912216,0.30231067538261414,0.32185450196266174,0.0941343754529953,0.28960686922073364,0.14459224045276642,0.2519938349723816,0.14103956520557404
to,0.44169697165489197,0.3636345863342285,0.535392165184021,0.2908569574356079,0.41548454761505127,0.18029534816741943,0.43155255913734436,0.29463258385658264
determine,0.40512213110923767,0.2037431001663208,0.40889066457748413,0.2674010992050171,0.3512130081653595,0.13599593937397003,0.3398083746433258,0.2943372130393982
luther,0.13354721665382385,0.19185513257980347,0.1759674996137619,0.15312422811985016,0.1719115972518921,1.0,0.15696977078914642,0.1732746809720993
's,-0.026164190843701363,0.008974763564765453,-0.01540423184633255,0.027820022776722908,-0.03817026689648628,-0.009990512393414974,0.06634151935577393,-0.023395681753754616
fate,0.24687090516090393,0.17379353940486908,0.24733972549438477,1.0,0.17268212139606476,0.15312422811985016,0.21300764381885529,0.21421286463737488
.,0.3287222981452942,0.40146201848983765,0.5934505462646484,0.22537730634212494,0.5352458953857422,0.24907569587230682,0.2819988429546356,0.4130953550338745
