,what,ranking,in,terms,of,busiest,airports,from,international,passenger,volume,is,the,los,angeles,international,airport,?
southern,0.18679563701152802,0.09958385676145554,0.3190481662750244,0.10165897011756897,0.31933003664016724,0.28491127490997314,0.2372525930404663,0.21689370274543762,0.24635693430900574,0.1805310845375061,0.08800254762172699,0.2419366091489792,0.3282862603664398,0.18350043892860413,0.19405479729175568,0.24635693430900574,0.1950697898864746,0.11225555837154388
california,0.1811584085226059,0.16713650524616241,0.2772824168205261,0.11539845913648605,0.24929828941822052,0.20019985735416412,0.15659590065479279,0.23643477261066437,0.17338360846042633,0.12848161160945892,0.09968646615743637,0.20727038383483887,0.2750805914402008,0.641045331954956,0.6717669367790222,0.17338360846042633,0.16243690252304077,0.1409905105829239
is,0.28837618231773376,0.18622669577598572,0.5394441485404968,0.27452221512794495,0.4854315221309662,0.2508534789085388,0.24539045989513397,0.27355384826660156,0.19279639422893524,0.19047372043132782,0.20146408677101135,1.0,0.5823672413825989,0.17008589208126068,0.1558004766702652,0.19279639422893524,0.22916455566883087,0.22961433231830597
home,0.1608789712190628,0.1281375139951706,0.30467477440834045,0.0988706648349762,0.24402645230293274,0.20688223838806152,0.2237408608198166,0.29297688603401184,0.1566273272037506,0.1270584762096405,0.11464212089776993,0.22316986322402954,0.28978195786476135,0.18416017293930054,0.2074880450963974,0.1566273272037506,0.2079487293958664,0.0757145956158638
to,0.455847829580307,0.19595202803611755,0.45010748505592346,0.356818288564682,0.41548454761505127,0.19131967425346375,0.2841598093509674,0.4069952368736267,0.21173149347305298,0.2609814405441284,0.16561628878116608,0.42745086550712585,0.535392165184021,0.19904789328575134,0.20994949340820312,0.21173149347305298,0.2481278032064438,0.29463258385658264
los,0.12322991341352463,0.1534569263458252,0.2795681953430176,0.11635692417621613,0.17343297600746155,0.23854897916316986,0.2192031741142273,0.22446542978286743,0.18137431144714355,0.1156746968626976,0.11681912839412689,0.17008589208126068,0.2502395510673523,1.0,0.9408739805221558,0.18137431144714355,0.24956868588924408,0.15495611727237701
angeles,0.10702074319124222,0.1715724617242813,0.23927895724773407,0.10540961474180222,0.16643567383289337,0.24279502034187317,0.20881067216396332,0.21691568195819855,0.18879328668117523,0.12980474531650543,0.1257442981004715,0.1558004766702652,0.24588194489479065,0.9408739805221558,0.9999999403953552,0.18879328668117523,0.2300548404455185,0.16139166057109833
international,0.10870302468538284,0.2012215107679367,0.26377472281455994,0.23226720094680786,0.23367412388324738,0.361261785030365,0.4772913455963135,0.1384202241897583,1.0,0.2638404369354248,0.14446905255317688,0.19279639422893524,0.23719607293605804,0.18137431144714355,0.18879328668117523,1.0,0.5339593887329102,0.15335838496685028
airport,0.1263120174407959,0.08723551779985428,0.2244764268398285,0.21209567785263062,0.22884899377822876,0.5352697968482971,0.8551590442657471,0.18784548342227936,0.5339593887329102,0.49021145701408386,0.06744072586297989,0.22916455566883087,0.2293178290128708,0.24956868588924408,0.2300548404455185,0.5339593887329102,0.9999998807907104,0.13105051219463348
",",0.3087472915649414,0.2863360047340393,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.26035505533218384,0.28466933965682983,0.39760664105415344,0.23395943641662598,0.2499629110097885,0.2554939091205597,0.4691906273365021,0.4933079481124878,0.242568701505661,0.23721925914287567,0.23395943641662598,0.2669869363307953,0.31091248989105225
the,0.42745697498321533,0.3187980651855469,0.6662389636039734,0.29706791043281555,0.733189046382904,0.30110985040664673,0.297902911901474,0.40150508284568787,0.23719607293605804,0.22676396369934082,0.2396446168422699,0.5823672413825989,1.0,0.2502395510673523,0.24588194489479065,0.23719607293605804,0.2293178290128708,0.22068053483963013
second-busiest,0.2516663670539856,0.3362880349159241,0.35564687848091125,0.3231436610221863,0.3576912581920624,0.8840478658676147,0.5359368920326233,0.24829833209514618,0.3599835932254791,0.5068382620811462,0.22535103559494019,0.3198900818824768,0.3870893716812134,0.28890979290008545,0.2907382547855377,0.3599835932254791,0.5036026239395142,0.27712950110435486
airport,0.1263120174407959,0.08723551779985428,0.2244764268398285,0.21209567785263062,0.22884899377822876,0.5352697968482971,0.8551590442657471,0.18784548342227936,0.5339593887329102,0.49021145701408386,0.06744072586297989,0.22916455566883087,0.2293178290128708,0.24956868588924408,0.2300548404455185,0.5339593887329102,0.9999998807907104,0.13105051219463348
in,0.30808621644973755,0.23205991089344025,1.0,0.2410934716463089,0.5696388483047485,0.29075419902801514,0.28724297881126404,0.4274188280105591,0.26377472281455994,0.22410228848457336,0.19778774678707123,0.5394441485404968,0.6662389636039734,0.2795681953430176,0.23927895724773407,0.26377472281455994,0.2244764268398285,0.20430970191955566
the,0.42745697498321533,0.3187980651855469,0.6662389636039734,0.29706791043281555,0.733189046382904,0.30110985040664673,0.297902911901474,0.40150508284568787,0.23719607293605804,0.22676396369934082,0.2396446168422699,0.5823672413825989,1.0,0.2502395510673523,0.24588194489479065,0.23719607293605804,0.2293178290128708,0.22068053483963013
