,what,'s,the,climate,like,in,newcastle,?
the,0.42745697498321533,-0.01540423184633255,1.0,0.2693597674369812,0.32912567257881165,0.6662389636039734,0.2253497689962387,0.22068053483963013
climate,0.2854173183441162,0.04239832982420921,0.2693597674369812,1.0000001192092896,0.1522829383611679,0.24209141731262207,0.14343397319316864,0.19998492300510406
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.24209141731262207,0.31010183691978455,1.0,0.19270820915699005,0.20430970191955566
newcastle,0.16276082396507263,-0.017262522131204605,0.2253497689962387,0.14343397319316864,0.1072809025645256,0.19270820915699005,1.0000001192092896,0.0902252271771431
is,0.28837618231773376,0.02396530658006668,0.5823672413825989,0.26601269841194153,0.29710376262664795,0.5394441485404968,0.1841045320034027,0.22961433231830597
oceanic,0.11882314085960388,0.025408657267689705,0.26616084575653076,0.5493955016136169,0.18408866226673126,0.20883116126060486,0.25864988565444946,0.12940600514411926
(,0.2411840260028839,0.0012731997994706035,0.33289089798927307,0.1649118959903717,0.2465965300798416,0.3087427020072937,0.13896974921226501,0.40561532974243164
köppen,0.20744265615940094,0.07636627554893494,0.21937279403209686,0.7125304341316223,0.18595434725284576,0.22053219377994537,0.12365879118442535,0.20823095738887787
cfb,0.16539087891578674,0.0049339174292981625,0.26373550295829773,0.6361526846885681,0.16602911055088043,0.2627086043357849,0.20955032110214233,0.17808344960212708
),0.26259949803352356,0.021107977256178856,0.3456730246543884,0.17368096113204956,0.2585170269012451,0.3326910734176636,0.15254424512386322,0.42300865054130554
and,0.31309178471565247,0.06895173341035843,0.5171257257461548,0.2292918860912323,0.46997135877609253,0.4954058527946472,0.20204751193523407,0.20544172823429108
significantly,0.2746123671531677,-0.00217988109216094,0.3313288986682892,0.27589794993400574,0.2520332634449005,0.26986899971961975,0.1362217217683792,0.1823679804801941
milder,0.29651546478271484,0.0668599084019661,0.2787216007709503,0.3788158893585205,0.3384661376476288,0.2901853621006012,0.1489550769329071,0.175554558634758
than,0.29388150572776794,0.0585811510682106,0.3227543234825134,0.17530375719070435,0.39146819710731506,0.3270052373409271,0.20350264012813568,0.24917294085025787
some,0.4491020441055298,0.056411296129226685,0.4566698372364044,0.21322838962078094,0.6206092238426208,0.4010399878025055,0.15282872319221497,0.2562315762042999
other,0.341873437166214,0.04445967823266983,0.44152235984802246,0.19015616178512573,0.5279693007469177,0.39989137649536133,0.1582431048154831,0.24682199954986572
locations,0.21363390982151031,0.01308623980730772,0.3575807511806488,0.2619137763977051,0.17352338135242462,0.36845505237579346,0.22499416768550873,0.14570996165275574
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.24209141731262207,0.31010183691978455,1.0,0.19270820915699005,0.20430970191955566
the,0.42745697498321533,-0.01540423184633255,1.0,0.2693597674369812,0.32912567257881165,0.6662389636039734,0.2253497689962387,0.22068053483963013
world,0.21669597923755646,0.11877062171697617,0.33604270219802856,0.16446244716644287,0.2394198477268219,0.3038199245929718,0.1675499528646469,0.17579582333564758
