,when,were,the,talks,held,for,braodcast,right,to,the,primier,league,for,a,five,year,period,from,the,1992,season,?
in,0.4431333839893341,0.3815755248069763,0.6662389636039734,0.28361591696739197,0.3127288818359375,0.4322226941585541,0.2795616388320923,0.16096803545951843,0.45010748505592346,0.6662389636039734,0.20389752089977264,0.22963495552539825,0.4322226941585541,0.539380669593811,0.3634254038333893,0.3359307050704956,0.23051127791404724,0.4274188280105591,0.6662389636039734,0.0684703141450882,0.2184021919965744,0.20430970191955566
the,0.5091903209686279,0.3906462490558624,1.0,0.25979292392730713,0.32185450196266174,0.4739971458911896,0.2937507629394531,0.33901116251945496,0.535392165184021,1.0,0.25859078764915466,0.2724147439002991,0.4739971458911896,0.5829201340675354,0.41977158188819885,0.3609684407711029,0.3125074505805969,0.40150508284568787,1.0,0.12138951569795609,0.2507155239582062,0.22068053483963013
autumn,0.3020752966403961,0.17703205347061157,0.28377342224121094,0.20527352392673492,0.23044002056121826,0.21318070590496063,0.21523870527744293,0.08166284114122391,0.17767967283725739,0.28377342224121094,0.08000282943248749,0.14511099457740784,0.21318070590496063,0.2288287878036499,0.24915121495723724,0.36953896284103394,0.3118404150009155,0.180420383810997,0.28377342224121094,0.04225204139947891,0.3314986824989319,0.11069142818450928
of,0.3757161796092987,0.34038281440734863,0.733189046382904,0.22846148908138275,0.28960686922073364,0.4185989499092102,0.2310713231563568,0.22473211586475372,0.41548454761505127,0.733189046382904,0.26002490520477295,0.23588460683822632,0.4185989499092102,0.5052502155303955,0.3980514109134674,0.2578314542770386,0.2698146104812622,0.4249346852302551,0.733189046382904,0.083686463534832,0.1598338931798935,0.1826142966747284
1991,0.05683831870555878,0.044018298387527466,0.002508036559447646,0.17413580417633057,0.13045154511928558,0.07042362540960312,-0.020800646394491196,0.05390327796339989,0.11084804683923721,0.002508036559447646,-0.030912283807992935,0.07849100232124329,0.07042362540960312,0.005962178576737642,-0.020167987793684006,0.04858509823679924,0.07933707535266876,0.03472738340497017,0.002508036559447646,0.7843620181083679,-0.09516644477844238,0.175977423787117
",",0.36674630641937256,0.36755475401878357,0.4933079481124878,0.2362176775932312,0.2880980372428894,0.4464869201183319,0.30361998081207275,0.24165019392967224,0.44245919585227966,0.4933079481124878,0.33242368698120117,0.20757631957530975,0.4464869201183319,0.427140474319458,0.3101605772972107,0.28560417890548706,0.25030651688575745,0.39760664105415344,0.4933079481124878,0.14831048250198364,0.2232367992401123,0.31091248989105225
talks,0.2767452895641327,0.1499936580657959,0.25979292392730713,1.0,0.13201956450939178,0.2527080476284027,0.32167285680770874,0.17063239216804504,0.248513326048851,0.25979292392730713,0.07998465746641159,0.11703485250473022,0.2527080476284027,0.26174911856651306,0.21907231211662292,0.1461573839187622,0.13618679344654083,0.19369548559188843,0.25979292392730713,0.16396690905094147,0.11447631567716599,0.19837336242198944
were,0.29649975895881653,1.0000001192092896,0.3906462490558624,0.1499936580657959,0.2591556906700134,0.33592689037323,0.16275562345981598,0.16714105010032654,0.31913647055625916,0.3906462490558624,0.190684974193573,0.2012902945280075,0.33592689037323,0.17203083634376526,0.37460240721702576,0.23735305666923523,0.2902187407016754,0.29991888999938965,0.3906462490558624,0.05307856947183609,0.20231115818023682,0.17890112102031708
held,0.1848648637533188,0.2591556906700134,0.32185450196266174,0.13201956450939178,1.0,0.2495253086090088,0.2958773672580719,0.21172161400318146,0.22177374362945557,0.32185450196266174,0.15029174089431763,0.22544537484645844,0.2495253086090088,0.22326228022575378,0.24590939283370972,0.2161356508731842,0.13813401758670807,0.2241152971982956,0.32185450196266174,0.19235707819461823,0.18285582959651947,0.14103956520557404
for,0.43402108550071716,0.33592689037323,0.4739971458911896,0.2527080476284027,0.2495253086090088,0.9999999403953552,0.2967599332332611,0.25850585103034973,0.4451248347759247,0.4739971458911896,0.1238107904791832,0.26433616876602173,0.9999999403953552,0.44038116931915283,0.30701300501823425,0.29294124245643616,0.27999383211135864,0.314039945602417,0.4739971458911896,0.0788465216755867,0.24490800499916077,0.264628142118454
