,in,what,episode,does,the,eleventh,doctor,first,acknowledge,his,number,?
in,1.0,0.30808621644973755,0.19184806942939758,0.214483380317688,0.6662389636039734,0.29234778881073,0.25567495822906494,0.4127444326877594,0.16945981979370117,0.3598145842552185,0.3024539053440094,0.20430970191955566
2010,0.2692960798740387,0.2741409242153168,0.09708831459283829,0.23874147236347198,0.31722962856292725,0.022845067083835602,0.06750862300395966,0.19260795414447784,0.32215750217437744,0.19968974590301514,0.1138920933008194,0.21232788264751434
",",0.5201468467712402,0.3087472915649414,0.18198037147521973,0.28617382049560547,0.4933079481124878,0.25195062160491943,0.20407600700855255,0.34503069519996643,0.2611771821975708,0.3378419280052185,0.2535701394081116,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.25342556834220886,0.35928019881248474,1.0,0.3663412928581238,0.2820442318916321,0.49448907375335693,0.25937798619270325,0.4394008219242096,0.35145696997642517,0.22068053483963013
eleventh,0.29234778881073,0.1283237636089325,0.3004342317581177,0.13018687069416046,0.3663412928581238,0.9999998807907104,0.2803051173686981,0.4543960690498352,0.17724674940109253,0.1854361891746521,0.24610784649848938,0.0976005420088768
doctor,0.25567495822906494,0.20870667695999146,0.2940889000892639,0.17192082107067108,0.2820442318916321,0.2803051173686981,0.9999999403953552,0.27244147658348083,0.12060265243053436,0.2365143597126007,0.12537972629070282,0.1462511420249939
similarly,0.31369346380233765,0.2804308831691742,0.1749793291091919,0.36849287152290344,0.33859682083129883,0.14331156015396118,0.10703309625387192,0.30527493357658386,0.24993501603603363,0.20396865904331207,0.3512825667858124,0.23036029934883118
calls,0.23785459995269775,0.212982177734375,0.186014324426651,0.34029877185821533,0.25462979078292847,0.12567409873008728,0.11470113694667816,0.2341478019952774,0.21380838751792908,0.1944054365158081,0.21653297543525696,0.13550543785095215
himself,0.1521509736776352,0.2431095689535141,0.2194342166185379,0.23097388446331024,0.24642214179039001,0.07763051241636276,0.2183612734079361,0.2006741464138031,0.28124237060546875,0.5622478127479553,0.09654504805803299,0.10407622903585434
``,0.04765888676047325,0.008517155423760414,-0.035673100501298904,0.06539655476808548,0.029072100296616554,0.0112016461789608,0.03718610852956772,0.006519378628581762,0.017939504235982895,0.008275155909359455,0.2640403211116791,0.0685480609536171
the,0.6662389636039734,0.42745697498321533,0.25342556834220886,0.35928019881248474,1.0,0.3663412928581238,0.2820442318916321,0.49448907375335693,0.25937798619270325,0.4394008219242096,0.35145696997642517,0.22068053483963013
eleventh,0.29234778881073,0.1283237636089325,0.3004342317581177,0.13018687069416046,0.3663412928581238,0.9999998807907104,0.2803051173686981,0.4543960690498352,0.17724674940109253,0.1854361891746521,0.24610784649848938,0.0976005420088768
'',0.07432962208986282,0.08143015950918198,-0.014759616926312447,-0.004023602232336998,0.041273195296525955,-0.05912568047642708,0.06782495975494385,-0.03874251991510391,0.027692299336194992,0.016508836299180984,-0.07258276641368866,0.018684765323996544
