,what,surrounds,chloroplasts,?
the,0.42745697498321533,0.3477858304977417,0.23062430322170258,0.22068053483963013
two,0.23363454639911652,0.22972367703914642,0.2635502219200134,0.19645625352859497
innermost,0.266414076089859,0.4005318284034729,0.4171588122844696,0.14674246311187744
lipid-bilayer,0.21807622909545898,0.37033888697624207,0.6588522791862488,0.2071004956960678
membranes,0.18834297358989716,0.31013792753219604,0.6635266542434692,0.20524227619171143
that,0.6297725439071655,0.23373402655124664,0.3177454173564911,0.32716336846351624
surround,0.1624242216348648,0.9132604002952576,0.2862917482852936,0.013390609063208103
all,0.41981086134910583,0.18561036884784698,0.2712666690349579,0.29575422406196594
chloroplasts,0.2524593770503998,0.29863688349723816,0.9999999403953552,0.13049766421318054
correspond,0.21269553899765015,0.274352103471756,0.33263134956359863,0.1509012132883072
to,0.455847829580307,0.25068747997283936,0.23370109498500824,0.29463258385658264
the,0.42745697498321533,0.3477858304977417,0.23062430322170258,0.22068053483963013
outer,0.2157491147518158,0.32410770654678345,0.33768129348754883,0.06864649802446365
and,0.31309178471565247,0.2848597466945648,0.21511349081993103,0.20544172823429108
inner,0.226011261343956,0.39365530014038086,0.259307324886322,0.10395674407482147
membranes,0.18834297358989716,0.31013792753219604,0.6635266542434692,0.20524227619171143
of,0.33290785551071167,0.34442681074142456,0.23179760575294495,0.1826142966747284
the,0.42745697498321533,0.3477858304977417,0.23062430322170258,0.22068053483963013
ancestral,0.17634287476539612,0.27229318022727966,0.35731181502342224,0.11722901463508606
cyanobacterium,0.241913303732872,0.2289620041847229,0.6887122988700867,0.20120567083358765
's,0.02692362666130066,0.021639740094542503,-0.026035647839307785,-0.023395681753754616
gram,0.146901473402977,0.25621962547302246,0.44798144698143005,0.07889904081821442
negative,0.23431497812271118,0.1798076331615448,0.2702185809612274,0.12562139332294464
cell,0.19222842156887054,0.21730928122997284,0.5408841967582703,0.2058541625738144
wall,0.164457768201828,0.35927674174308777,0.2721993327140808,0.06349854171276093
",",0.3087472915649414,0.2417454719543457,0.20794041454792023,0.31091248989105225
and,0.31309178471565247,0.2848597466945648,0.21511349081993103,0.20544172823429108
not,0.5449194312095642,0.20254112780094147,0.3099190890789032,0.41942933201789856
