,what,did,standard,&,poor,recommend,to,speed,economy,recovery,?
to,0.455847829580307,0.4452643394470215,0.1969985067844391,0.1254875510931015,0.2869894206523895,0.336964875459671,1.0,0.2900872230529785,0.2613506615161896,0.25767725706100464,0.29463258385658264
partially,0.24273231625556946,0.1673588752746582,0.21270975470542908,0.1290462762117386,0.24833674728870392,0.1831190437078476,0.26340022683143616,0.17356549203395844,0.1848912537097931,0.2238507717847824,0.10232327878475189
remedy,0.2918687164783478,0.21013371646404266,0.24261389672756195,0.1428649127483368,0.2995816171169281,0.31593915820121765,0.28719449043273926,0.14463675022125244,0.16852670907974243,0.3696807026863098,0.28438740968704224
the,0.42745697498321533,0.34736719727516174,0.29008856415748596,0.14992168545722961,0.21093174815177917,0.2400718331336975,0.535392165184021,0.2310667634010315,0.24644890427589417,0.2886691391468048,0.22068053483963013
wealth,0.2415573000907898,0.18967029452323914,0.13014960289001465,0.1077028214931488,0.3946211338043213,0.12874490022659302,0.30562296509742737,0.13748937845230103,0.4574192464351654,0.20272491872310638,0.1624586433172226
gap,0.17691411077976227,0.15783648192882538,0.19641906023025513,0.1537168025970459,0.25873735547065735,0.14065663516521454,0.22861579060554504,0.18367628753185272,0.13014161586761475,0.18416717648506165,0.09251954406499863
and,0.31309178471565247,0.34479495882987976,0.24117660522460938,0.34093084931373596,0.31649142503738403,0.24754086136817932,0.48971283435821533,0.23429381847381592,0.26484790444374084,0.21304096281528473,0.20544172823429108
the,0.42745697498321533,0.34736719727516174,0.29008856415748596,0.14992168545722961,0.21093174815177917,0.2400718331336975,0.535392165184021,0.2310667634010315,0.24644890427589417,0.2886691391468048,0.22068053483963013
resulting,0.17960047721862793,0.17864365875720978,0.2584391236305237,0.0978517159819603,0.2321188747882843,0.24048909544944763,0.26808956265449524,0.20920778810977936,0.23314954340457916,0.3560779392719269,0.10813049972057343
slow,0.22626596689224243,0.21056197583675385,0.23765872418880463,0.08795034885406494,0.25205162167549133,0.2527295649051666,0.3074672520160675,0.4621789753437042,0.2099740356206894,0.3686431050300598,0.15685610473155975
growth,0.1739405393600464,0.09287795424461365,0.17347215116024017,0.0028874618001282215,0.2721604108810425,0.183611199259758,0.2701800763607025,0.26800546050071716,0.48972833156585693,0.33420854806900024,0.07547862827777863
",",0.3087472915649414,0.3015086054801941,0.2593318521976471,0.2516871392726898,0.24018602073192596,0.24663792550563812,0.44245919585227966,0.21732394397258759,0.2521176040172577,0.20187516510486603,0.31091248989105225
s,0.3634900748729706,0.33910059928894043,0.1492084264755249,0.17796005308628082,0.18592390418052673,0.264515221118927,0.35941416025161743,0.17274782061576843,0.18386158347129822,0.22606943547725677,0.25130221247673035
&,0.11141876131296158,0.160298690199852,0.07836944609880447,0.9999998807907104,0.11703526228666306,0.04755605384707451,0.1254875510931015,0.15802666544914246,0.14101241528987885,0.09989806264638901,0.12596383690834045
p,0.18586504459381104,0.1595689356327057,0.13453732430934906,0.10110129415988922,0.09647409617900848,0.06454543024301529,0.14269764721393585,0.06782463937997818,0.12977728247642517,0.09583072364330292,0.20840544998645782
recommended,0.19394323229789734,0.2296464890241623,0.3602748513221741,0.033237919211387634,0.20683057606220245,0.8613465428352356,0.2934373915195465,0.20961366593837738,0.11695387214422226,0.2547414302825928,0.22072286903858185
increasing,0.2066856026649475,0.16384060680866241,0.24618977308273315,0.08067337423563004,0.27869370579719543,0.2921694815158844,0.35017409920692444,0.30198168754577637,0.33823707699775696,0.35593196749687195,0.0681626945734024
access,0.2685140371322632,0.17740806937217712,0.23239004611968994,0.12091520428657532,0.22421543300151825,0.24126848578453064,0.3465658128261566,0.2202649563550949,0.18265247344970703,0.2970818281173706,0.2482174038887024
to,0.455847829580307,0.4452643394470215,0.1969985067844391,0.1254875510931015,0.2869894206523895,0.336964875459671,1.0,0.2900872230529785,0.2613506615161896,0.25767725706100464,0.29463258385658264
education,0.19940856099128723,0.19762296974658966,0.19984884560108185,0.16498492658138275,0.26964056491851807,0.2751566171646118,0.2626708149909973,0.1238919273018837,0.3624971807003021,0.2175661027431488,0.18067774176597595
.,0.3567904531955719,0.35288307070732117,0.2521037757396698,0.16452857851982117,0.2311597615480423,0.2671709358692169,0.4645031690597534,0.20181311666965485,0.2477293759584427,0.26325103640556335,0.4130953550338745
