,other,than,downtown,san,bernardino,",",and,university,town,",",what,is,the,name,of,another,business,district,in,the,san,bernardino-riverside,area,?
the,0.44152235984802246,0.3227543234825134,0.2602716088294983,0.2858080565929413,0.2722903788089752,0.4933079481124878,0.5171257257461548,0.263973206281662,0.2974243760108948,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5019711852073669,0.2389037162065506,0.2690705955028534,0.6662389636039734,1.0,0.2858080565929413,0.32106998562812805,0.37834644317626953,0.22068053483963013
san,0.19091297686100006,0.12380602955818176,0.27212876081466675,0.9999999403953552,0.5765351057052612,0.25561806559562683,0.23541347682476044,0.235455721616745,0.21097707748413086,0.25561806559562683,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.14419548213481903,0.25237205624580383,0.24759747087955475,0.16463854908943176,0.18726517260074615,0.2617562413215637,0.2858080565929413,0.9999999403953552,0.5082616806030273,0.22260162234306335,0.10952327400445938
bernardino-riverside,0.25891974568367004,0.21082477271556854,0.3829232454299927,0.5082616806030273,0.8775305151939392,0.35569530725479126,0.3374635875225067,0.4061858057975769,0.3016355037689209,0.35569530725479126,0.14221705496311188,0.24552462995052338,0.32106998562812805,0.16898414492607117,0.32303130626678467,0.2519926428794861,0.2635737359523773,0.23510685563087463,0.34832820296287537,0.32106998562812805,0.5082616806030273,1.0,0.3118157982826233,0.1442173719406128
area,0.21664315462112427,0.19351425766944885,0.37015464901924133,0.22260162234306335,0.2726062834262848,0.2664283812046051,0.3044000566005707,0.21217475831508636,0.38551488518714905,0.2664283812046051,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.205547034740448,0.3409860134124756,0.18496209383010864,0.24424728751182556,0.3625546097755432,0.33632898330688477,0.37834644317626953,0.22260162234306335,0.3118157982826233,1.0,0.12640461325645447
maintains,0.28373241424560547,0.26233088970184326,0.18014657497406006,0.10670089721679688,0.1769160032272339,0.1875990927219391,0.3021034300327301,0.17040471732616425,0.09100028872489929,0.1875990927219391,0.17929726839065552,0.2847173810005188,0.2744854986667633,0.10663077980279922,0.2886165380477905,0.15671399235725403,0.22201251983642578,0.13131621479988098,0.21605880558490753,0.2744854986667633,0.10670089721679688,0.2625933885574341,0.17512786388397217,0.13273680210113525
the,0.44152235984802246,0.3227543234825134,0.2602716088294983,0.2858080565929413,0.2722903788089752,0.4933079481124878,0.5171257257461548,0.263973206281662,0.2974243760108948,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5019711852073669,0.2389037162065506,0.2690705955028534,0.6662389636039734,1.0,0.2858080565929413,0.32106998562812805,0.37834644317626953,0.22068053483963013
business,0.24130384624004364,0.14834512770175934,0.3174465298652649,0.16463854908943176,0.18241633474826813,0.2952407896518707,0.33353009819984436,0.3387548327445984,0.1984366774559021,0.2952407896518707,0.21758167445659637,0.19332653284072876,0.2389037162065506,0.1640031337738037,0.23985227942466736,0.20401254296302795,1.0,0.18776759505271912,0.2298729121685028,0.2389037162065506,0.16463854908943176,0.2635737359523773,0.24424728751182556,0.1545659303665161
districts,0.19583407044410706,0.16014926135540009,0.32565128803253174,0.09998460114002228,0.17501145601272583,0.252678245306015,0.2542273700237274,0.2290971875190735,0.32651883363723755,0.252678245306015,0.16162313520908356,0.20545536279678345,0.233962744474411,0.192239910364151,0.2693168818950653,0.09026633948087692,0.138702392578125,0.7729225754737854,0.26488247513771057,0.233962744474411,0.09998460114002228,0.2361316829919815,0.36275556683540344,0.10677915066480637
of,0.38583824038505554,0.33036211133003235,0.21455974876880646,0.25237205624580383,0.26093193888664246,0.4946078956127167,0.5116966962814331,0.30646374821662903,0.26585668325424194,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.38147079944610596,0.23985227942466736,0.2673880457878113,0.5696388483047485,0.733189046382904,0.25237205624580383,0.32303130626678467,0.3409860134124756,0.1826142966747284
downtown,0.16975097358226776,0.13280484080314636,1.0,0.27212876081466675,0.2855835556983948,0.2289871871471405,0.20503629744052887,0.24075117707252502,0.43066152930259705,0.2289871871471405,0.1348404437303543,0.21999821066856384,0.2602716088294983,0.09688074886798859,0.21455974876880646,0.1579238325357437,0.3174465298652649,0.40016987919807434,0.2716291546821594,0.2602716088294983,0.27212876081466675,0.3829232454299927,0.37015464901924133,0.15638743340969086
san,0.19091297686100006,0.12380602955818176,0.27212876081466675,0.9999999403953552,0.5765351057052612,0.25561806559562683,0.23541347682476044,0.235455721616745,0.21097707748413086,0.25561806559562683,0.19375550746917725,0.1594623327255249,0.2858080565929413,0.14419548213481903,0.25237205624580383,0.24759747087955475,0.16463854908943176,0.18726517260074615,0.2617562413215637,0.2858080565929413,0.9999999403953552,0.5082616806030273,0.22260162234306335,0.10952327400445938
bernardino,0.18902890384197235,0.1527048796415329,0.2855835556983948,0.5765351057052612,1.0,0.3134419322013855,0.2651553452014923,0.2744377851486206,0.23904888331890106,0.3134419322013855,0.09213948994874954,0.2006608545780182,0.2722903788089752,0.12842392921447754,0.26093193888664246,0.18976818025112152,0.18241633474826813,0.19070717692375183,0.28734850883483887,0.2722903788089752,0.5765351057052612,0.8775305151939392,0.2726062834262848,0.11443846672773361
",",0.4446498453617096,0.3371901512145996,0.2289871871471405,0.25561806559562683,0.3134419322013855,1.0000001192092896,0.6633074283599854,0.3017033040523529,0.27598801255226135,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3283841907978058,0.2952407896518707,0.25852543115615845,0.5201468467712402,0.4933079481124878,0.25561806559562683,0.35569530725479126,0.2664283812046051,0.31091248989105225
hospitality,0.24915635585784912,0.2634057402610779,0.29127228260040283,0.20770366489887238,0.21446040272712708,0.24814504384994507,0.2564185559749603,0.28207308053970337,0.24799954891204834,0.24814504384994507,0.18768493831157684,0.19215074181556702,0.1877073347568512,0.10374414920806885,0.23605740070343018,0.18221375346183777,0.36043810844421387,0.20789267122745514,0.28036344051361084,0.1877073347568512,0.20770366489887238,0.282490074634552,0.18590481579303741,0.16437436640262604
business/financial,0.3180406093597412,0.1924731731414795,0.39706626534461975,0.256736159324646,0.25458985567092896,0.3432590365409851,0.35217270255088806,0.3123294711112976,0.21651075780391693,0.3432590365409851,0.22776144742965698,0.22753947973251343,0.31136345863342285,0.18293629586696625,0.2994024455547333,0.24877868592739105,0.8014297485351562,0.2461654543876648,0.2802281975746155,0.31136345863342285,0.256736159324646,0.3607025146484375,0.2490968108177185,0.16861788928508759
