,whose,tune,did,luther,adapt,for,the,hymn,of,psalm,67,?
luther,0.16639941930770874,0.19087892770767212,0.23667675256729126,1.0,0.146665558218956,0.12958186864852905,0.1759674996137619,0.24335725605487823,0.1719115972518921,0.29639866948127747,0.048615239560604095,0.1732746809720993
adopted,0.23802854120731354,0.23314882814884186,0.18617329001426697,0.163173645734787,0.14961275458335876,0.20525452494621277,0.23462533950805664,0.23668532073497772,0.25312307476997375,0.18696631491184235,-0.0369926281273365,0.14235380291938782
a,0.3225097060203552,0.19273002445697784,0.2552328109741211,0.17967689037322998,0.17611685395240784,0.44038116931915283,0.5829201340675354,0.1312560737133026,0.5052502155303955,0.16876152157783508,0.07521291077136993,0.23916715383529663
preexisting,0.2893838882446289,0.19644244015216827,0.2810747027397156,0.25616440176963806,0.364589124917984,0.3373592793941498,0.3792289197444916,0.13359789550304413,0.3342739939689636,0.21186517179012299,-0.004482090473175049,0.3586890399456024
johann,0.24856384098529816,0.2087264508008957,0.20292572677135468,0.3837730586528778,0.1273571252822876,0.09551481157541275,0.1716882735490799,0.2852459251880646,0.19805940985679626,0.3290124237537384,-0.027256201952695847,0.1194499209523201
walter,0.16068853437900543,0.06418772041797638,0.13293832540512085,0.18744529783725739,0.07461876422166824,0.17418980598449707,0.16759788990020752,0.13532443344593048,0.16571573913097382,0.07501579821109772,0.0009389405022375286,0.1297207623720169
tune,0.1527867317199707,1.0000001192092896,0.15553449094295502,0.19087892770767212,0.16666275262832642,0.21801745891571045,0.22937244176864624,0.46293649077415466,0.16878852248191833,0.43424713611602783,-0.0318320132791996,0.19689199328422546
associated,0.3132377862930298,0.0922354981303215,0.1503729224205017,0.049763262271881104,0.149825781583786,0.22591517865657806,0.2742886245250702,0.12363722920417786,0.3077163100242615,0.1753951609134674,-0.0714070126414299,0.1453326791524887
with,0.3480498492717743,0.1794922798871994,0.25472134351730347,0.14705438911914825,0.20909695327281952,0.39140474796295166,0.4223487675189972,0.148435577750206,0.41827285289764404,0.18867526948451996,-0.14989911019802094,0.2433311939239502
a,0.3225097060203552,0.19273002445697784,0.2552328109741211,0.17967689037322998,0.17611685395240784,0.44038116931915283,0.5829201340675354,0.1312560737133026,0.5052502155303955,0.16876152157783508,0.07521291077136993,0.23916715383529663
hymnic,0.2913016974925995,0.411428838968277,0.18124788999557495,0.32363268733024597,0.14337976276874542,0.24600154161453247,0.26652225852012634,0.7424775958061218,0.2967688739299774,0.556915283203125,0.01858772337436676,0.26386120915412903
setting,0.17865529656410217,0.27718910574913025,0.15320318937301636,0.12176704406738281,0.2355077564716339,0.3253006041049957,0.2991926074028015,0.19826002418994904,0.22114701569080353,0.25206586718559265,0.06330076605081558,0.16943378746509552
of,0.37058958411216736,0.16878852248191833,0.2513895630836487,0.1719115972518921,0.1036267951130867,0.4185989499092102,0.733189046382904,0.27317509055137634,1.0,0.23457597196102142,-0.13137926161289215,0.1826142966747284
psalm,0.17916437983512878,0.43424713611602783,0.19757528603076935,0.29639866948127747,0.1364065706729889,0.22014567255973816,0.2587265372276306,0.5732090473175049,0.23457597196102142,1.0,-0.0687732920050621,0.1857936531305313
67,-0.08655982464551926,-0.0318320132791996,0.013637539930641651,0.048615239560604095,0.02260211482644081,0.00478841457515955,-0.03669794648885727,0.00818116869777441,-0.13137926161289215,-0.0687732920050621,1.0,0.011700204573571682
's,-0.019954677671194077,0.024915635585784912,0.05069678649306297,-0.009990512393414974,0.01883595809340477,-0.07241261005401611,-0.01540423184633255,0.01253789383918047,-0.03817026689648628,0.08232855051755905,0.05811597406864166,-0.023395681753754616
prayer,0.14872358739376068,0.2137640416622162,0.1209011897444725,0.23982968926429749,0.12474187463521957,0.1658758968114853,0.2471906840801239,0.35265955328941345,0.18775463104248047,0.5011515021324158,0.051424652338027954,0.2122897058725357
for,0.22978365421295166,0.21801745891571045,0.318512886762619,0.12958186864852905,0.23873509466648102,0.9999999403953552,0.4739971458911896,0.1612643152475357,0.4185989499092102,0.22014567255973816,0.00478841457515955,0.264628142118454
grace,0.16752031445503235,0.24796615540981293,0.17420122027397156,0.2020328938961029,0.09957810491323471,0.21431294083595276,0.20940588414669037,0.22219838201999664,0.2101200968027115,0.26743456721305847,0.02888300083577633,0.16775278747081757
;,-0.032943084836006165,-0.00991005077958107,0.10727239400148392,0.022799020633101463,0.014504804275929928,0.0293948445469141,0.09152708947658539,-0.04243727773427963,0.054534342139959335,0.04406377673149109,-0.043209098279476166,0.10349778085947037
wolf,0.15519149601459503,0.11680757254362106,0.16304148733615875,0.11546552926301956,0.017060015350580215,0.2083442211151123,0.24031135439872742,0.06996352970600128,0.16820232570171356,0.21671168506145477,0.0022890022955834866,0.2382325977087021
heintz,0.1406637281179428,0.20008519291877747,0.10886523872613907,0.3402539789676666,0.13254496455192566,0.18368472158908844,0.24010063707828522,0.14341618120670319,0.23782871663570404,0.25346189737319946,0.022183123975992203,0.16689983010292053
's,-0.019954677671194077,0.024915635585784912,0.05069678649306297,-0.009990512393414974,0.01883595809340477,-0.07241261005401611,-0.01540423184633255,0.01253789383918047,-0.03817026689648628,0.08232855051755905,0.05811597406864166,-0.023395681753754616
