,what,was,the,name,of,the,first,successful,credit,card,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.2864660918712616,0.07863761484622955,0.13119927048683167,0.20430970191955566
september,0.2153792530298233,0.4425655007362366,0.2516939043998718,0.1258731484413147,0.16787530481815338,0.2516939043998718,0.2735162377357483,0.20022673904895782,0.14826494455337524,0.12078003585338593,0.2665146589279175
1958,0.05193012207746506,0.01881168596446514,0.1250157356262207,0.02245754562318325,0.11629214137792587,0.1250157356262207,0.0450734905898571,-0.00412762863561511,-0.0034609755966812372,0.11930373311042786,0.009362862445414066
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.28826844692230225,0.2032226324081421,0.15319685637950897,0.31091248989105225
bank,0.13934029638767242,0.19418294727802277,0.3216422498226166,0.18234014511108398,0.2346848100423813,0.3216422498226166,0.1911180019378662,0.1599830836057663,0.364779531955719,0.2560318410396576,0.09656643867492676
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.3536086082458496,0.2304827868938446,0.1627483367919922,0.1392979621887207,0.1826142966747284
america,0.2517423629760742,0.2850865423679352,0.37090015411376953,0.15000012516975403,0.28803038597106934,0.37090015411376953,0.297447144985199,0.2432875782251358,0.18712712824344635,0.17276982963085175,0.19333907961845398
launched,0.1668553501367569,0.28489428758621216,0.2547066807746887,0.14127685129642487,0.20039688050746918,0.2547066807746887,0.30769190192222595,0.3509882986545563,0.12044944614171982,0.10388011485338211,0.1803835779428482
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.4287874400615692,0.28627005219459534,0.1721770018339157,0.1820177137851715,0.23916715383529663
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.19623230397701263,0.343457967042923,0.3845241069793701,0.3283863663673401,0.19698897004127502,0.12772375345230103,0.13127008080482483,0.14782847464084625
product,0.2465333193540573,0.20135562121868134,0.23984220623970032,0.2068859189748764,0.19526132941246033,0.23984220623970032,0.2198730856180191,0.19528527557849884,0.22475458681583405,0.17519976198673248,0.19651241600513458
called,0.3235960602760315,0.33927658200263977,0.489897221326828,0.30947911739349365,0.4222904443740845,0.489897221326828,0.39303290843963623,0.1613626331090927,0.08460879325866699,0.21117590367794037,0.18963319063186646
bankamericard,0.23255054652690887,0.36451223492622375,0.3408088982105255,0.17931708693504333,0.2885473370552063,0.3408088982105255,0.36080846190452576,0.22211351990699768,0.35285279154777527,0.4823612868785858,0.18920069932937622
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.2864660918712616,0.07863761484622955,0.13119927048683167,0.20430970191955566
fresno,0.159109428524971,0.2749030292034149,0.22571885585784912,0.17195947468280792,0.1875009983778,0.22571885585784912,0.15842407941818237,0.13140073418617249,0.09582646936178207,0.10445462167263031,0.13224096596240997
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.4345304071903229,0.361310213804245,0.2024930715560913,0.15348002314567566,0.4130953550338745
