,what,was,invented,by,savery,?
it,0.45803478360176086,0.4577186405658722,0.2435709834098816,0.40926623344421387,0.2604047954082489,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.2900676131248474,0.4752357602119446,0.3044261336326599,0.18412111699581146
an,0.2821882665157318,0.3694365322589874,0.16599276661872864,0.2719563841819763,0.3480273187160492,0.19793890416622162
improvement,0.3392397165298462,0.21624146401882172,0.24326306581497192,0.16851122677326202,0.3547031283378601,0.29089033603668213
over,0.28007611632347107,0.24486446380615234,0.1431138515472412,0.29360154271125793,0.20516811311244965,0.25742942094802856
savery,0.3273344337940216,0.3044261336326599,0.11554233729839325,0.3020610213279724,0.9999999403953552,0.2684193551540375
's,0.02692362666130066,0.008974763564765453,-0.04714568704366684,-0.010884488001465797,-0.013488960452377796,-0.023395681753754616
steam,0.15672586858272552,0.16913670301437378,0.3178778886795044,0.18134352564811707,0.21627888083457947,0.113324373960495
pump,0.2035713642835617,0.1084531843662262,0.21943464875221252,0.17725655436515808,0.16597431898117065,0.24768272042274475
",",0.3087472915649414,0.45456063747406006,0.21420055627822876,0.3680937886238098,0.3071451485157013,0.31091248989105225
using,0.27984681725502014,0.18766598403453827,0.4067314863204956,0.349493145942688,0.25661221146583557,0.2804589569568634
a,0.3320399522781372,0.4508470594882965,0.26715824007987976,0.32094135880470276,0.2876123785972595,0.23916715383529663
piston,0.13301563262939453,0.17682252824306488,0.29249686002731323,0.2196308970451355,0.18667393922805786,0.17207856476306915
as,0.31749409437179565,0.3677520453929901,0.19728437066078186,0.3815547823905945,0.30690765380859375,0.27043893933296204
proposed,0.22754324972629547,0.2461901754140854,0.22394806146621704,0.23662759363651276,0.23561742901802063,0.24553193151950836
by,0.2455483376979828,0.4752357602119446,0.24488699436187744,1.0000001192092896,0.3020610213279724,0.17966607213020325
papin,0.0718679130077362,0.25363972783088684,0.19700847566127777,0.23225648701190948,0.24115760624408722,0.1713949739933014
.,0.3567904531955719,0.40146201848983765,0.2224365919828415,0.3936232924461365,0.3226619362831116,0.4130953550338745
