,what,is,the,name,for,a,response,of,the,immune,system,that,damages,the,body,'s,native,tissues,?
hypersensitivity,0.26967501640319824,0.25074610114097595,0.20481128990650177,0.1169079914689064,0.22531257569789886,0.2388359159231186,0.3214438259601593,0.21048949658870697,0.20481128990650177,0.39750367403030396,0.2808554172515869,0.3382616937160492,0.35308435559272766,0.20481128990650177,0.33835119009017944,-0.07978840172290802,0.09577932208776474,0.4547387957572937,0.2192143201828003
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.43268078565597534,0.658733606338501,0.21022158861160278,0.4854315221309662,0.5823672413825989,0.2092347890138626,0.2282046526670456,0.3995479643344879,0.21285340189933777,0.5823672413825989,0.2790417969226837,0.02396530658006668,0.25614386796951294,0.19952771067619324,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.22033736109733582,0.3236706852912903,0.44552403688430786,0.2884137034416199,0.32280945777893066,0.4207492768764496,0.20370379090309143,0.17536801099777222,0.365763783454895,0.1752629280090332,0.4207492768764496,0.22158053517341614,0.025255560874938965,0.2282305657863617,0.1645270437002182,0.19793890416622162
immune,0.2410416603088379,0.2092347890138626,0.21364226937294006,0.09842023998498917,0.1448224037885666,0.20466765761375427,0.43541768193244934,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.30237793922424316,0.26771003007888794,0.21364226937294006,0.34409064054489136,-0.07542949169874191,0.13596023619174957,0.45840537548065186,0.16080476343631744
response,0.3532308340072632,0.21022158861160278,0.28909924626350403,0.1356540024280548,0.2802165448665619,0.25924429297447205,1.0000001192092896,0.21864040195941925,0.28909924626350403,0.43541768193244934,0.2933112382888794,0.3606419265270233,0.27291280031204224,0.28909924626350403,0.22096401453018188,-0.01666334457695484,0.1663493514060974,0.2863306701183319,0.2007838636636734
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27224332094192505,0.4137635827064514,0.47537946701049805,0.3606419265270233,0.41498205065727234,0.5473989248275757,0.30237793922424316,0.3088737428188324,1.0,0.28522905707359314,0.5473989248275757,0.32291916012763977,0.04397977516055107,0.19186517596244812,0.2756805121898651,0.32716336846351624
damages,0.23184578120708466,0.21285340189933777,0.28796979784965515,0.12152697145938873,0.2151288539171219,0.25232380628585815,0.27291280031204224,0.278875470161438,0.28796979784965515,0.26771003007888794,0.25492388010025024,0.28522905707359314,0.9999998807907104,0.28796979784965515,0.17492151260375977,-0.036546412855386734,0.12816378474235535,0.33575788140296936,0.1863042712211609
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.4739971458911896,0.5829201340675354,0.28909924626350403,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.5473989248275757,0.28796979784965515,1.0,0.31682634353637695,-0.01540423184633255,0.24374492466449738,0.25059279799461365,0.22068053483963013
body,0.2143840193748474,0.2790417969226837,0.31682634353637695,0.12333299219608307,0.16740016639232635,0.26263290643692017,0.22096401453018188,0.25063133239746094,0.31682634353637695,0.34409064054489136,0.2512437701225281,0.32291916012763977,0.17492151260375977,0.31682634353637695,1.0,0.003652067156508565,0.09844455868005753,0.48885056376457214,0.20136451721191406
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.08507627248764038,-0.07241261005401611,0.04866964742541313,-0.01666334457695484,-0.03817026689648628,-0.01540423184633255,-0.07542949169874191,0.04329425096511841,0.04397977516055107,-0.036546412855386734,-0.01540423184633255,0.003652067156508565,0.9999999403953552,0.0551753006875515,-0.0923314318060875,-0.023395681753754616
own,0.35062843561172485,0.2145606279373169,0.334675133228302,0.24912263453006744,0.30703625082969666,0.3093770742416382,0.22529765963554382,0.3269667625427246,0.334675133228302,0.23419548571109772,0.21587668359279633,0.37425005435943604,0.1967722326517105,0.334675133228302,0.29745158553123474,-0.0030622677877545357,0.18565629422664642,0.17778457701206207,0.1937696635723114
tissues,0.22605282068252563,0.19952771067619324,0.25059279799461365,0.06134185567498207,0.21586398780345917,0.22599223256111145,0.2863306701183319,0.22565603256225586,0.25059279799461365,0.45840537548065186,0.28325286507606506,0.2756805121898651,0.33575788140296936,0.25059279799461365,0.48885056376457214,-0.0923314318060875,0.15876860916614532,0.9999999403953552,0.17531797289848328
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.4726039469242096,0.50484299659729,0.2878446877002716,0.5352458953857422,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.4460422694683075,0.2893874943256378,0.5934505462646484,0.29751062393188477,-0.003708066651597619,0.28723880648612976,0.212555930018425,0.4130953550338745
