,what,field,of,computer,science,analyzes,all,possible,algorithms,in,aggregate,to,determine,the,resource,requirements,needed,to,solve,to,a,given,problem,?
a,0.3320399522781372,0.2030690312385559,0.5052502155303955,0.2548043727874756,0.2378881424665451,0.2868961691856384,0.2696802616119385,0.3421713411808014,0.21237695217132568,0.539380669593811,0.1707366406917572,0.45503583550453186,0.3650607168674469,0.5829201340675354,0.2206394225358963,0.24776260554790497,0.2915569543838501,0.45503583550453186,0.1866181194782257,0.45503583550453186,1.0,0.3335871398448944,0.2605542540550232,0.23916715383529663
key,0.2270265817642212,0.16020774841308594,0.24036972224712372,0.2712666094303131,0.18864697217941284,0.1904411017894745,0.22214466333389282,0.32022297382354736,0.44287964701652527,0.21450091898441315,0.06463219225406647,0.25827717781066895,0.22260376811027527,0.2260027974843979,0.1824033260345459,0.18538610637187958,0.25818827748298645,0.25827717781066895,0.1968347728252411,0.25827717781066895,0.23475825786590576,0.14088156819343567,0.19722595810890198,0.18782930076122284
distinction,0.33474257588386536,0.22060732543468475,0.30949485301971436,0.18915700912475586,0.320525586605072,0.2998151183128357,0.2826545238494873,0.3578597605228424,0.25777143239974976,0.27763235569000244,0.2832654118537903,0.2317284345626831,0.30845752358436584,0.3135315477848053,0.22231850028038025,0.3352673351764679,0.24796181917190552,0.2317284345626831,0.2542789578437805,0.2317284345626831,0.3092878758907318,0.2835192382335663,0.3163975477218628,0.15412788093090057
between,0.2462156116962433,0.16184750199317932,0.3737983703613281,0.12153850495815277,0.2011963576078415,0.20908235013484955,0.22774523496627808,0.27507370710372925,0.132367342710495,0.41100412607192993,0.22317880392074585,0.3639189600944519,0.27148598432540894,0.39067012071609497,0.10978805273771286,0.18827101588249207,0.22719775140285492,0.3639189600944519,0.23921477794647217,0.3639189600944519,0.29385313391685486,0.19117572903633118,0.26457515358924866,0.12887074053287506
analysis,0.2842639982700348,0.1618751436471939,0.24679350852966309,0.28493639826774597,0.30590203404426575,0.6778631210327148,0.17325997352600098,0.24317987263202667,0.34604814648628235,0.19403725862503052,0.16473834216594696,0.21860700845718384,0.3936672508716583,0.24241644144058228,0.23714801669120789,0.23428364098072052,0.19260109961032867,0.21860700845718384,0.301238089799881,0.21860700845718384,0.26785340905189514,0.20080460608005524,0.2806376516819,0.15352053940296173
of,0.33290785551071167,0.20410659909248352,1.0,0.18559479713439941,0.2616958022117615,0.261247456073761,0.42798417806625366,0.3314395844936371,0.22317801415920258,0.5696388483047485,0.22980687022209167,0.41548454761505127,0.3512130081653595,0.733189046382904,0.23272927105426788,0.2509140372276306,0.27215874195098877,0.41548454761505127,0.15426263213157654,0.41548454761505127,0.5052502155303955,0.39388060569763184,0.20464475452899933,0.1826142966747284
algorithms,0.25635042786598206,0.15343403816223145,0.22317801415920258,0.5081132054328918,0.3461097776889801,0.43914034962654114,0.19908522069454193,0.3520033061504364,0.9999999403953552,0.19189399480819702,0.17441673576831818,0.2158832848072052,0.31784796714782715,0.167828768491745,0.2866232097148895,0.3044353127479553,0.26116320490837097,0.2158832848072052,0.49159330129623413,0.2158832848072052,0.21237695217132568,0.1979406177997589,0.40899839997291565,0.186949223279953
and,0.31309178471565247,0.26487240195274353,0.5116966962814331,0.2362591028213501,0.2865735590457916,0.22708554565906525,0.4542157053947449,0.29339438676834106,0.13509784638881683,0.4954058527946472,0.32310691475868225,0.48971283435821533,0.2686745524406433,0.5171257257461548,0.26207050681114197,0.2906794250011444,0.32021039724349976,0.48971283435821533,0.2412077933549881,0.48971283435821533,0.3739250600337982,0.30185943841934204,0.24328261613845825,0.20544172823429108
computational,0.29464593529701233,0.36980336904525757,0.2832651138305664,0.5941354632377625,0.45112496614456177,0.5530529618263245,0.22930897772312164,0.39901992678642273,0.6361116766929626,0.2346334308385849,0.2086535394191742,0.246933713555336,0.44564688205718994,0.18477948009967804,0.36342814564704895,0.31835299730300903,0.3260936439037323,0.246933713555336,0.4393666684627533,0.246933713555336,0.29858994483947754,0.26848718523979187,0.41473615169525146,0.21617397665977478
complexity,0.33747240900993347,0.22523294389247894,0.23338180780410767,0.404285728931427,0.32986509799957275,0.43105074763298035,0.29204535484313965,0.4012523591518402,0.5325000286102295,0.20012179017066956,0.2125834971666336,0.28336837887763977,0.3504055142402649,0.21171598136425018,0.29355037212371826,0.4081214666366577,0.4031173586845398,0.28336837887763977,0.4029405415058136,0.28336837887763977,0.27206721901893616,0.19106194376945496,0.5039530992507935,0.23062916100025177
theory,0.297923743724823,0.27576664090156555,0.23506702482700348,0.21609924733638763,0.35820475220680237,0.3933151662349701,0.21550370752811432,0.28212982416152954,0.35808467864990234,0.16955126821994781,0.11990588158369064,0.21947365999221802,0.2877866327762604,0.2277156263589859,0.1780690997838974,0.20299828052520752,0.2017015963792801,0.21947365999221802,0.30191001296043396,0.21947365999221802,0.2233850657939911,0.20776313543319702,0.32978713512420654,0.1387292891740799
is,0.28837618231773376,0.17269009351730347,0.4854315221309662,0.2406304031610489,0.2747138440608978,0.26698657870292664,0.2553904056549072,0.2872174084186554,0.24730736017227173,0.5394441485404968,0.16067369282245636,0.42745086550712585,0.31959035992622375,0.5823672413825989,0.2658635079860687,0.23105266690254211,0.21605761349201202,0.42745086550712585,0.21876689791679382,0.42745086550712585,0.658733606338501,0.249215230345726,0.23238427937030792,0.22961433231830597
that,0.6297725439071655,0.2216513603925705,0.41498205065727234,0.2798757553100586,0.2881232798099518,0.3105841875076294,0.53305584192276,0.42499589920043945,0.2668388783931732,0.435920387506485,0.23019985854625702,0.5436353087425232,0.41576048731803894,0.5473989248275757,0.23472116887569427,0.40566104650497437,0.45214173197746277,0.5436353087425232,0.31365567445755005,0.5436353087425232,0.47537946701049805,0.3486595153808594,0.4416671693325043,0.32716336846351624
the,0.42745697498321533,0.2105809599161148,0.733189046382904,0.19781450927257538,0.24037593603134155,0.25657835602760315,0.4860881567001343,0.32701125741004944,0.167828768491745,0.6662389636039734,0.23144890367984772,0.535392165184021,0.40889066457748413,1.0,0.2305259257555008,0.26905253529548645,0.3064746856689453,0.535392165184021,0.16557666659355164,0.535392165184021,0.5829201340675354,0.37508252263069153,0.24928659200668335,0.22068053483963013
former,0.13598288595676422,0.12484055012464523,0.30415382981300354,0.060287956148386,0.07072022557258606,0.0946875661611557,0.15042118728160858,0.1050180122256279,0.04039556160569191,0.2668642997741699,0.0029245491605252028,0.12857267260551453,0.13675545156002045,0.2251449078321457,0.07883910834789276,0.154653400182724,0.11876479536294937,0.12857267260551453,0.04853101819753647,0.12857267260551453,0.2562483549118042,0.15737508237361908,0.08652699738740921,0.10570605844259262
is,0.28837618231773376,0.17269009351730347,0.4854315221309662,0.2406304031610489,0.2747138440608978,0.26698657870292664,0.2553904056549072,0.2872174084186554,0.24730736017227173,0.5394441485404968,0.16067369282245636,0.42745086550712585,0.31959035992622375,0.5823672413825989,0.2658635079860687,0.23105266690254211,0.21605761349201202,0.42745086550712585,0.21876689791679382,0.42745086550712585,0.658733606338501,0.249215230345726,0.23238427937030792,0.22961433231830597
devoted,0.18600232899188995,0.17713810503482819,0.2848767340183258,0.1434631496667862,0.2969905138015747,0.22984102368354797,0.21620187163352966,0.1279362291097641,0.16384829580783844,0.21890759468078613,0.12079720199108124,0.20871585607528687,0.20244361460208893,0.19689401984214783,0.23859041929244995,0.180214524269104,0.1919664442539215,0.20871585607528687,0.14007636904716492,0.20871585607528687,0.20091499388217926,0.23794184625148773,0.16721932590007782,0.15015941858291626
to,0.455847829580307,0.2647967040538788,0.41548454761505127,0.2594811022281647,0.2226530760526657,0.26241451501846313,0.42520734667778015,0.4506641626358032,0.2158832848072052,0.45010748505592346,0.20413537323474884,1.0,0.4076496958732605,0.535392165184021,0.28694528341293335,0.33546167612075806,0.45002421736717224,1.0,0.2640334367752075,1.0,0.45503583550453186,0.3428947925567627,0.2502208352088928,0.29463258385658264
analyzing,0.3381609320640564,0.195077046751976,0.26903924345970154,0.3869694471359253,0.41535067558288574,0.8334829807281494,0.26760900020599365,0.3788163661956787,0.4312376379966736,0.236190065741539,0.22213715314865112,0.3400440812110901,0.47067004442214966,0.2792452275753021,0.33885326981544495,0.28152966499328613,0.3281170129776001,0.3400440812110901,0.4041237235069275,0.3400440812110901,0.28881844878196716,0.22503350675106049,0.3722843527793884,0.20892402529716492
the,0.42745697498321533,0.2105809599161148,0.733189046382904,0.19781450927257538,0.24037593603134155,0.25657835602760315,0.4860881567001343,0.32701125741004944,0.167828768491745,0.6662389636039734,0.23144890367984772,0.535392165184021,0.40889066457748413,1.0,0.2305259257555008,0.26905253529548645,0.3064746856689453,0.535392165184021,0.16557666659355164,0.535392165184021,0.5829201340675354,0.37508252263069153,0.24928659200668335,0.22068053483963013
