,where,is,the,european,court,of,justice,likely,to,get,inspiration,from,?
as,0.35409465432167053,0.43216490745544434,0.48381632566452026,0.20210161805152893,0.17202796041965485,0.3886612355709076,0.17992214858531952,0.24862262606620789,0.42092081904411316,0.2830592393875122,0.1948584020137787,0.3251767158508301,0.27043893933296204
such,0.3198639750480652,0.23545363545417786,0.3575236201286316,0.24026738107204437,0.1445905864238739,0.3209529519081116,0.1725562959909439,0.3176654577255249,0.2871878743171692,0.23217134177684784,0.19081896543502808,0.24813218414783478,0.17851735651493073
the,0.5003893971443176,0.5823672413825989,1.0,0.3423081040382385,0.2812081575393677,0.733189046382904,0.23470892012119293,0.28129076957702637,0.535392165184021,0.29667025804519653,0.3078494668006897,0.40150508284568787,0.22068053483963013
european,0.17414534091949463,0.16083641350269318,0.3423081040382385,0.9999998807907104,0.18487446010112762,0.2507138252258301,0.18444514274597168,0.13871432840824127,0.21011990308761597,0.15924552083015442,0.17764346301555634,0.2091801017522812,0.14560863375663757
court,0.23289473354816437,0.20797641575336456,0.2812081575393677,0.18487446010112762,1.0,0.28835242986679077,0.5483176112174988,0.12808440625667572,0.24824365973472595,0.11493849754333496,0.21322305500507355,0.18949919939041138,0.17100423574447632
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2507138252258301,0.28835242986679077,1.0,0.2658293545246124,0.2704482078552246,0.41548454761505127,0.26628199219703674,0.29410699009895325,0.4249346852302551,0.1826142966747284
justice,0.10197398066520691,0.18458157777786255,0.23470892012119293,0.18444514274597168,0.5483176112174988,0.2658293545246124,1.0,0.07710638642311096,0.19197677075862885,0.09685491025447845,0.20999492704868317,0.1659262329339981,0.19269752502441406
is,0.3586711287498474,1.0,0.5823672413825989,0.16083641350269318,0.20797641575336456,0.4854315221309662,0.18458157777786255,0.2638912796974182,0.42745086550712585,0.29207053780555725,0.21112991869449615,0.27355384826660156,0.22961433231830597
bound,0.22254431247711182,0.2216257005929947,0.27465125918388367,0.07623909413814545,0.21020790934562683,0.23408229649066925,0.22388207912445068,0.2066788226366043,0.29917120933532715,0.2330177128314972,0.09797096997499466,0.22905895113945007,0.12182208895683289
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.21011990308761597,0.24824365973472595,0.41548454761505127,0.19197677075862885,0.41562584042549133,1.0,0.4388369917869568,0.2581446170806885,0.4069952368736267,0.29463258385658264
draw,0.30963099002838135,0.13281658291816711,0.21679934859275818,0.1591695249080658,0.13382549583911896,0.18362487852573395,0.07396350055932999,0.15583297610282898,0.27356135845184326,0.29326286911964417,0.18979518115520477,0.1830522119998932,0.16320596635341644
inspiration,0.25022968649864197,0.21112991869449615,0.3078494668006897,0.17764346301555634,0.21322305500507355,0.29410699009895325,0.20999492704868317,0.20567739009857178,0.2581446170806885,0.12403744459152222,1.0,0.23436954617500305,0.15815037488937378
from,0.3713873624801636,0.27355384826660156,0.40150508284568787,0.2091801017522812,0.18949919939041138,0.4249346852302551,0.1659262329339981,0.25849097967147827,0.4069952368736267,0.3159880042076111,0.23436954617500305,1.0,0.19969791173934937
the,0.5003893971443176,0.5823672413825989,1.0,0.3423081040382385,0.2812081575393677,0.733189046382904,0.23470892012119293,0.28129076957702637,0.535392165184021,0.29667025804519653,0.3078494668006897,0.40150508284568787,0.22068053483963013
constitutional,0.1466015875339508,0.2099083513021469,0.2926941215991974,0.254330575466156,0.49154651165008545,0.3563419580459595,0.39548954367637634,0.15713001787662506,0.2574991285800934,0.13691803812980652,0.1040089875459671,0.20708277821540833,0.2199033498764038
traditions,0.1986895203590393,0.2456929087638855,0.26193809509277344,0.22303062677383423,0.223343163728714,0.2921203374862671,0.1751728355884552,0.1558663249015808,0.24796780943870544,0.1388891637325287,0.28777000308036804,0.19374226033687592,0.18007412552833557
common,0.21611684560775757,0.2952355444431305,0.2705984115600586,0.2376275211572647,0.1439439058303833,0.2949881851673126,0.07756736129522324,0.36526092886924744,0.21109338104724884,0.2163158804178238,0.15338924527168274,0.1902724653482437,0.20434872806072235
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.21011990308761597,0.24824365973472595,0.41548454761505127,0.19197677075862885,0.41562584042549133,1.0,0.4388369917869568,0.2581446170806885,0.4069952368736267,0.29463258385658264
the,0.5003893971443176,0.5823672413825989,1.0,0.3423081040382385,0.2812081575393677,0.733189046382904,0.23470892012119293,0.28129076957702637,0.535392165184021,0.29667025804519653,0.3078494668006897,0.40150508284568787,0.22068053483963013
member,0.1601654589176178,0.2522773742675781,0.2806392312049866,0.24138560891151428,0.21980570256710052,0.2701796889305115,0.26324737071990967,0.14707110822200775,0.19456195831298828,0.1231154352426529,0.16857926547527313,0.24533385038375854,0.06826172769069672
states,0.24649012088775635,0.21939043700695038,0.3463578522205353,0.25554242730140686,0.3169350028038025,0.30884552001953125,0.30231809616088867,0.1613367646932602,0.2828785181045532,0.20655012130737305,0.14804361760616302,0.24283263087272644,0.16272737085819244
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2095622420310974,0.2742154598236084,0.5352458953857422,0.24642124772071838,0.26822179555892944,0.4645031690597534,0.39392393827438354,0.25217902660369873,0.41536515951156616,0.4130953550338745
