,when,was,the,heatwave,in,which,hopetoun,recorded,its,highest,temperature,?
victoria,0.18752387166023254,0.2550773620605469,0.2204313427209854,0.23793143033981323,0.20823122560977936,0.17652179300785065,0.41767963767051697,0.21729527413845062,0.17721910774707794,0.23788277804851532,0.18480604887008667,0.12246892601251602
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.04185524210333824,-0.037580832839012146,0.03856118768453598,0.11546347290277481,-0.01750672608613968,0.03202139586210251,-0.02329092286527157,0.029818275943398476,-0.023395681753754616
highest,0.11271373182535172,0.23145779967308044,0.36945265531539917,0.2203974723815918,0.3400614559650421,0.2561801075935364,0.2741849720478058,0.3071483373641968,0.24872645735740662,1.0,0.24991264939308167,0.11527936160564423
maximum,0.2093929946422577,0.1159391924738884,0.228700190782547,0.25263136625289917,0.18371941149234772,0.25036051869392395,0.1906070113182068,0.20908838510513306,0.2959817051887512,0.29589712619781494,0.3444400131702423,0.10959649085998535
temperature,0.25496208667755127,0.18288718163967133,0.27585095167160034,0.4642416536808014,0.269207626581192,0.29479682445526123,0.2444978803396225,0.2721431851387024,0.25869086384773254,0.24991264939308167,1.0000001192092896,0.2011885941028595
since,0.42774689197540283,0.4384658932685852,0.4054957628250122,0.2492343932390213,0.4325680434703827,0.3523256182670593,0.3244037926197052,0.27857717871665955,0.37237873673439026,0.23434080183506012,0.19375763833522797,0.2876587212085724
world,0.23794586956501007,0.3097524344921112,0.33604270219802856,0.24195855855941772,0.3038199245929718,0.29213306307792664,0.23539231717586517,0.19905783236026764,0.23953673243522644,0.28919854760169983,0.09115384519100189,0.17579582333564758
war,0.26339730620384216,0.3560331463813782,0.366199791431427,0.2185017317533493,0.29904094338417053,0.2244700789451599,0.3333154618740082,0.1553734391927719,0.23775866627693176,0.2129972130060196,0.15466991066932678,0.15510529279708862
ii,0.26453444361686707,0.25630512833595276,0.2631464898586273,0.1802334189414978,0.21453368663787842,0.20586715638637543,0.18395033478736877,0.14725318551063538,0.22269928455352783,0.1536952406167984,0.09408707916736603,0.11928234249353409
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.31219831109046936,0.5201468467712402,0.3658004403114319,0.3942144811153412,0.2596049904823303,0.33157986402511597,0.22094981372356415,0.2439086139202118,0.31091248989105225
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.23535919189453125,0.5696388483047485,0.5011631846427917,0.34019023180007935,0.21896186470985413,0.48690423369407654,0.3223685622215271,0.21649840474128723,0.1826142966747284
48.8,-0.10055913031101227,-0.004323858302086592,0.0018448098562657833,-0.09424549341201782,-0.038948990404605865,-0.07643387466669083,-0.0642867162823677,0.01255813892930746,-0.009713442996144295,-0.06213763728737831,-0.10544067621231079,-0.15338297188282013
°c,0.164425328373909,0.13748805224895477,0.1833128035068512,0.3802085220813751,0.19822709262371063,0.19759373366832733,0.23751527070999146,0.2672940194606781,0.18265637755393982,0.2879323661327362,0.7912421226501465,0.2095707356929779
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.20252063870429993,0.3087427020072937,0.2589828372001648,0.234950989484787,0.19191798567771912,0.1924784928560257,0.17115482687950134,0.20595431327819824,0.40561532974243164
