,what,position,did,tesla,hold,in,the,american,institute,of,electrical,engineers,?
tesla,0.23221199214458466,0.11136931926012039,0.09757418930530548,0.9999999403953552,0.22899088263511658,0.17097744345664978,0.1324402391910553,0.12191694229841232,0.15442416071891785,0.18837453424930573,0.45727142691612244,0.3254041373729706,0.10250775516033173
served,0.1271134465932846,0.18437102437019348,0.19789284467697144,0.06776043027639389,0.19738969206809998,0.24299493432044983,0.25209251046180725,0.25616714358329773,0.1724761426448822,0.2967056334018707,0.14628960192203522,0.1811988800764084,0.117141492664814
as,0.31749409437179565,0.2407573163509369,0.3596470057964325,0.10285310447216034,0.2402239739894867,0.3887844979763031,0.48381632566452026,0.2994234561920166,0.23080535233020782,0.3886612355709076,0.1705186367034912,0.1908814013004303,0.27043893933296204
a,0.3320399522781372,0.28626853227615356,0.2552328109741211,0.2211925983428955,0.2822398841381073,0.539380669593811,0.5829201340675354,0.22026167809963226,0.15834029018878937,0.5052502155303955,0.2779098153114319,0.17078717052936554,0.23916715383529663
vice,0.13314306735992432,0.2697749733924866,0.15456269681453705,0.11521921306848526,0.19952557981014252,0.14977192878723145,0.2412198781967163,0.23051752150058746,0.15816959738731384,0.21141734719276428,0.209852397441864,0.21526913344860077,0.1369185745716095
president,0.1870913952589035,0.19582977890968323,0.1801012009382248,0.1925830990076065,0.20508147776126862,0.18811661005020142,0.24330610036849976,0.25288230180740356,0.1685331165790558,0.21610750257968903,0.15365123748779297,0.17200011014938354,0.14148259162902832
of,0.33290785551071167,0.23636478185653687,0.2513895630836487,0.18837453424930573,0.2465030699968338,0.5696388483047485,0.733189046382904,0.22180068492889404,0.2977932393550873,1.0,0.23057208955287933,0.189129039645195,0.1826142966747284
the,0.42745697498321533,0.3183514177799225,0.34736719727516174,0.1324402391910553,0.3067915439605713,0.6662389636039734,1.0,0.24562937021255493,0.24399729073047638,0.733189046382904,0.2523402273654938,0.25282254815101624,0.22068053483963013
american,0.1909721940755844,0.1544075310230255,0.21486236155033112,0.12191694229841232,0.16105858981609344,0.22871561348438263,0.24562937021255493,1.0000001192092896,0.24250324070453644,0.22180068492889404,0.1456407755613327,0.21152135729789734,0.18877598643302917
institute,0.17608846724033356,0.15347301959991455,0.13879841566085815,0.15442416071891785,0.10095429420471191,0.2517135441303253,0.24399729073047638,0.24250324070453644,1.0,0.2977932393550873,0.19961734116077423,0.35184910893440247,0.115291528403759
