,what,was,fresno,'s,population,in,2010,?
the,0.42745697498321533,0.48711544275283813,0.22571885585784912,-0.01540423184633255,0.32044094800949097,0.6662389636039734,0.31722962856292725,0.22068053483963013
2010,0.2741409242153168,0.23825319111347198,0.12794002890586853,0.05135534703731537,0.27324092388153076,0.2692960798740387,1.0000001192092896,0.21232788264751434
united,0.20036718249320984,0.31727492809295654,0.23923489451408386,-0.03853745758533478,0.28376269340515137,0.3938477039337158,0.15551050007343292,0.17266890406608582
states,0.21526020765304565,0.2847922146320343,0.27512127161026,-0.004298824816942215,0.3036004900932312,0.3977442979812622,0.13928604125976562,0.16272737085819244
census,0.2061002552509308,0.1721275895833969,0.27571749687194824,-0.02488090842962265,0.6778454184532166,0.2571312189102173,0.24752415716648102,0.12548218667507172
reported,0.16211873292922974,0.2993243634700775,0.25361859798431396,-0.04995298013091087,0.22233305871486664,0.25024300813674927,0.11143849045038223,0.16150116920471191
that,0.6297725439071655,0.33670201897621155,0.1552816778421402,0.04397977516055107,0.20048558712005615,0.435920387506485,0.30029332637786865,0.32716336846351624
fresno,0.159109428524971,0.2749030292034149,1.0000001192092896,0.032067470252513885,0.22022370994091034,0.26126348972320557,0.12794002890586853,0.13224096596240997
had,0.23849567770957947,0.5927209258079529,0.21202483773231506,-0.004401352722197771,0.21385526657104492,0.385026752948761,0.28968116641044617,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.22242428362369537,0.04866964742541313,0.2345738559961319,0.539380669593811,0.18140065670013428,0.23916715383529663
population,0.2000674307346344,0.1935066133737564,0.22022370994091034,0.012951160781085491,1.0,0.3268454372882843,0.27324092388153076,0.14449454843997955
of,0.33290785551071167,0.4069072902202606,0.1875009983778,-0.03817026689648628,0.3060894012451172,0.5696388483047485,0.26419875025749207,0.1826142966747284
"494,665",0.08378342539072037,0.08059602975845337,-0.03786219283938408,-0.024420572444796562,-0.13117705285549164,-0.003905993653461337,-0.08624275773763657,0.024158811196684837
.,0.3567904531955719,0.40146201848983765,0.2480216920375824,-0.003708066651597619,0.26950228214263916,0.5591574311256409,0.26320725679397583,0.4130953550338745
