,for,how,long,did,the,plague,stick,around,?
the,0.4739971458911896,0.33890387415885925,0.3075225353240967,0.34736719727516174,1.0,0.2537761330604553,0.18121327459812164,0.40085816383361816,0.22068053483963013
plague,0.1471073478460312,0.16610242426395416,0.12461181730031967,0.1901843398809433,0.2537761330604553,0.9999999403953552,0.10613609105348587,0.2797434329986572,0.11872942000627518
recurred,0.2310226410627365,0.18268869817256927,0.1374559998512268,0.30178549885749817,0.24964511394500732,0.2573060095310211,0.05764547362923622,0.1571110486984253,0.14857488870620728
occasionally,0.3509889841079712,0.2539796233177185,0.2337203472852707,0.25732186436653137,0.2797514796257019,0.16237497329711914,0.27661487460136414,0.27692896127700806,0.13541953265666962
in,0.4322226941585541,0.2601168751716614,0.2759332060813904,0.2593238651752472,0.6662389636039734,0.2488756626844406,0.17137281596660614,0.41294145584106445,0.20430970191955566
europe,0.26120877265930176,0.1606675088405609,0.14916114509105682,0.22473940253257751,0.34463706612586975,0.26059749722480774,0.11424493044614792,0.3116699159145355,0.18278923630714417
until,0.2802979350090027,0.1887991726398468,0.25296199321746826,0.33905428647994995,0.37191009521484375,0.18395349383354187,0.1452907770872116,0.2810598313808441,0.20304496586322784
the,0.4739971458911896,0.33890387415885925,0.3075225353240967,0.34736719727516174,1.0,0.2537761330604553,0.18121327459812164,0.40085816383361816,0.22068053483963013
19th,0.17519418895244598,0.15654316544532776,0.12428990006446838,0.11936882883310318,0.24964287877082825,0.1317800134420395,0.1745905876159668,0.12147945165634155,0.004712673369795084
century,0.18660898506641388,0.1569085419178009,0.12708476185798645,0.2333737462759018,0.3617299497127533,0.32605451345443726,0.09215357899665833,0.3026770353317261,0.1026201918721199
.,0.4726039469242096,0.3287222981452942,0.3247973620891571,0.35288307070732117,0.5934505462646484,0.2547653317451477,0.224382683634758,0.3712388277053833,0.4130953550338745
