,what,is,the,average,weight,of,the,biomass,per,hectare,in,the,amazon,?
the,0.42745697498321533,0.5823672413825989,1.0,0.27058175206184387,0.19469641149044037,0.733189046382904,1.0,0.2455909252166748,0.21691934764385223,0.23931407928466797,0.6662389636039734,1.0,0.260541707277298,0.22068053483963013
average,0.24068789184093475,0.2669461667537689,0.27058175206184387,1.0,0.2786366641521454,0.23717734217643738,0.27058175206184387,0.26444557309150696,0.3395370543003082,0.2984577715396881,0.23465414345264435,0.27058175206184387,0.24211540818214417,0.21764592826366425
plant,0.23371253907680511,0.2497083991765976,0.28395459055900574,0.14333461225032806,0.1775892823934555,0.26645857095718384,0.28395459055900574,0.45356425642967224,0.14981389045715332,0.35390350222587585,0.2597269117832184,0.28395459055900574,0.24274323880672455,0.16613075137138367
biomass,0.22379423677921295,0.30122971534729004,0.2455909252166748,0.26444557309150696,0.3605121374130249,0.2884552776813507,0.2455909252166748,1.0,0.20262540876865387,0.4236096143722534,0.2415466457605362,0.2455909252166748,0.3017635941505432,0.17773602902889252
is,0.28837618231773376,1.0,0.5823672413825989,0.2669461667537689,0.21179518103599548,0.4854315221309662,0.5823672413825989,0.30122971534729004,0.22395510971546173,0.28247764706611633,0.5394441485404968,0.5823672413825989,0.15197539329528809,0.22961433231830597
estimated,0.19670580327510834,0.23564131557941437,0.29184040427207947,0.4024166464805603,0.31686556339263916,0.30473583936691284,0.29184040427207947,0.3666965365409851,0.2555094063282013,0.40839719772338867,0.2508986294269562,0.29184040427207947,0.23130109906196594,0.18149758875370026
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.26809391379356384,0.15086157619953156,0.42558613419532776,0.457212895154953,0.20881660282611847,0.19678546488285065,0.20482012629508972,0.4374977946281433,0.457212895154953,0.1615314781665802,0.21978627145290375
356,0.0943935289978981,0.06142338737845421,0.001343068084679544,0.17323993146419525,0.11692243814468384,0.04462042450904846,0.001343068084679544,0.053114235401153564,0.10717880725860596,0.07189600169658661,0.13655416667461395,0.001343068084679544,-0.02221052348613739,0.18248602747917175
±,0.1938968151807785,0.21071511507034302,0.1376967877149582,0.31884706020355225,0.21773399412631989,0.1721455156803131,0.1376967877149582,0.27729976177215576,0.2655748724937439,0.2703687250614166,0.14758051931858063,0.1376967877149582,0.12489407509565353,0.3009967803955078
47,-0.09126321971416473,-0.007787859998643398,-0.03119542822241783,-0.014652175828814507,-0.03326290100812912,-0.015590434893965721,-0.03119542822241783,-0.12824568152427673,0.0058665042743086815,0.025009559467434883,-0.026636576279997826,-0.03119542822241783,-0.032614804804325104,-0.07188211381435394
tonnes,0.15298835933208466,0.24283051490783691,0.22186078131198883,0.34247440099716187,0.3835766315460205,0.20021985471248627,0.22186078131198883,0.41913363337516785,0.34485143423080444,0.4404151439666748,0.16524656116962433,0.22186078131198883,0.20356623828411102,0.17092333734035492
per,0.21384303271770477,0.22395510971546173,0.21691934764385223,0.3395370543003082,0.22113189101219177,0.17468707263469696,0.21691934764385223,0.20262540876865387,0.9999999403953552,0.31341397762298584,0.1975519210100174,0.21691934764385223,0.13432423770427704,0.22323818504810333
hectare,0.11572612076997757,0.28247764706611633,0.23931407928466797,0.2984577715396881,0.24211037158966064,0.28604599833488464,0.23931407928466797,0.4236096143722534,0.31341397762298584,0.9999999403953552,0.26478812098503113,0.23931407928466797,0.21412740647792816,0.1416245549917221
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2717139422893524,0.2202748954296112,0.5352458953857422,0.5934505462646484,0.27879831194877625,0.2729434370994568,0.22827650606632233,0.5591574311256409,0.5934505462646484,0.262887567281723,0.4130953550338745
