,how,much,did,tesla,weigh,?
tesla,0.19128404557704926,0.20609156787395477,0.09757418930530548,0.9999999403953552,0.19137847423553467,0.10250775516033173
was,0.16678167879581451,0.2580166161060333,0.41399896144866943,0.16455206274986267,0.17012493312358856,0.18412111699581146
6,0.056429795920848846,0.11261115968227386,-0.0043754540383815765,-0.016751687973737717,0.08600963652133942,0.045001473277807236
feet,0.2148146629333496,0.18248304724693298,0.15399667620658875,0.10718390345573425,0.46615904569625854,0.14855161309242249
2,-0.02554285153746605,-0.1400752067565918,-0.044790901243686676,-0.05035991594195366,-0.03812922164797783,0.001977203879505396
inches,0.24122700095176697,0.2249401956796646,0.11995062977075577,0.19464583694934845,0.5813021063804626,0.17945347726345062
(,0.1676948219537735,0.21788647770881653,0.18979617953300476,0.2156914919614792,0.23141393065452576,0.40561532974243164
1.88,-0.01274751964956522,0.011928427033126354,0.002943700412288308,0.08253437280654907,0.015865029767155647,0.14245392382144928
m,0.17182649672031403,0.17291346192359924,0.18840010464191437,0.13009487092494965,0.2700933814048767,0.2618667185306549
),0.17939934134483337,0.22256317734718323,0.18584993481636047,0.22692398726940155,0.21772557497024536,0.42300865054130554
tall,0.20282576978206635,0.23518884181976318,0.11108577996492386,0.1271316409111023,0.5238726139068604,0.16138394176959991
and,0.33647966384887695,0.38395699858665466,0.34479495882987976,0.19560420513153076,0.2325696498155594,0.20544172823429108
weighed,0.2749890387058258,0.290673166513443,0.1960470825433731,0.21967799961566925,0.7753283977508545,0.1759321093559265
142,0.07913312315940857,0.07225632667541504,0.09747834503650665,0.1697787344455719,0.012490447610616684,0.01836930215358734
pounds,0.2724916338920593,0.28722459077835083,0.18286636471748352,0.20686990022659302,0.6147064566612244,0.1807934194803238
(,0.1676948219537735,0.21788647770881653,0.18979617953300476,0.2156914919614792,0.23141393065452576,0.40561532974243164
64,-0.040643900632858276,-0.08565697073936462,-0.04041893407702446,0.13419459760189056,0.11106884479522705,0.12340229004621506
kg,0.14154522120952606,0.17589454352855682,0.10675673186779022,0.19112491607666016,0.5982378125190735,0.14374905824661255
),0.17939934134483337,0.22256317734718323,0.18584993481636047,0.22692398726940155,0.21772557497024536,0.42300865054130554
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.20599327981472015,0.21546107530593872,0.31091248989105225
with,0.3525622487068176,0.2808258831501007,0.25472134351730347,0.16424812376499176,0.21174193918704987,0.2433311939239502
