,what,was,the,effect,of,the,housing,crash,on,the,region,?
the,0.42745697498321533,0.48711544275283813,1.0,0.2865084111690521,0.733189046382904,1.0,0.24837790429592133,0.22774840891361237,0.5107308030128479,1.0,0.35020557045936584,0.22068053483963013
region,0.2298986315727234,0.19296804070472717,0.35020557045936584,0.15055647492408752,0.2852717339992523,0.35020557045936584,0.15680983662605286,0.16082604229450226,0.17006917297840118,0.35020557045936584,1.0,0.13441751897335052
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.16271711885929108,0.4069072902202606,0.48711544275283813,0.2453424632549286,0.24972794950008392,0.3909217119216919,0.48711544275283813,0.19296804070472717,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.24771364033222198,0.5052502155303955,0.5829201340675354,0.26001980900764465,0.2545112371444702,0.3848365545272827,0.5829201340675354,0.23209655284881592,0.23916715383529663
leader,0.15734966099262238,0.3073844909667969,0.27799519896507263,0.0758335292339325,0.24122127890586853,0.27799519896507263,0.22766248881816864,0.10408300161361694,0.13550986349582672,0.27799519896507263,0.18579545617103577,0.09527933597564697
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.25150683522224426,0.5696388483047485,0.6662389636039734,0.255455881357193,0.21920917928218842,0.46853652596473694,0.6662389636039734,0.3524819314479828,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.2865084111690521,0.733189046382904,1.0,0.24837790429592133,0.22774840891361237,0.5107308030128479,1.0,0.35020557045936584,0.22068053483963013
housing,0.14871764183044434,0.2453424632549286,0.24837790429592133,0.17184874415397644,0.2954002916812897,0.24837790429592133,1.0000001192092896,0.05686601996421814,0.18104052543640137,0.24837790429592133,0.15680983662605286,0.11872038245201111
bubble,0.1728050410747528,0.13523302972316742,0.2252790778875351,0.28905317187309265,0.19998955726623535,0.2252790778875351,0.19992783665657043,0.2584114074707031,0.15081526339054108,0.2252790778875351,0.14679445326328278,0.1395641267299652
2001–2007,0.14178495109081268,-0.1344911903142929,-0.026860417798161507,0.11701982468366623,-0.035842183977365494,-0.026860417798161507,-0.05768970772624016,-0.14578256011009216,-0.0015337911900132895,-0.026860417798161507,0.03545157611370087,0.10008851438760757
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2150653600692749,0.4946078956127167,0.4933079481124878,0.22575080394744873,0.2718193829059601,0.49057599902153015,0.4933079481124878,0.2119160145521164,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.23508284986019135,0.5116966962814331,0.5171257257461548,0.29145196080207825,0.22961387038230896,0.4077630043029785,0.5171257257461548,0.2372262328863144,0.20544172823429108
has,0.20338068902492523,0.40313825011253357,0.4177538752555847,0.1701475977897644,0.3909035325050354,0.4177538752555847,0.21798360347747803,0.16139541566371918,0.34604379534721375,0.4177538752555847,0.18160095810890198,0.15994466841220856
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.1896531581878662,0.31685134768486023,0.3563927710056305,0.203481063246727,0.1812025010585785,0.29937630891799927,0.3563927710056305,0.19947682321071625,0.24354910850524902
heavily,0.22760839760303497,0.26897817850112915,0.2549211382865906,0.16118241846561432,0.15830223262310028,0.2549211382865906,0.15126635134220123,0.12035638093948364,0.3055734634399414,0.2549211382865906,0.18451634049415588,0.1724066138267517
impacted,0.20507413148880005,0.27704545855522156,0.2348020076751709,0.2969357371330261,0.2348475158214569,0.2348020076751709,0.18933849036693573,0.25954195857048035,0.285982608795166,0.2348020076751709,0.22224721312522888,0.17513176798820496
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.21400253474712372,0.3646814823150635,0.4408751428127289,0.1447335183620453,0.12751249969005585,0.33887791633605957,0.4408751428127289,0.15175513923168182,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.2865084111690521,0.733189046382904,1.0,0.24837790429592133,0.22774840891361237,0.5107308030128479,1.0,0.35020557045936584,0.22068053483963013
housing,0.14871764183044434,0.2453424632549286,0.24837790429592133,0.17184874415397644,0.2954002916812897,0.24837790429592133,1.0000001192092896,0.05686601996421814,0.18104052543640137,0.24837790429592133,0.15680983662605286,0.11872038245201111
crash,0.20558272302150726,0.24972794950008392,0.22774840891361237,0.14451779425144196,0.19993825256824493,0.22774840891361237,0.05686601996421814,1.0,0.23256413638591766,0.22774840891361237,0.16082604229450226,0.10927160084247589
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2277858853340149,0.5352458953857422,0.5934505462646484,0.2448417842388153,0.22298724949359894,0.49257001280784607,0.5934505462646484,0.2506107687950134,0.4130953550338745
