,how,many,kgs,of,moon,rocks,did,the,program,bring,back,?
the,0.33890387415885925,0.4335206151008606,0.1704915165901184,0.733189046382904,0.23613092303276062,0.24413059651851654,0.34736719727516174,1.0,0.22986935079097748,0.31620702147483826,0.3612101674079895,0.22068053483963013
program,0.29295584559440613,0.23491419851779938,0.1816566437482834,0.17376001179218292,0.20258519053459167,0.2054530680179596,0.18915289640426636,0.22986935079097748,1.0,0.17309726774692535,0.08641336113214493,0.1440187245607376
returned,0.1224946528673172,0.20358699560165405,0.15265469253063202,0.28002414107322693,0.11227608472108841,0.09542032331228256,0.32570260763168335,0.32857778668403625,0.14807918667793274,0.2559935450553894,0.40648770332336426,0.07695316523313522
842,0.05352712422609329,-0.026174336671829224,0.24684756994247437,0.054721228778362274,0.2052147388458252,-0.008068853989243507,0.12097407132387161,0.08552239835262299,0.07847794890403748,0.024751106277108192,0.08258002251386642,0.2720578908920288
pounds,0.2724916338920593,0.18066099286079407,0.5103718042373657,0.16210339963436127,0.17407503724098206,0.18701273202896118,0.18286636471748352,0.18430368602275848,0.08387000113725662,0.20673850178718567,0.20997044444084167,0.1807934194803238
(,0.1676948219537735,0.1455259770154953,0.23376066982746124,0.35032153129577637,0.15743975341320038,0.15845486521720886,0.18979617953300476,0.33289089798927307,0.11923244595527649,0.18877965211868286,0.24142900109291077,0.40561532974243164
382,-0.09284019470214844,-0.0016179956728592515,0.0037381344009190798,0.039138685911893845,-0.046830736100673676,-0.019897982478141785,0.06314361095428467,-0.0027590286917984486,-0.017479775473475456,0.08153192698955536,0.05353537201881409,0.06231778860092163
kg,0.14154522120952606,0.12083993852138519,0.5949434041976929,0.1790316253900528,0.19849126040935516,0.16049638390541077,0.10675673186779022,0.14337459206581116,0.08034732192754745,0.08728949725627899,0.08698847889900208,0.14374905824661255
),0.17939934134483337,0.16602720320224762,0.2437777817249298,0.3680361211299896,0.15997570753097534,0.15879076719284058,0.18584993481636047,0.3456730246543884,0.12293422222137451,0.18992646038532257,0.2371533066034317,0.42300865054130554
of,0.2480744868516922,0.37253960967063904,0.18344786763191223,1.0,0.18815091252326965,0.2664484679698944,0.2513895630836487,0.733189046382904,0.17376001179218292,0.300091028213501,0.23051875829696655,0.1826142966747284
lunar,0.21081319451332092,0.1407979428768158,0.21796643733978271,0.204553484916687,0.6080004572868347,0.2880213260650635,0.14120660722255707,0.23309995234012604,0.2321235090494156,0.13949614763259888,0.14987492561340332,0.1628302037715912
rocks,0.23148766160011292,0.2921122908592224,0.30933645367622375,0.2664484679698944,0.3166230022907257,0.9999999403953552,0.13425004482269287,0.24413059651851654,0.2054530680179596,0.11778877675533295,0.24008212983608246,0.17394492030143738
and,0.33647966384887695,0.5296266674995422,0.21791909635066986,0.5116966962814331,0.2018347829580307,0.29739323258399963,0.34479495882987976,0.5171257257461548,0.24895258247852325,0.33058565855026245,0.32774487137794495,0.20544172823429108
soil,0.1921459138393402,0.25115227699279785,0.3055368959903717,0.24573488533496857,0.15886998176574707,0.48769721388816833,0.13086344301700592,0.28965309262275696,0.20144863426685333,0.24222661554813385,0.14143328368663788,0.13098852336406708
to,0.44169697165489197,0.40243685245513916,0.16559407114982605,0.41548454761505127,0.17707908153533936,0.23520028591156006,0.4452643394470215,0.535392165184021,0.23681028187274933,0.4213464558124542,0.4675939381122589,0.29463258385658264
earth,0.2756480276584625,0.22623728215694427,0.2983630895614624,0.2329314798116684,0.5198023319244385,0.45692959427833557,0.15510493516921997,0.2801888585090637,0.21459883451461792,0.18261834979057312,0.22372058033943176,0.17717236280441284
",",0.22659391164779663,0.40610817074775696,0.23367854952812195,0.4946078956127167,0.18567080795764923,0.30537211894989014,0.3015086054801941,0.4933079481124878,0.17760658264160156,0.2407366931438446,0.3066370487213135,0.31091248989105225
greatly,0.33323222398757935,0.38527244329452515,0.12841089069843292,0.3021544814109802,0.15393948554992676,0.16679616272449493,0.20864444971084595,0.28993895649909973,0.14515922963619232,0.19328656792640686,0.21802107989788055,0.1024659052491188
contributing,0.2378145307302475,0.2107435017824173,0.12491105496883392,0.26530972123146057,0.08429589867591858,0.13319534063339233,0.2341814637184143,0.2776218056678772,0.21556450426578522,0.26387619972229004,0.22534716129302979,0.30185750126838684
to,0.44169697165489197,0.40243685245513916,0.16559407114982605,0.41548454761505127,0.17707908153533936,0.23520028591156006,0.4452643394470215,0.535392165184021,0.23681028187274933,0.4213464558124542,0.4675939381122589,0.29463258385658264
the,0.33890387415885925,0.4335206151008606,0.1704915165901184,0.733189046382904,0.23613092303276062,0.24413059651851654,0.34736719727516174,1.0,0.22986935079097748,0.31620702147483826,0.3612101674079895,0.22068053483963013
understanding,0.4958082139492035,0.37312954664230347,0.16810964047908783,0.31433331966400146,0.20805121958255768,0.19663895666599274,0.3280439078807831,0.3089916408061981,0.2800619602203369,0.3074004054069519,0.179154172539711,0.3107462525367737
of,0.2480744868516922,0.37253960967063904,0.18344786763191223,1.0,0.18815091252326965,0.2664484679698944,0.2513895630836487,0.733189046382904,0.17376001179218292,0.300091028213501,0.23051875829696655,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.1704915165901184,0.733189046382904,0.23613092303276062,0.24413059651851654,0.34736719727516174,1.0,0.22986935079097748,0.31620702147483826,0.3612101674079895,0.22068053483963013
moon,0.209036186337471,0.14061444997787476,0.19562020897865295,0.18815091252326965,1.0,0.3166230022907257,0.1910509169101715,0.23613092303276062,0.20258519053459167,0.1502046287059784,0.17210103571414948,0.1442703753709793
's,-0.026164190843701363,0.01698932610452175,0.06449150294065475,-0.03817026689648628,0.0421946756541729,0.03945932537317276,0.05069678649306297,-0.01540423184633255,0.0445902980864048,0.03623991087079048,-0.032200850546360016,-0.023395681753754616
composition,0.25388091802597046,0.22916823625564575,0.14278686046600342,0.3104008734226227,0.28550291061401367,0.28723660111427307,0.1800018697977066,0.2593342959880829,0.18189513683319092,0.10589726269245148,0.13233458995819092,0.12543568015098572
and,0.33647966384887695,0.5296266674995422,0.21791909635066986,0.5116966962814331,0.2018347829580307,0.29739323258399963,0.34479495882987976,0.5171257257461548,0.24895258247852325,0.33058565855026245,0.32774487137794495,0.20544172823429108
geological,0.2260730117559433,0.19834113121032715,0.2475801408290863,0.3277883529663086,0.25773054361343384,0.49486014246940613,0.14010505378246307,0.2813860774040222,0.16186082363128662,0.10168930888175964,0.14394277334213257,0.16050557792186737
history,0.28613850474357605,0.2746841311454773,0.13186898827552795,0.31014925241470337,0.05864587426185608,0.2094636857509613,0.24950987100601196,0.33215048909187317,0.19003461301326752,0.15075793862342834,0.23530350625514984,0.2501974403858185
.,0.3287222981452942,0.3974229395389557,0.24533171951770782,0.5352458953857422,0.2040150910615921,0.26481303572654724,0.35288307070732117,0.5934505462646484,0.18964338302612305,0.2875753343105316,0.3154444992542267,0.4130953550338745
