,what,route,connects,fresno,with,the,california,central,valley,?
fresno,0.159109428524971,0.17883466184139252,0.17055192589759827,1.0000001192092896,0.20853616297245026,0.22571885585784912,0.5836333632469177,0.1712224781513214,0.2356150895357132,0.13224096596240997
is,0.28837618231773376,0.2375296801328659,0.3361116349697113,0.2127077877521515,0.3250955045223236,0.5823672413825989,0.20727038383483887,0.273421049118042,0.21787452697753906,0.22961433231830597
served,0.1271134465932846,0.18905605375766754,0.1755978763103485,0.18846318125724792,0.17899122834205627,0.25209251046180725,0.18298503756523132,0.2178763449192047,0.10463189333677292,0.117141492664814
by,0.2455483376979828,0.1831662356853485,0.14947642385959625,0.12580959498882294,0.39731505513191223,0.4408751428127289,0.22481602430343628,0.14742699265480042,0.19585207104682922,0.17966607213020325
state,0.24273863434791565,0.24191424250602722,0.19168783724308014,0.3281462788581848,0.2062043994665146,0.3097178041934967,0.3314559757709503,0.2139187455177307,0.22179387509822845,0.1160883978009224
route,0.23103561997413635,1.0,0.3975890278816223,0.17883466184139252,0.14512334764003754,0.22322526574134827,0.17396117746829987,0.19112072885036469,0.23550477623939514,0.10957027226686478
99,-0.09274294227361679,-0.0008776800241321325,-0.014422252774238586,-0.016858579590916634,-0.04927348718047142,-0.061377424746751785,-0.06456319987773895,0.021100424230098724,-0.01653013378381729,0.036831825971603394
",",0.3087472915649414,0.21133576333522797,0.2184714376926422,0.2561432421207428,0.4120737314224243,0.4933079481124878,0.2704589068889618,0.2587154507637024,0.212855726480484,0.31091248989105225
the,0.42745697498321533,0.22322526574134827,0.3196312189102173,0.22571885585784912,0.4223487675189972,1.0,0.2750805914402008,0.3417201042175293,0.2923165559768677,0.22068053483963013
main,0.2344268560409546,0.1624414622783661,0.2781127095222473,0.05237830802798271,0.1962798684835434,0.38631999492645264,0.09099501371383667,0.2828415334224701,0.19244793057441711,0.1665669083595276
north/south,0.28083324432373047,0.4758926331996918,0.4368104338645935,0.2761527895927429,0.28221601247787476,0.35344305634498596,0.28505370020866394,0.39069482684135437,0.3415902853012085,0.23181931674480438
freeway,0.21182982623577118,0.4741276502609253,0.41612160205841064,0.3646468222141266,0.18352030217647552,0.21201886236667633,0.32715895771980286,0.24239087104797363,0.2625342607498169,0.1306171715259552
that,0.6297725439071655,0.21706458926200867,0.18619242310523987,0.1552816778421402,0.4154358208179474,0.5473989248275757,0.18610765039920807,0.23977944254875183,0.2223651260137558,0.32716336846351624
connects,0.17800764739513397,0.3975890278816223,1.0,0.17055192589759827,0.24056369066238403,0.3196312189102173,0.11869484931230545,0.31109094619750977,0.21556922793388367,0.06525750458240509
the,0.42745697498321533,0.22322526574134827,0.3196312189102173,0.22571885585784912,0.4223487675189972,1.0,0.2750805914402008,0.3417201042175293,0.2923165559768677,0.22068053483963013
major,0.21026742458343506,0.16219276189804077,0.2162722498178482,0.1326238363981247,0.21643421053886414,0.31775903701782227,0.1549016237258911,0.23233041167259216,0.16694307327270508,0.19788557291030884
population,0.2000674307346344,0.21711097657680511,0.16027849912643433,0.22022370994091034,0.15404780209064484,0.32044094800949097,0.19116398692131042,0.22068528831005096,0.2707141041755676,0.14449454843997955
centers,0.22307880222797394,0.19718027114868164,0.3367733061313629,0.21534360945224762,0.2013162076473236,0.3307511508464813,0.1952931433916092,0.3045596182346344,0.2229626625776291,0.16634750366210938
of,0.33290785551071167,0.1700238138437271,0.26901975274086,0.1875009983778,0.41827285289764404,0.733189046382904,0.24929828941822052,0.3415789008140564,0.23914365470409393,0.1826142966747284
the,0.42745697498321533,0.22322526574134827,0.3196312189102173,0.22571885585784912,0.4223487675189972,1.0,0.2750805914402008,0.3417201042175293,0.2923165559768677,0.22068053483963013
california,0.1811584085226059,0.17396117746829987,0.11869484931230545,0.5836333632469177,0.1391957849264145,0.2750805914402008,1.0,0.1642577052116394,0.34904834628105164,0.1409905105829239
central,0.17723965644836426,0.19112072885036469,0.31109094619750977,0.1712224781513214,0.1716245859861374,0.3417201042175293,0.1642577052116394,1.0,0.2687424421310425,0.14787602424621582
valley,0.15729281306266785,0.23550477623939514,0.21556922793388367,0.2356150895357132,0.16781319677829742,0.2923165559768677,0.34904834628105164,0.2687424421310425,1.0000001192092896,0.11486150324344635
.,0.3567904531955719,0.25726518034935,0.18689489364624023,0.2480216920375824,0.4446153938770294,0.5934505462646484,0.2870451807975769,0.3193301260471344,0.19989988207817078,0.4130953550338745
