,when,did,he,first,get,out,of,bed,following,the,accident,?
in,0.4431333839893341,0.2593238651752472,0.41690486669540405,0.4127444326877594,0.24899829924106598,0.3576207756996155,0.5696388483047485,0.1845632940530777,0.355264812707901,0.6662389636039734,0.23779717087745667,0.20430970191955566
early,0.32107013463974,0.32047218084335327,0.26418617367744446,0.4007106125354767,0.21101413667201996,0.21901805698871613,0.30937549471855164,0.17599642276763916,0.23094874620437622,0.34442198276519775,0.15453433990478516,0.15272949635982513
1938,0.1650242805480957,0.0011983392760157585,-0.011325213126838207,0.056583479046821594,0.08648883551359177,0.16694508492946625,0.1956050544977188,0.21438436210155487,0.006618237588554621,0.256177693605423,0.04769309237599373,-0.08079381287097931
",",0.36674630641937256,0.3015086054801941,0.40251094102859497,0.34503069519996643,0.2926318049430847,0.3161109685897827,0.4946078956127167,0.23451334238052368,0.27101513743400574,0.4933079481124878,0.24328306317329407,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.12373391538858414,0.17383763194084167,0.11516023427248001,0.2017683982849121,0.18837453424930573,0.05873274803161621,0.0097203329205513,0.1324402391910553,0.1518668681383133,0.10250775516033173
was,0.37326499819755554,0.41399896144866943,0.5410010814666748,0.5022147297859192,0.2066597044467926,0.28168347477912903,0.4069072902202606,0.14002253115177155,0.16493390500545502,0.48711544275283813,0.27127954363822937,0.18412111699581146
able,0.35277876257896423,0.43777281045913696,0.27207711338996887,0.289527028799057,0.4097402095794678,0.31663835048675537,0.23883962631225586,0.1676328480243683,0.174183651804924,0.3435857892036438,0.13771803677082062,0.260649710893631
to,0.5423505902290344,0.4452643394470215,0.385390967130661,0.3792489171028137,0.4388369917869568,0.42386990785598755,0.41548454761505127,0.2060098946094513,0.31711265444755554,0.535392165184021,0.16931231319904327,0.29463258385658264
get,0.38429397344589233,0.3220681846141815,0.25455209612846375,0.21069572865962982,0.9999999403953552,0.4173879623413086,0.26628199219703674,0.29670611023902893,0.16273559629917145,0.29667025804519653,0.17185741662979126,0.3499825894832611
up,0.3850642144680023,0.21613863110542297,0.2621474862098694,0.2506323456764221,0.3791064918041229,0.5144561529159546,0.32945773005485535,0.25010642409324646,0.1681058704853058,0.38423117995262146,0.10951794683933258,0.1819818764925003
