,what,can,often,be,predicted,beforehand,?
the,0.42745697498321533,0.312528520822525,0.38004449009895325,0.4248143136501312,0.18655166029930115,0.29470956325531006,0.22068053483963013
outcome,0.3721276521682739,0.2610347867012024,0.22094406187534332,0.3806988000869751,0.3605232834815979,0.26806530356407166,0.2687326669692993
of,0.33290785551071167,0.2603091299533844,0.3351972997188568,0.33904364705085754,0.18881571292877197,0.20188891887664795,0.1826142966747284
most,0.3219912350177765,0.3452373743057251,0.4833095073699951,0.3381733000278473,0.15592575073242188,0.19566594064235687,0.2107497900724411
votes,0.2574002146720886,0.20391494035720825,0.0559626966714859,0.2269240915775299,0.17175304889678955,0.2809399664402008,0.23052719235420227
can,0.34502777457237244,1.0,0.5252479314804077,0.5791122913360596,0.13537827134132385,0.351672887802124,0.3226337134838104
be,0.3929833769798279,0.5791122913360596,0.463177889585495,1.0,0.2239542007446289,0.3820217251777649,0.3324260413646698
predicted,0.24279139935970306,0.13537827134132385,0.17890025675296783,0.2239542007446289,0.9999999403953552,0.19972744584083557,0.15010029077529907
beforehand,0.411760151386261,0.351672887802124,0.31025364995002747,0.3820217251777649,0.19972744584083557,1.0,0.27469924092292786
since,0.29783400893211365,0.24201272428035736,0.22410006821155548,0.3591734766960144,0.21221961081027985,0.3516112267971039,0.2876587212085724
political,0.21846716105937958,0.12598390877246857,0.21065454185009003,0.19028756022453308,0.15711478888988495,0.23764725029468536,0.17130474746227264
parties,0.21181418001651764,0.21731381118297577,0.22942045331001282,0.2638184428215027,0.0954807922244072,0.30428582429885864,0.16949701309204102
normally,0.30112072825431824,0.5890818238258362,0.6125890612602234,0.4979165494441986,0.15156105160713196,0.3426964282989502,0.20675471425056458
instruct,0.34282732009887695,0.3308364152908325,0.260196328163147,0.33117303252220154,0.20618978142738342,0.3303550183773041,0.19105303287506104
members,0.16873176395893097,0.14267030358314514,0.21658706665039062,0.20344331860542297,0.10783787071704865,0.21120956540107727,0.10212311148643494
which,0.5261979103088379,0.41132649779319763,0.5498976707458496,0.476310670375824,0.22134844958782196,0.3602842688560486,0.25814583897590637
way,0.4835909903049469,0.4469449520111084,0.4233694076538086,0.4511762857437134,0.2055843621492386,0.4007108807563782,0.31575819849967957
to,0.455847829580307,0.4979398250579834,0.4351843297481537,0.4972836375236511,0.22500376403331757,0.39607638120651245,0.29463258385658264
vote,0.30723845958709717,0.20820198953151703,0.06669981777667999,0.276218980550766,0.1271395981311798,0.29045018553733826,0.2888886630535126
.,0.3567904531955719,0.35783761739730835,0.30710849165916443,0.4383580684661865,0.20299360156059265,0.2888129949569702,0.4130953550338745
