,what,was,the,average,cost,of,a,30-second,commercial,?
cbs,0.1950361132621765,0.26256829500198364,0.2283918708562851,0.19109442830085754,0.1723526418209076,0.16151919960975647,0.16314536333084106,0.15424497425556183,0.16281317174434662,0.14594407379627228
broadcast,0.17857211828231812,0.24068336188793182,0.2713715434074402,0.200475811958313,0.13827234506607056,0.20155203342437744,0.2046348601579666,0.1799066960811615,0.2591072916984558,0.15760008990764618
super,0.13651713728904724,0.21420986950397491,0.21959073841571808,0.127910777926445,0.1336439698934555,0.14718765020370483,0.26005712151527405,0.2004479467868805,0.20105868577957153,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.21576224267482758,0.1515442579984665,0.2092275321483612,0.2243070751428604,0.19533146917819977,0.19167320430278778,0.16026756167411804,0.21118052303791046
50,-0.04124141484498978,-0.0011744623770937324,0.03602437674999237,0.03536339849233627,-0.040493376553058624,0.006577443331480026,0.034183140844106674,0.033071182668209076,0.04720782861113548,0.030512850731611252
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.23465414345264435,0.25200018286705017,0.5696388483047485,0.539380669593811,0.2856306731700897,0.2615188956260681,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.23177006840705872,0.733189046382904,0.5829201340675354,0.3721327483654022,0.23051398992538452,0.22068053483963013
u.s.,0.11178889125585556,0.06837434321641922,0.06592652946710587,0.07241999357938766,0.024254169315099716,0.011562774889171124,0.0347411222755909,0.10254563391208649,-0.0730244517326355,0.07886100560426712
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23098047077655792,0.20970560610294342,0.4946078956127167,0.427140474319458,0.23338249325752258,0.26546892523765564,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2138829380273819,0.2846847474575043,0.5116966962814331,0.3739250600337982,0.18550723791122437,0.240259051322937,0.20544172823429108
charged,0.191240593791008,0.2394018918275833,0.2047804892063141,0.18032048642635345,0.24120937287807465,0.21960902214050293,0.21603477001190186,0.19397254288196564,0.04050228372216225,0.1305682212114334
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.27438971400260925,0.15845364332199097,0.32280945777893066,0.44552403688430786,0.24965190887451172,0.19474388659000397,0.19793890416622162
average,0.24068789184093475,0.18843130767345428,0.27058175206184387,1.0,0.2914794087409973,0.23717734217643738,0.23812800645828247,0.27979087829589844,0.07954645156860352,0.21764592826366425
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23717734217643738,0.23332229256629944,1.0,0.5052502155303955,0.32984086871147156,0.21107374131679535,0.1826142966747284
$,0.24858909845352173,0.23838669061660767,0.23367542028427124,0.2754773199558258,0.5133980512619019,0.11268499493598938,0.22939236462116241,0.23273542523384094,0.23296304047107697,0.2786129117012024
5,0.09269922226667404,-0.020029501989483833,0.09255307912826538,0.013141149654984474,0.0013155064079910517,0.1043979674577713,0.07282212376594543,0.052541766315698624,0.1487063467502594,0.06222071498632431
million,0.22197039425373077,0.24203833937644958,0.277012437582016,0.2824518382549286,0.3814373016357422,0.21686489880084991,0.1811940222978592,0.26539263129234314,0.20363874733448029,0.23092924058437347
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.20724235475063324,0.2728281319141388,0.4185989499092102,0.44038116931915283,0.20732535421848297,0.25690725445747375,0.264628142118454
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23812800645828247,0.21993719041347504,0.5052502155303955,1.0,0.3324473798274994,0.2696971893310547,0.23916715383529663
30-second,0.2115969955921173,0.27058619260787964,0.3721327483654022,0.27979087829589844,0.23334260284900665,0.32984086871147156,0.3324473798274994,0.9999998807907104,0.11541673541069031,0.18454498052597046
commercial,0.12070754915475845,0.22333669662475586,0.23051398992538452,0.07954645156860352,0.27838024497032166,0.21107374131679535,0.2696971893310547,0.11541673541069031,1.0,0.04216946288943291
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.2458241730928421,0.2707549035549164,0.3869180977344513,0.30341604351997375,0.32848256826400757,0.13566018640995026,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.23177006840705872,0.733189046382904,0.5829201340675354,0.3721327483654022,0.23051398992538452,0.22068053483963013
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.19433698058128357,0.18034349381923676,0.2298848181962967,0.23211604356765747,0.21130859851837158,0.20594170689582825,0.1829071193933487
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2717139422893524,0.26134178042411804,0.5352458953857422,0.50484299659729,0.29495006799697876,0.2460125982761383,0.4130953550338745
