,what,present-day,area,was,this,settlement,near,?
in,0.30808621644973755,0.3419967591762543,0.33632898330688477,0.45514053106307983,0.45205554366111755,0.26083990931510925,0.40211278200149536,0.20430970191955566
1562,0.02059434913098812,-0.00763535825535655,0.09341342747211456,0.09683054685592651,-0.03298059478402138,0.025528306141495705,0.07281248271465302,0.018519774079322815
",",0.3087472915649414,0.3622061312198639,0.2664283812046051,0.45456063747406006,0.4316047728061676,0.25103551149368286,0.3141826391220093,0.31091248989105225
naval,0.160405233502388,0.17212939262390137,0.22433452308177948,0.2173636257648468,0.2202712744474411,0.24719099700450897,0.16118581593036652,0.12642952799797058
officer,0.18551595509052277,0.18709488213062286,0.22939300537109375,0.33140087127685547,0.14824995398521423,0.16551893949508667,0.20056046545505524,0.119948610663414
jean,0.10624528676271439,0.18861620128154755,0.08814974129199982,0.21245718002319336,0.17695678770542145,0.06102326139807701,0.1526201218366623,0.1531364470720291
ribault,0.19485299289226532,0.20337364077568054,0.152191162109375,0.3094852864742279,0.18348893523216248,0.13022302091121674,0.20596088469028473,0.18847298622131348
led,0.12112844735383987,0.16520147025585175,0.20476141571998596,0.34443995356559753,0.2688283920288086,0.17315731942653656,0.10597704350948334,0.09273858368396759
an,0.2821882665157318,0.2403136044740677,0.23076042532920837,0.3694365322589874,0.41881775856018066,0.18905887007713318,0.1648338884115219,0.19793890416622162
expedition,0.19300568103790283,0.14437000453472137,0.26402872800827026,0.2416619211435318,0.2078135907649994,0.3231826424598694,0.23717133700847626,0.10355690121650696
that,0.6297725439071655,0.33772143721580505,0.2566552460193634,0.33670201897621155,0.6909449696540833,0.22092460095882416,0.1848522126674652,0.32716336846351624
explored,0.2343243807554245,0.1620938926935196,0.26753491163253784,0.256757527589798,0.23320657014846802,0.31899991631507874,0.19582536816596985,0.08649857342243195
florida,0.14450381696224213,0.19649294018745422,0.2439051866531372,0.23693005740642548,0.2060159146785736,0.17341943085193634,0.19627942144870758,0.13469882309436798
and,0.31309178471565247,0.3305446207523346,0.3044000566005707,0.3740963041782379,0.42353692650794983,0.24081379175186157,0.25046437978744507,0.20544172823429108
the,0.42745697498321533,0.36770060658454895,0.37834644317626953,0.48711544275283813,0.6274310946464539,0.2599570155143738,0.2879819869995117,0.22068053483963013
present-day,0.3194306194782257,1.0,0.1832558810710907,0.2928279638290405,0.3033371567726135,0.24924656748771667,0.14636731147766113,0.24972984194755554
southeastern,0.21616344153881073,0.1524089127779007,0.42180272936820984,0.2476685643196106,0.1787707507610321,0.26092925667762756,0.40541136264801025,0.1729537695646286
u.s.,0.11178889125585556,-0.037563782185316086,0.10966658592224121,0.06837434321641922,0.02387101761996746,0.08045513182878494,0.011153525672852993,0.07886100560426712
",",0.3087472915649414,0.3622061312198639,0.2664283812046051,0.45456063747406006,0.4316047728061676,0.25103551149368286,0.3141826391220093,0.31091248989105225
and,0.31309178471565247,0.3305446207523346,0.3044000566005707,0.3740963041782379,0.42353692650794983,0.24081379175186157,0.25046437978744507,0.20544172823429108
founded,0.1163782924413681,0.2826218605041504,0.20677730441093445,0.36917948722839355,0.11364959180355072,0.22711652517318726,0.16314691305160522,0.09119737893342972
the,0.42745697498321533,0.36770060658454895,0.37834644317626953,0.48711544275283813,0.6274310946464539,0.2599570155143738,0.2879819869995117,0.22068053483963013
outpost,0.19570578634738922,0.22418218851089478,0.33453506231307983,0.29000675678253174,0.1941893845796585,0.40315040946006775,0.3752194344997406,0.1001662090420723
of,0.33290785551071167,0.3247845470905304,0.3409860134124756,0.4069072902202606,0.45148900151252747,0.25982165336608887,0.2651676535606384,0.1826142966747284
charlesfort,0.24636076390743256,0.2872452735900879,0.3484605848789215,0.3253026306629181,0.2639246881008148,0.3256841003894806,0.3369044363498688,0.21091435849666595
on,0.34226128458976746,0.3400108516216278,0.20868615806102753,0.3909217119216919,0.4193967580795288,0.18260528147220612,0.3508072793483734,0.2714994251728058
parris,0.2324005514383316,0.28270402550697327,0.1404356062412262,0.27332377433776855,0.19691017270088196,0.17194238305091858,0.20050495862960815,0.19006304442882538
island,0.1299295574426651,0.1339901238679886,0.32879239320755005,0.23908254504203796,0.18182691931724548,0.37637007236480713,0.24071726202964783,0.0887429490685463
",",0.3087472915649414,0.3622061312198639,0.2664283812046051,0.45456063747406006,0.4316047728061676,0.25103551149368286,0.3141826391220093,0.31091248989105225
south,0.15388517081737518,0.1722121387720108,0.3531528413295746,0.2792486846446991,0.16995437443256378,0.19810427725315094,0.3709190785884857,0.12336621433496475
carolina,0.1956660896539688,0.15487909317016602,0.16974133253097534,0.26687008142471313,0.19915926456451416,0.13485251367092133,0.19395564496517181,0.11847445368766785
.,0.3567904531955719,0.29807719588279724,0.2760866582393646,0.40146201848983765,0.500583827495575,0.233600914478302,0.2532462477684021,0.4130953550338745
