,what,school,was,walter,camp,a,captain,for,the,football,team,?
seeking,0.20790332555770874,0.14707674086093903,0.12051687389612198,0.11042647063732147,0.11436733603477478,0.2707524299621582,0.1070743203163147,0.32114171981811523,0.27082350850105286,0.07030928134918213,0.18018658459186554,0.21199938654899597
to,0.455847829580307,0.24496325850486755,0.3636345863342285,0.15203003585338593,0.20847123861312866,0.45503583550453186,0.19193781912326813,0.4451248347759247,0.535392165184021,0.14816443622112274,0.23889471590518951,0.29463258385658264
reduce,0.18258237838745117,0.08984289318323135,0.08882597088813782,0.13871176540851593,0.16215676069259644,0.22714994847774506,0.03277445584535599,0.28123193979263306,0.2735816240310669,0.075938381254673,0.10213768482208252,0.1462220549583435
the,0.42745697498321533,0.22953221201896667,0.48711544275283813,0.16759788990020752,0.22520290315151215,0.5829201340675354,0.2267821580171585,0.4739971458911896,1.0,0.18794101476669312,0.22564226388931274,0.22068053483963013
alarming,0.3149223327636719,0.12149940431118011,0.21722197532653809,0.039464712142944336,0.1917489618062973,0.29536694288253784,0.08134065568447113,0.308302104473114,0.32940468192100525,0.06946606189012527,0.09075012803077698,0.25442031025886536
number,0.23046229779720306,0.08914275467395782,0.1855042725801468,0.06356006115674973,0.11601701378822327,0.2992287278175354,0.11991922557353973,0.2861633002758026,0.35145696997642517,0.1424349844455719,0.17221297323703766,0.19256845116615295
of,0.33290785551071167,0.2391800880432129,0.4069072902202606,0.16571573913097382,0.1889391541481018,0.5052502155303955,0.12030947953462601,0.4185989499092102,0.733189046382904,0.2184123694896698,0.20352502167224884,0.1826142966747284
deaths,0.239221453666687,0.11357298493385315,0.19522257149219513,0.1423179805278778,0.1594635397195816,0.17048288881778717,0.12098874151706696,0.13949622213840485,0.2496282309293747,0.21504627168178558,0.21713797748088837,0.1897452175617218
and,0.31309178471565247,0.2752758264541626,0.3740963041782379,0.19696491956710815,0.24328605830669403,0.3739250600337982,0.23773212730884552,0.5064792633056641,0.5171257257461548,0.1999056488275528,0.22394508123397827,0.20544172823429108
serious,0.3481818735599518,0.1489548683166504,0.21833908557891846,0.11421175301074982,0.11943338066339493,0.2764679193496704,0.16604174673557281,0.2986944913864136,0.2602829933166504,0.08688627183437347,0.0630234107375145,0.23093265295028687
injuries,0.17736762762069702,0.2000121772289276,0.22380153834819794,0.06388566642999649,0.19708412885665894,0.23060233891010284,0.26346173882484436,0.1857195645570755,0.20518366992473602,0.18065154552459717,0.1689438372850418,0.14870837330818176
