,what,kind,of,techniques,were,used,to,create,the,theme,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.18448615074157715,0.3906462490558624,0.3718377649784088,0.535392165184021,0.25265660881996155,1.0,0.2470158040523529,0.22068053483963013
various,0.26045072078704834,0.1904771476984024,0.3196488320827484,0.32212546467781067,0.34943774342536926,0.36734074354171753,0.33564820885658264,0.22120212018489838,0.3235042691230774,0.22138603031635284,0.12823495268821716
parts,0.3415631353855133,0.22943571209907532,0.3379773199558258,0.2538144290447235,0.2637208104133606,0.3002244830131531,0.24449384212493896,0.2510531544685364,0.4042440354824066,0.2004755288362503,0.12310896813869476
were,0.22298263013362885,0.12719890475273132,0.34038281440734863,0.19044029712677002,1.0000001192092896,0.27636459469795227,0.31913647055625916,0.20919877290725708,0.3906462490558624,0.1238798275589943,0.17890112102031708
built,0.1554843783378601,0.21028411388397217,0.23442776501178741,0.14138439297676086,0.31323960423469543,0.3613288998603821,0.2183011770248413,0.22626440227031708,0.2950156033039093,0.14290301501750946,0.09449632465839386
up,0.28591108322143555,0.17447689175605774,0.32945773005485535,0.10604409128427505,0.29601457715034485,0.2526317238807678,0.40375280380249023,0.2568266689777374,0.38423117995262146,0.13738784193992615,0.1819818764925003
using,0.27984681725502014,0.31312650442123413,0.24298200011253357,0.4151843190193176,0.24272575974464417,0.6102309226989746,0.3678804934024811,0.39848271012306213,0.28364112973213196,0.19126522541046143,0.2804589569568634
musique,0.2097449004650116,0.1584269106388092,0.2370375394821167,0.33986803889274597,0.15055888891220093,0.14229263365268707,0.22890111804008484,0.21757160127162933,0.25305670499801636,0.26025569438934326,0.21733881533145905
concrète,0.24709394574165344,0.2188820242881775,0.19825559854507446,0.24009621143341064,0.21696041524410248,0.2235143631696701,0.3048843443393707,0.24740329384803772,0.2438528686761856,0.25537124276161194,0.23739981651306152
techniques,0.19165433943271637,0.2446884661912918,0.2114233523607254,1.0000001192092896,0.19044029712677002,0.4199719727039337,0.2575913667678833,0.31803980469703674,0.18448615074157715,0.1545906960964203,0.1533757448196411
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.1846524029970169,0.36755475401878357,0.3120402991771698,0.44245919585227966,0.2240353375673294,0.4933079481124878,0.21865783631801605,0.31091248989105225
by,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.2220638394355774,0.4406847059726715,0.27705541253089905,0.33534231781959534,0.23152023553848267,0.4408751428127289,0.19824901223182678,0.17966607213020325
creating,0.28780505061149597,0.2505723237991333,0.29262492060661316,0.2701597809791565,0.19428066909313202,0.2570629119873047,0.31553950905799866,0.6927985548973083,0.286904513835907,0.18749192357063293,0.2842518985271454
tape,0.18888257443904877,0.2376500517129898,0.15910093486309052,0.25874465703964233,0.1976221650838852,0.259378582239151,0.2686920464038849,0.1892896145582199,0.14324384927749634,0.12921451032161713,0.13937829434871674
loops,0.20314021408557892,0.23208646476268768,0.1526113748550415,0.25179997086524963,0.193526491522789,0.251924067735672,0.20620550215244293,0.16035929322242737,0.27987632155418396,0.21948520839214325,0.14695380628108978
of,0.33290785551071167,0.2285657674074173,1.0,0.2114233523607254,0.34038281440734863,0.3075267970561981,0.41548454761505127,0.23675619065761566,0.733189046382904,0.17537155747413635,0.1826142966747284
an,0.2821882665157318,0.2510696351528168,0.32280945777893066,0.14293251931667328,0.08893381804227829,0.25728896260261536,0.3138085603713989,0.23360596597194672,0.4207492768764496,0.17399094998836517,0.19793890416622162
individually,0.3605390191078186,0.27857714891433716,0.2735203504562378,0.22014038264751434,0.3523223102092743,0.31196266412734985,0.37647873163223267,0.355781227350235,0.34268859028816223,0.1867397129535675,0.28801774978637695
struck,0.2538670599460602,0.20670835673809052,0.19604799151420593,0.12094488739967346,0.23004475235939026,0.20857509970664978,0.25930434465408325,0.16136524081230164,0.2575269043445587,0.18850108981132507,0.16401498019695282
piano,0.16047720611095428,0.11999110877513885,0.15586547553539276,0.21771885454654694,0.19491827487945557,0.12181397527456284,0.1881282776594162,0.13653379678726196,0.14920689165592194,0.28184595704078674,0.15696080029010773
string,0.17737996578216553,0.1324710100889206,0.17002220451831818,0.2531997561454773,0.11063048243522644,0.2105274200439453,0.19593879580497742,0.22316382825374603,0.19217795133590698,0.20280754566192627,0.16560307145118713
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2132204920053482,0.42175528407096863,0.3150506615638733,0.48971283435821533,0.290901243686676,0.5171257257461548,0.2354547381401062,0.20544172823429108
individual,0.34021541476249695,0.261625736951828,0.3372420072555542,0.21328653395175934,0.25293898582458496,0.27112632989883423,0.3278317153453827,0.3150177001953125,0.3706541955471039,0.19022096693515778,0.2058374285697937
test,0.2596650719642639,0.14643427729606628,0.164191335439682,0.20110094547271729,0.1422247588634491,0.2261657863855362,0.23725658655166626,0.27510833740234375,0.19235259294509888,0.09444787353277206,0.19832737743854523
oscillators,0.26999014616012573,0.302803099155426,0.16752834618091583,0.3627978563308716,0.19115419685840607,0.33933350443840027,0.2883322834968567,0.3038315176963806,0.22610870003700256,0.12194552272558212,0.18054592609405518
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2132204920053482,0.42175528407096863,0.3150506615638733,0.48971283435821533,0.290901243686676,0.5171257257461548,0.2354547381401062,0.20544172823429108
filters,0.26928651332855225,0.3366360068321228,0.1922733038663864,0.23690764605998993,0.19029079377651215,0.3307285010814667,0.2645263969898224,0.3059745728969574,0.22678351402282715,0.0924157053232193,0.30552077293395996
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.15641993284225464,0.3378238379955292,0.33111312985420227,0.4645031690597534,0.2916513681411743,0.5934505462646484,0.2135048359632492,0.4130953550338745
