,when,was,spanish,takeover,of,louisiana,territory,complete,?
although,0.3650384247303009,0.3711436688899994,0.19475898146629333,0.21728616952896118,0.3024747669696808,0.15518350899219513,0.2251318097114563,0.15577828884124756,0.15541206300258636
the,0.5091903209686279,0.48711544275283813,0.23213517665863037,0.3833385705947876,0.733189046382904,0.21666446328163147,0.3000710904598236,0.277624249458313,0.22068053483963013
spanish,0.16431941092014313,0.2310291975736618,1.0000001192092896,0.19924035668373108,0.1623179167509079,0.27304747700691223,0.15274162590503693,0.08663364499807358,0.14750491082668304
takeover,0.24406474828720093,0.3563484847545624,0.19924035668373108,1.0000001192092896,0.24993263185024261,0.12837663292884827,0.22285103797912598,0.2675105035305023,0.1486419141292572
of,0.3757161796092987,0.4069072902202606,0.1623179167509079,0.24993263185024261,1.0,0.1720580756664276,0.27564212679862976,0.3009350895881653,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.23213517665863037,0.3833385705947876,0.733189046382904,0.21666446328163147,0.3000710904598236,0.277624249458313,0.22068053483963013
louisiana,0.13215671479701996,0.232979878783226,0.27304747700691223,0.12837663292884827,0.1720580756664276,0.9999999403953552,0.31813305616378784,0.160880446434021,0.12383037805557251
territory,0.28074100613594055,0.20208659768104553,0.15274162590503693,0.22285103797912598,0.27564212679862976,0.31813305616378784,1.0,0.11984052509069443,0.09435105323791504
(,0.2459595799446106,0.2980341613292694,0.19892485439777374,0.1590343862771988,0.35032153129577637,0.17032089829444885,0.18721634149551392,0.20320400595664978,0.40561532974243164
which,0.572554349899292,0.2830964922904968,0.20215068757534027,0.2720734775066376,0.5011631846427917,0.17434938251972198,0.27571672201156616,0.33639606833457947,0.25814583897590637
was,0.37326499819755554,1.0000001192092896,0.2310291975736618,0.3563484847545624,0.4069072902202606,0.232979878783226,0.20208659768104553,0.13758507370948792,0.18412111699581146
not,0.4799930453300476,0.2888734042644501,0.18698835372924805,0.21564628183841705,0.3307090103626251,0.16466392576694489,0.2067958265542984,0.3003719449043274,0.41942933201789856
completed,0.1893177628517151,0.3156263828277588,0.12168242782354355,0.2651881277561188,0.2491239756345749,0.21554118394851685,0.1515735238790512,0.6404756903648376,0.08272653818130493
until,0.494509756565094,0.43126991391181946,0.09772398322820663,0.2520190179347992,0.2787701487541199,0.19442614912986755,0.24395300447940826,0.13115249574184418,0.20304496586322784
1769,0.16816167533397675,0.16164863109588623,0.13109911978244781,0.16011589765548706,0.1645035445690155,0.0972938984632492,0.23382186889648438,0.10176602005958557,0.1290908008813858
),0.2538422644138336,0.3267642855644226,0.2298344075679779,0.14543016254901886,0.3680361211299896,0.1668982207775116,0.16071593761444092,0.21319177746772766,0.42300865054130554
had,0.37526828050613403,0.5927209258079529,0.15303447842597961,0.23550596833229065,0.37755560874938965,0.18657441437244415,0.1965164989233017,0.23044535517692566,0.20728366076946259
modest,0.1822841763496399,0.25864824652671814,0.08690369874238968,0.07911889255046844,0.303934782743454,0.077142633497715,0.0997997522354126,0.15214765071868896,0.13884171843528748
repercussions,0.2435937225818634,0.12997345626354218,0.2085241824388504,0.069813072681427,0.1764652281999588,0.11573817580938339,0.11653152108192444,0.16025887429714203,0.29351598024368286
",",0.36674630641937256,0.45456063747406006,0.2153884321451187,0.28780224919319153,0.4946078956127167,0.22241710126399994,0.2454550564289093,0.23945219814777374,0.31091248989105225
