,which,ancient,roman,monument,is,replicated,in,full-scale,in,the,cast,courts,?
one,0.510688066482544,0.264198362827301,0.164652019739151,0.21854783594608307,0.4544198513031006,0.3135591447353363,0.4129433035850525,0.22289660573005676,0.4129433035850525,0.5514441132545471,0.22054436802864075,0.15161454677581787,0.2673267424106598
of,0.5011631846427917,0.3361112177371979,0.31028008460998535,0.23529943823814392,0.4854315221309662,0.19534797966480255,0.5696388483047485,0.2680472731590271,0.5696388483047485,0.733189046382904,0.2314109057188034,0.24972429871559143,0.1826142966747284
these,0.5959210991859436,0.28254082798957825,0.21017827093601227,0.0743277445435524,0.2498808652162552,0.4014146327972412,0.3791837692260742,0.24881714582443237,0.3791837692260742,0.49086877703666687,0.20272158086299896,0.26591774821281433,0.2571668326854706
is,0.4457404911518097,0.2616937756538391,0.16690842807292938,0.2182770073413849,1.0,0.1886705905199051,0.5394441485404968,0.23325079679489136,0.5394441485404968,0.5823672413825989,0.21460455656051636,0.19366668164730072,0.22961433231830597
dominated,0.27477967739105225,0.22799605131149292,0.236079603433609,0.08047875761985779,0.18273897469043732,0.2548174560070038,0.27524110674858093,0.2217438966035843,0.27524110674858093,0.33543094992637634,0.1640113890171051,0.15293940901756287,0.04715321213006973
by,0.40543368458747864,0.17577187716960907,0.169524148106575,0.15537109971046448,0.3899846076965332,0.2788402736186981,0.370934396982193,0.1546914428472519,0.370934396982193,0.4408751428127289,0.20315946638584137,0.19574788212776184,0.17966607213020325
a,0.56894451379776,0.2069382220506668,0.18130378425121307,0.2128034234046936,0.658733606338501,0.25861528515815735,0.539380669593811,0.27553609013557434,0.539380669593811,0.5829201340675354,0.21993473172187805,0.23228667676448822,0.23916715383529663
full-scale,0.2975948750972748,0.22764022648334503,0.22494864463806152,0.1783147007226944,0.23325079679489136,0.30670255422592163,0.25651243329048157,1.0000001192092896,0.25651243329048157,0.25189071893692017,0.20900632441043854,0.2099355012178421,0.24412725865840912
replica,0.3249676525592804,0.17463190853595734,0.1349068582057953,0.23456957936286926,0.1432729959487915,0.6990383267402649,0.18848586082458496,0.27337729930877686,0.18848586082458496,0.2576879858970642,0.1927659660577774,0.1001155823469162,0.07987788319587708
of,0.5011631846427917,0.3361112177371979,0.31028008460998535,0.23529943823814392,0.4854315221309662,0.19534797966480255,0.5696388483047485,0.2680472731590271,0.5696388483047485,0.733189046382904,0.2314109057188034,0.24972429871559143,0.1826142966747284
trajan,0.1988612860441208,0.36434417963027954,0.4865087568759918,0.28143826127052307,0.12763747572898865,0.16466090083122253,0.18017840385437012,0.2189689427614212,0.18017840385437012,0.22454074025154114,0.1347857266664505,0.147251695394516,0.1543252319097519
's,0.03856118768453598,0.09360567480325699,0.11189179122447968,-0.008981022983789444,0.02396530658006668,-0.014532063156366348,-0.037580832839012146,0.036148276180028915,-0.037580832839012146,-0.01540423184633255,0.05063885822892189,0.013939086347818375,-0.023395681753754616
