,what,method,is,used,for,tallying,votes,in,the,second,vote,of,the,ballot,?
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.3798575699329376,0.2303277552127838,0.6662389636039734,1.0,0.4620301127433777,0.22779929637908936,0.733189046382904,1.0,0.26649942994117737,0.22068053483963013
total,0.19850242137908936,0.13453266024589539,0.18159881234169006,0.1136968806385994,0.18924455344676971,0.1937716156244278,0.32263991236686707,0.27667245268821716,0.27068960666656494,0.1745782345533371,0.25600868463516235,0.29045331478118896,0.27068960666656494,0.21620523929595947,0.14396025240421295
number,0.23046229779720306,0.21155084669589996,0.22390379011631012,0.23600076138973236,0.2861633002758026,0.30519184470176697,0.26704689860343933,0.3024539053440094,0.35145696997642517,0.22454188764095306,0.20210234820842743,0.2778518795967102,0.35145696997642517,0.2676742374897003,0.19256845116615295
of,0.33290785551071167,0.22896558046340942,0.4854315221309662,0.3075267970561981,0.4185989499092102,0.3222009837627411,0.20024310052394867,0.5696388483047485,0.733189046382904,0.353416383266449,0.19845709204673767,1.0,0.733189046382904,0.21522194147109985,0.1826142966747284
seats,0.12961463630199432,0.04986245930194855,0.19383582472801208,0.12443400919437408,0.21698476374149323,0.1863575130701065,0.4076401889324188,0.26510122418403625,0.25880131125450134,0.21226128935813904,0.38724228739738464,0.22482673823833466,0.25880131125450134,0.3805030584335327,0.10678832978010178
in,0.30808621644973755,0.13883966207504272,0.5394441485404968,0.3090210556983948,0.4322226941585541,0.30815115571022034,0.21167227625846863,1.0,0.6662389636039734,0.34510284662246704,0.21458156406879425,0.5696388483047485,0.6662389636039734,0.2662581205368042,0.20430970191955566
the,0.42745697498321533,0.21624743938446045,0.5823672413825989,0.3718377649784088,0.4739971458911896,0.3798575699329376,0.2303277552127838,0.6662389636039734,1.0,0.4620301127433777,0.22779929637908936,0.733189046382904,1.0,0.26649942994117737,0.22068053483963013
parliament,0.21650300920009613,0.1339377909898758,0.19676777720451355,0.16101059317588806,0.23382046818733215,0.2364877462387085,0.4078752100467682,0.2323146015405655,0.26521381735801697,0.16448315978050232,0.4532986879348755,0.2885259687900543,0.26521381735801697,0.4248781204223633,0.1586504578590393
are,0.29724663496017456,0.18370844423770905,0.5330929756164551,0.3322218656539917,0.3895993232727051,0.3222361207008362,0.1935156136751175,0.3841303884983063,0.40399202704429626,0.13331100344657898,0.20448122918605804,0.39081433415412903,0.40399202704429626,0.17556770145893097,0.24591213464736938
allocated,0.2210150808095932,0.19201062619686127,0.23639625310897827,0.37380853295326233,0.2956543564796448,0.2913261353969574,0.260802686214447,0.2639060914516449,0.35371720790863037,0.19992583990097046,0.20541150867938995,0.3184435963630676,0.35371720790863037,0.23881866037845612,0.17195001244544983
