,which,lone,female,architect,listed,above,is,represented,in,the,collection,?
british,0.2002234309911728,0.12559324502944946,0.20230796933174133,0.1519789844751358,0.17624437808990479,0.10186371207237244,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.15021207928657532,0.09711728990077972
architects,0.16262474656105042,0.006795261520892382,0.10097850859165192,0.8990611433982849,0.2453646957874298,0.14916138350963593,0.14402367174625397,0.15856540203094482,0.193654865026474,0.20176702737808228,0.2374972403049469,0.1260584592819214
whose,0.37205496430397034,0.13445377349853516,0.22109779715538025,0.18636545538902283,0.18005220592021942,0.13732556998729706,0.26491984724998474,0.22921188175678253,0.23496666550636292,0.38253846764564514,0.14954999089241028,0.16990536451339722
drawings,0.23354779183864594,0.11132925748825073,0.14871172606945038,0.31317010521888733,0.16657990217208862,0.1844927817583084,0.14478443562984467,0.20017090439796448,0.18445944786071777,0.19117170572280884,0.3887491524219513,0.15541397035121918
",",0.3658004403114319,0.25948193669319153,0.1907428652048111,0.21737651526927948,0.30069199204444885,0.2902800738811493,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
and,0.506277859210968,0.19981883466243744,0.2491157501935959,0.20191539824008942,0.2351783663034439,0.2363634556531906,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.2379438579082489,0.20544172823429108
in,0.4840516746044159,0.20952627062797546,0.1986217200756073,0.18696801364421844,0.2905867397785187,0.22744394838809967,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.23004686832427979,0.20430970191955566
some,0.5407140851020813,0.19859136641025543,0.19410601258277893,0.0994182899594307,0.32486429810523987,0.2888988256454468,0.3038453459739685,0.1943650096654892,0.4010399878025055,0.4566698372364044,0.2892989218235016,0.2562315762042999
cases,0.3922598958015442,0.1835220605134964,0.20050570368766785,0.00042226005461998284,0.20152278244495392,0.2001761645078659,0.2989884912967682,0.21135559678077698,0.24487079679965973,0.33415094017982483,0.14226001501083374,0.25599566102027893
models,0.23248709738254547,0.15721699595451355,0.14655974507331848,0.20244041085243225,0.11700739711523056,0.11119937896728516,0.17595206201076508,0.19452597200870514,0.2122073471546173,0.16804195940494537,0.2148018777370453,0.16656708717346191
of,0.5011631846427917,0.2596026360988617,0.26416701078414917,0.13472206890583038,0.28872668743133545,0.24890293180942535,0.4854315221309662,0.3891753554344177,0.5696388483047485,0.733189046382904,0.2915455996990204,0.1826142966747284
their,0.4582767188549042,0.20739781856536865,0.28491702675819397,0.07966822385787964,0.24881407618522644,0.19879405200481415,0.2101074606180191,0.16984786093235016,0.34976133704185486,0.516537070274353,0.2155619114637375,0.1898253709077835
buildings,0.2618054151535034,0.12594307959079742,0.12850072979927063,0.4719042181968689,0.3225797712802887,0.1425303816795349,0.2076430320739746,0.16945961117744446,0.3479180932044983,0.25566717982292175,0.27918359637260437,0.11192528158426285
",",0.3658004403114319,0.25948193669319153,0.1907428652048111,0.21737651526927948,0.30069199204444885,0.2902800738811493,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
in,0.4840516746044159,0.20952627062797546,0.1986217200756073,0.18696801364421844,0.2905867397785187,0.22744394838809967,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.23004686832427979,0.20430970191955566
the,0.6521818041801453,0.27320772409439087,0.2673940658569336,0.13209693133831024,0.31246060132980347,0.33988961577415466,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.25281965732574463,0.22068053483963013
collection,0.30199134349823,0.10422373563051224,0.0855487659573555,0.17882217466831207,0.1202796921133995,0.12013231217861176,0.21135231852531433,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.9999998807907104,0.20069393515586853
",",0.3658004403114319,0.25948193669319153,0.1907428652048111,0.21737651526927948,0.30069199204444885,0.2902800738811493,0.4691906273365021,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.2277175933122635,0.31091248989105225
include,0.33084139227867126,0.13259010016918182,0.12453914433717728,0.08836161345243454,0.301006019115448,0.1354704350233078,0.28863582015037537,0.18663407862186432,0.28694382309913635,0.2951717972755432,0.30674809217453003,0.14925788342952728
:,-0.11049769818782806,-0.015569758601486683,0.07639425247907639,0.06301610916852951,-0.06111333519220352,-0.0985947847366333,-0.07222653180360794,0.1406276673078537,0.020521078258752823,-0.03403344005346298,-0.10115766525268555,-0.07156077772378922
inigo,0.2092481404542923,0.1365436613559723,0.11282514035701752,0.3386642038822174,0.14662349224090576,0.11799220740795135,0.16362567245960236,0.06432303786277771,0.2331651896238327,0.2154955416917801,0.23940016329288483,0.2051500529050827
jones,0.1938105821609497,0.2584400177001953,0.1342180222272873,0.17697937786579132,0.14951984584331512,0.041658565402030945,0.17348285019397736,0.09475594758987427,0.1750783771276474,0.24446700513362885,0.18541675806045532,0.1838836669921875
