,when,did,the,fcc,approve,upt,'s,purchase,of,abc,?
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.2287844568490982,0.25863519310951233,0.27111709117889404,0.0026888418942689896,0.22003348171710968,0.3966929316520691,0.2862928807735443,0.2714994251728058
february,0.2621206045150757,0.25426602363586426,0.26483774185180664,0.0826377123594284,0.20548902451992035,0.08615574985742569,-0.056284528225660324,0.12018630653619766,0.20366249978542328,0.19947807490825653,0.29594847559928894
9,-0.062115494161844254,0.038853127509355545,0.023652536794543266,0.07851699739694595,-0.026637131348252296,-0.1528366655111313,0.048719488084316254,0.030596332624554634,0.01387986820191145,0.07613100111484528,-0.026682810857892036
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.12939687073230743,0.30302485823631287,0.23893846571445465,-0.0016132977325469255,0.220005065202713,0.4946078956127167,0.2097204476594925,0.31091248989105225
1953,-0.0046747662127017975,0.024656908586621284,0.10330186039209366,-0.07688528299331665,-0.07807781547307968,0.10221628099679947,0.0588824488222599,0.025656120851635933,0.01972707360982895,0.027935892343521118,-0.048926934599876404
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.12939687073230743,0.30302485823631287,0.23893846571445465,-0.0016132977325469255,0.220005065202713,0.4946078956127167,0.2097204476594925,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.24932202696800232,0.31595274806022644,0.25772973895072937,-0.01540423184633255,0.242343470454216,0.733189046382904,0.2068762183189392,0.22068053483963013
fcc,0.21491053700447083,0.23574954271316528,0.24932202696800232,1.0000001192092896,0.29138821363449097,0.09894900768995285,0.05599381774663925,0.3399655520915985,0.16839106380939484,0.27474352717399597,0.1708466112613678
approved,0.23851343989372253,0.2830694019794464,0.30207422375679016,0.31259796023368835,0.8598951697349548,0.14860785007476807,-0.004867183975875378,0.29232943058013916,0.3106788992881775,0.1413784772157669,0.25914356112480164
upt,0.24586787819862366,0.21392612159252167,0.25772973895072937,0.09894900768995285,0.21701370179653168,0.9999999403953552,-0.040505778044462204,0.204925999045372,0.16551406681537628,0.16452030837535858,0.22407570481300354
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,0.05599381774663925,0.018646443262696266,-0.040505778044462204,0.9999999403953552,0.08398998528718948,-0.03817026689648628,0.06670809537172318,-0.023395681753754616
purchase,0.23947790265083313,0.22546830773353577,0.242343470454216,0.3399655520915985,0.2822779417037964,0.204925999045372,0.08398998528718948,1.0,0.21814467012882233,0.2114780843257904,0.07106894254684448
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.16839106380939484,0.32285770773887634,0.16551406681537628,-0.03817026689648628,0.21814467012882233,1.0,0.14607268571853638,0.1826142966747284
abc,0.13294127583503723,0.13353709876537323,0.2068762183189392,0.27474352717399597,0.15743795037269592,0.16452030837535858,0.06670809537172318,0.2114780843257904,0.14607268571853638,1.0000001192092896,0.19065172970294952
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.134840726852417,0.21883882582187653,0.18964797258377075,-0.037580832839012146,0.18969708681106567,0.5696388483047485,0.1697147786617279,0.20430970191955566
exchange,0.24425387382507324,0.07428870350122452,0.2543705105781555,0.27346333861351013,0.210001140832901,0.12601417303085327,0.03569260984659195,0.24560415744781494,0.23548997938632965,0.11956698447465897,0.048212938010692596
for,0.43402108550071716,0.318512886762619,0.4739971458911896,0.30156174302101135,0.2881260812282562,0.17705684900283813,-0.07241261005401611,0.2267349809408188,0.4185989499092102,0.22510288655757904,0.264628142118454
$,0.17828483879566193,0.23203131556510925,0.23367542028427124,0.23228098452091217,0.282421350479126,0.20629389584064484,0.03734852001070976,0.3222631514072418,0.11268499493598938,0.2139672338962555,0.2786129117012024
25,0.13606321811676025,0.19968153536319733,0.1671934723854065,0.17638467252254486,0.15695761144161224,0.0484965518116951,0.06924083083868027,0.13293838500976562,0.13541533052921295,0.05463181436061859,0.09614268690347672
million,0.17012886703014374,0.1815238744020462,0.277012437582016,0.1591046154499054,0.10435163229703903,0.17218275368213654,0.05079329386353493,0.2357744723558426,0.21686489880084991,0.19051116704940796,0.23092924058437347
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.134840726852417,0.21883882582187653,0.18964797258377075,-0.037580832839012146,0.18969708681106567,0.5696388483047485,0.1697147786617279,0.20430970191955566
shares,0.16701866686344147,0.14416900277137756,0.2541813552379608,0.23768006265163422,0.1608828455209732,0.16170097887516022,0.08795369416475296,0.34478700160980225,0.3035818040370941,0.1739792674779892,0.10316289961338043
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.1972244679927826,0.307916522026062,0.25213178992271423,-0.003708066651597619,0.21300923824310303,0.5352458953857422,0.2567209303379059,0.4130953550338745
