,what,is,the,name,of,the,team,from,usc,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22564226388931274,0.40150508284568787,0.1807693988084793,0.22068053483963013
ucla,0.17492125928401947,0.13825136423110962,0.19696348905563354,0.10902230441570282,0.20856034755706787,0.19696348905563354,0.31610769033432007,0.20343425869941711,0.5012876391410828,0.12076085060834885
bruins,0.13865384459495544,0.1224231868982315,0.2325112223625183,0.1072583943605423,0.16932499408721924,0.2325112223625183,0.3583879768848419,0.09448281675577164,0.3440922498703003,0.12275101244449615
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.22394508123397827,0.3601827025413513,0.24950429797172546,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22564226388931274,0.40150508284568787,0.1807693988084793,0.22068053483963013
usc,0.13944432139396667,0.1518641859292984,0.1807693988084793,0.13756194710731506,0.15478691458702087,0.1807693988084793,0.3397369086742401,0.1808556467294693,1.0000001192092896,0.0950627475976944
trojans,0.18790709972381592,0.16985632479190826,0.28302961587905884,0.12080148607492447,0.1990501433610916,0.28302961587905884,0.21040120720863342,0.11552046984434128,0.3339212238788605,0.14886076748371124
both,0.3361809551715851,0.31409940123558044,0.4931981563568115,0.2019103318452835,0.3565710783004761,0.4931981563568115,0.17795604467391968,0.299375057220459,0.1582506000995636,0.19455738365650177
field,0.1825202852487564,0.17269009351730347,0.2105809599161148,0.15073443949222565,0.20410659909248352,0.2105809599161148,0.23653793334960938,0.16799847781658173,0.20617134869098663,0.11279727518558502
teams,0.16624371707439423,0.1845376342535019,0.3164927661418915,0.20138786733150482,0.27933305501937866,0.3164927661418915,0.673422634601593,0.20888039469718933,0.3626649081707001,0.11150168627500534
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.18841172754764557,0.4274188280105591,0.2065298855304718,0.20430970191955566
ncaa,0.2340848296880722,0.18076343834400177,0.24887123703956604,0.08517143875360489,0.22221489250659943,0.24887123703956604,0.3995611369609833,0.09026838093996048,0.42561203241348267,0.14618685841560364
division,0.19144181907176971,0.20176531374454498,0.26203617453575134,0.13409215211868286,0.23579144477844238,0.26203617453575134,0.21348169445991516,0.15398767590522766,0.24635426700115204,0.08900629729032516
i,0.4411132335662842,0.25362417101860046,0.26687872409820557,0.1543835699558258,0.25849398970603943,0.26687872409820557,0.1768842339515686,0.1677764356136322,0.17055833339691162,0.4695145785808563
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.18841172754764557,0.4274188280105591,0.2065298855304718,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22564226388931274,0.40150508284568787,0.1807693988084793,0.22068053483963013
pac-12,0.11650794744491577,0.11722226440906525,0.1772192418575287,0.12478823959827423,0.13997071981430054,0.1772192418575287,0.20421181619167328,0.05095026269555092,0.16796433925628662,0.09080679714679718
conference,0.15329721570014954,0.13909097015857697,0.25393402576446533,0.1523987054824829,0.19579021632671356,0.25393402576446533,0.27145183086395264,0.1463094800710678,0.3309022784233093,0.11172781884670258
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.21287471055984497,0.39760664105415344,0.1970168650150299,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.22394508123397827,0.3601827025413513,0.24950429797172546,0.20544172823429108
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.1687372922897339,0.44397735595703125,0.47025805711746216,0.10952657461166382,0.2965545952320099,0.09733621031045914,0.29405656456947327
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.14871908724308014,0.27355384826660156,0.1518641859292984,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.19125498831272125,0.322764128446579,0.11775847524404526,0.23916715383529663
longtime,0.10752114653587341,0.21366927027702332,0.2717287242412567,0.23453903198242188,0.24341900646686554,0.2717287242412567,0.23471619188785553,0.2213173508644104,0.20322823524475098,0.07657656818628311
rivalry,0.16695702075958252,0.1551303267478943,0.227608323097229,0.18566690385341644,0.22575128078460693,0.227608323097229,0.2885066270828247,0.2058127373456955,0.21770687401294708,0.09352650493383408
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.09606724977493286,0.3737983703613281,0.39067012071609497,0.1282128542661667,0.3269653618335724,0.11504344642162323,0.12887074053287506
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.22564226388931274,0.40150508284568787,0.1807693988084793,0.22068053483963013
schools,0.1820785105228424,0.2022145688533783,0.22905772924423218,0.12527719140052795,0.265506386756897,0.22905772924423218,0.1734796166419983,0.1357884258031845,0.2550032138824463,0.18349280953407288
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.26467522978782654,0.41536515951156616,0.26401370763778687,0.4130953550338745
