,what,did,artur,oppman,give,to,the,world,?
the,0.42745697498321533,0.34736719727516174,0.1364172399044037,0.2954370081424713,0.29086416959762573,0.535392165184021,1.0,0.33604270219802856,0.22068053483963013
best-known,0.268485426902771,0.2816547453403473,0.22764267027378082,0.25393086671829224,0.23012122511863708,0.22280067205429077,0.45662784576416016,0.2977544367313385,0.2836571931838989
legend,0.1718679517507553,0.08855794370174408,0.1098906621336937,0.16744069755077362,0.10424967110157013,0.17162109911441803,0.19108377397060394,0.17721277475357056,0.1287047564983368
",",0.3087472915649414,0.3015086054801941,0.23491962254047394,0.38287150859832764,0.2844066619873047,0.44245919585227966,0.4933079481124878,0.26091980934143066,0.31091248989105225
by,0.2455483376979828,0.18574509024620056,0.16430158913135529,0.29344773292541504,0.1874368041753769,0.33534231781959534,0.4408751428127289,0.22306372225284576,0.17966607213020325
artur,0.09247611463069916,0.1396781951189041,1.0000001192092896,0.3453185260295868,0.0480850450694561,0.13549543917179108,0.1364172399044037,0.17143945395946503,0.13506926596164703
oppman,0.2715015113353729,0.28366619348526,0.3453185260295868,1.0000001192092896,0.2239849865436554,0.26133105158805847,0.2954370081424713,0.2767457067966461,0.2484615445137024
",",0.3087472915649414,0.3015086054801941,0.23491962254047394,0.38287150859832764,0.2844066619873047,0.44245919585227966,0.4933079481124878,0.26091980934143066,0.31091248989105225
is,0.28837618231773376,0.19247472286224365,0.1170555055141449,0.22116127610206604,0.25632646679878235,0.42745086550712585,0.5823672413825989,0.24458536505699158,0.22961433231830597
that,0.6297725439071655,0.47518548369407654,0.12941107153892517,0.25044581294059753,0.41792264580726624,0.5436353087425232,0.5473989248275757,0.2972288429737091,0.32716336846351624
long,0.28276848793029785,0.20462055504322052,0.11873900890350342,0.15764719247817993,0.22891637682914734,0.30218687653541565,0.3075225353240967,0.17942118644714355,0.19699987769126892
ago,0.30667418241500854,0.19972491264343262,0.0773637592792511,0.10025423765182495,0.23939228057861328,0.2610180675983429,0.23063679039478302,0.1513698399066925,0.2202194780111313
two,0.23363454639911652,0.2755576968193054,0.12133362889289856,0.22446370124816895,0.21978892385959625,0.3343428373336792,0.43858039379119873,0.25136598944664,0.19645625352859497
of,0.33290785551071167,0.2513895630836487,0.09037423133850098,0.23575705289840698,0.33489471673965454,0.41548454761505127,0.733189046382904,0.2828933000564575,0.1826142966747284
triton,0.26994991302490234,0.16274197399616241,0.10369981080293655,0.22818543016910553,0.21747301518917084,0.23650850355625153,0.29147884249687195,0.19061289727687836,0.21504822373390198
's,0.02692362666130066,0.05069678649306297,0.05379393324255943,0.015583692118525505,0.032917920500040054,0.03782717138528824,-0.01540423184633255,0.11877062171697617,-0.023395681753754616
daughters,0.1333482563495636,0.209287628531456,0.162236750125885,0.2960849702358246,0.2079377919435501,0.17394913733005524,0.14048056304454803,0.15886807441711426,0.13857798278331757
set,0.28954121470451355,0.19107604026794434,0.1160050630569458,0.1476418375968933,0.24623669683933258,0.320547491312027,0.2927955985069275,0.17349648475646973,0.1698019951581955
out,0.3633197546005249,0.28413498401641846,0.025746941566467285,0.3327687978744507,0.3252251446247101,0.42386990785598755,0.39404502511024475,0.2319137006998062,0.22020699083805084
on,0.34226128458976746,0.2670976221561432,0.17469969391822815,0.24025818705558777,0.24458909034729004,0.41031414270401,0.5107308030128479,0.22789059579372406,0.2714994251728058
a,0.3320399522781372,0.2552328109741211,0.1673683524131775,0.26845306158065796,0.3436131179332733,0.45503583550453186,0.5829201340675354,0.22239887714385986,0.23916715383529663
journey,0.1740729808807373,0.173209547996521,0.1829785257577896,0.1885545402765274,0.1713297814130783,0.31875574588775635,0.24944555759429932,0.2800378203392029,0.06391996890306473
through,0.23167094588279724,0.14190755784511566,0.04729172959923744,0.17878785729408264,0.1682722121477127,0.4062686562538147,0.44071322679519653,0.16810309886932373,0.16913433372974396
the,0.42745697498321533,0.34736719727516174,0.1364172399044037,0.2954370081424713,0.29086416959762573,0.535392165184021,1.0,0.33604270219802856,0.22068053483963013
