,what,castle,currently,houses,the,centre,for,contemporary,art,?
the,0.42745697498321533,0.21430203318595886,0.2945235073566437,0.2692612111568451,1.0,0.32783594727516174,0.4739971458911896,0.25350451469421387,0.20297785103321075,0.22068053483963013
17th,0.15649843215942383,0.08248008042573929,0.21035291254520416,0.120399609208107,0.2679309546947479,0.2504361569881439,0.17372846603393555,0.09123092144727707,0.05273456871509552,0.096589595079422
century,0.20422613620758057,0.27595335245132446,0.13950160145759583,0.2537919878959656,0.3617299497127533,0.2574938237667084,0.18660898506641388,0.28250202536582947,0.16697418689727783,0.1026201918721199
royal,0.16189028322696686,0.1769811511039734,0.16489167511463165,0.2977708578109741,0.2997032403945923,0.2297547310590744,0.20729990303516388,0.17383190989494324,0.18586747348308563,0.11453001946210861
ujazdów,0.28509607911109924,0.19328871369361877,0.11409129202365875,0.23563425242900848,0.3023903965950012,0.2531571686267853,0.19340834021568298,0.24149870872497559,0.1348436325788498,0.19049283862113953
castle,0.15708477795124054,0.9999999403953552,0.08793414384126663,0.31721872091293335,0.21430203318595886,0.2648804187774658,0.14642590284347534,0.1095072329044342,0.13917142152786255,0.0871945396065712
currently,0.21436211466789246,0.08793414384126663,1.0000001192092896,0.07149768620729446,0.2945235073566437,0.236580491065979,0.4316125214099884,0.18544161319732666,0.1546780914068222,0.1861555278301239
houses,0.1434021294116974,0.31721872091293335,0.07149768620729446,1.0,0.2692612111568451,0.2893919050693512,0.22018693387508392,0.23759107291698456,0.21813693642616272,0.10120081901550293
centre,0.12324132025241852,0.2648804187774658,0.236580491065979,0.2893919050693512,0.32783594727516174,1.0000001192092896,0.21711347997188568,0.25123876333236694,0.24615849554538727,0.019365152344107628
for,0.3017193675041199,0.14642590284347534,0.4316125214099884,0.22018693387508392,0.4739971458911896,0.21711347997188568,0.9999999403953552,0.2860651910305023,0.21690402925014496,0.264628142118454
contemporary,0.20300830900669098,0.1095072329044342,0.18544161319732666,0.23759107291698456,0.25350451469421387,0.25123876333236694,0.2860651910305023,0.9999998807907104,0.4636719226837158,0.09539991617202759
art,0.19292277097702026,0.13917142152786255,0.1546780914068222,0.21813693642616272,0.20297785103321075,0.24615849554538727,0.21690402925014496,0.4636719226837158,1.0,0.138971745967865
",",0.3087472915649414,0.2080804705619812,0.33041635155677795,0.25159695744514465,0.4933079481124878,0.20527958869934082,0.4464869201183319,0.28917112946510315,0.2700960636138916,0.31091248989105225
with,0.2464839518070221,0.101542629301548,0.2596642076969147,0.20572449266910553,0.4223487675189972,0.1519339233636856,0.39140474796295166,0.17899306118488312,0.13893495500087738,0.2433311939239502
some,0.4491020441055298,0.14710211753845215,0.23114173114299774,0.29094812273979187,0.4566698372364044,0.14342594146728516,0.4257155656814575,0.3034321665763855,0.22599923610687256,0.2562315762042999
permanent,0.21309445798397064,0.08526051044464111,0.2596700191497803,0.2809371054172516,0.34165191650390625,0.17002801597118378,0.3345854878425598,0.29121920466423035,0.2016080915927887,0.14813289046287537
and,0.31309178471565247,0.18904168903827667,0.2922934591770172,0.33128079771995544,0.5171257257461548,0.2848764955997467,0.5064792633056641,0.31080201268196106,0.2631918787956238,0.20544172823429108
temporary,0.1866864562034607,0.06910276412963867,0.24418070912361145,0.22164331376552582,0.3147225081920624,0.21685583889484406,0.316325306892395,0.4909527003765106,0.22110615670681,0.11651745438575745
exhibitions,0.17367495596408844,0.15115907788276672,0.15294930338859558,0.2938249409198761,0.22228071093559265,0.3381059169769287,0.2862796187400818,0.42374417185783386,0.5523959994316101,0.1462271511554718
",",0.3087472915649414,0.2080804705619812,0.33041635155677795,0.25159695744514465,0.4933079481124878,0.20527958869934082,0.4464869201183319,0.28917112946510315,0.2700960636138916,0.31091248989105225
concerts,0.12693393230438232,0.1704968363046646,0.18187466263771057,0.2471882700920105,0.22872696816921234,0.24143294990062714,0.3054214119911194,0.22580774128437042,0.27772367000579834,0.1105763241648674
",",0.3087472915649414,0.2080804705619812,0.33041635155677795,0.25159695744514465,0.4933079481124878,0.20527958869934082,0.4464869201183319,0.28917112946510315,0.2700960636138916,0.31091248989105225
shows,0.30282244086265564,0.09694070369005203,0.2469738870859146,0.19111958146095276,0.36348509788513184,0.23560050129890442,0.35496386885643005,0.2230798602104187,0.22895163297653198,0.2040930688381195
and,0.31309178471565247,0.18904168903827667,0.2922934591770172,0.33128079771995544,0.5171257257461548,0.2848764955997467,0.5064792633056641,0.31080201268196106,0.2631918787956238,0.20544172823429108
creative,0.2690553069114685,0.1120726466178894,0.2521156966686249,0.1882404237985611,0.1688297688961029,0.17308206856250763,0.33405324816703796,0.31056228280067444,0.35688990354537964,0.1945163905620575
workshops,0.2052963674068451,0.19812685251235962,0.21706369519233704,0.37566080689430237,0.2560482621192932,0.2784995436668396,0.2998475432395935,0.2617519497871399,0.36203819513320923,0.12714558839797974
.,0.3567904531955719,0.1885698437690735,0.29744869470596313,0.2632806897163391,0.5934505462646484,0.21697939932346344,0.4726039469242096,0.23390525579452515,0.21795564889907837,0.4130953550338745
