,how,did,celeron,handle,business,on,trip,?
whenever,0.438329815864563,0.3213288187980652,0.17467093467712402,0.28478771448135376,0.22532130777835846,0.2671414315700531,0.21547828614711761,0.3446413278579712
he,0.2594625651836395,0.3292143940925598,0.18588118255138397,0.09978359192609787,0.2408381551504135,0.32403138279914856,0.3264595568180084,0.2089974731206894
encountered,0.22665128111839294,0.24190115928649902,0.1532350480556488,0.22643351554870605,0.1526181846857071,0.2655782699584961,0.19452878832817078,0.12880854308605194
british,0.17564475536346436,0.2039594054222107,0.10152936726808548,0.14918024837970734,0.1825413852930069,0.19917237758636475,0.22172757983207703,0.09711728990077972
merchants,0.1911599338054657,0.27954357862472534,0.13114137947559357,0.15767279267311096,0.39470914006233215,0.11323476582765579,0.22437646985054016,0.0864284485578537
or,0.3378981947898865,0.28211739659309387,0.22862331569194794,0.31277787685394287,0.2136107087135315,0.2897229492664337,0.17979323863983154,0.32389625906944275
fur-traders,0.28743496537208557,0.2590833902359009,0.30285292863845825,0.23095984756946564,0.365496426820755,0.21923109889030457,0.241277813911438,0.21655604243278503
",",0.22659391164779663,0.3015086054801941,0.3048674464225769,0.23754459619522095,0.2952407896518707,0.49057599902153015,0.23607087135314941,0.31091248989105225
céloron,0.17692279815673828,0.14053545892238617,0.4971884787082672,0.18122634291648865,0.16670362651348114,0.19579695165157318,0.16495010256767273,0.21622054278850555
informed,0.2918766736984253,0.3019046187400818,0.05071621760725975,0.24563559889793396,0.20988406240940094,0.25225603580474854,0.19576525688171387,0.24280300736427307
them,0.5142028331756592,0.44189682602882385,0.18415053188800812,0.3360486924648285,0.18099957704544067,0.30083513259887695,0.23847045004367828,0.35435691475868225
of,0.2480744868516922,0.2513895630836487,0.24308432638645172,0.2300901859998703,0.23985227942466736,0.3966929316520691,0.20024117827415466,0.1826142966747284
the,0.33890387415885925,0.34736719727516174,0.2833483815193176,0.23661735653877258,0.2389037162065506,0.5107308030128479,0.2299763560295105,0.22068053483963013
french,0.14884154498577118,0.1584041714668274,0.2268296331167221,0.1174778863787651,0.17644880712032318,0.1382952481508255,0.17783024907112122,0.1386883556842804
claims,0.15778739750385284,0.2474527209997177,0.02578609064221382,0.1703704446554184,0.2203989326953888,0.2184356153011322,0.18482321500778198,0.18741291761398315
on,0.32655060291290283,0.2670976221561432,0.2159750908613205,0.22613152861595154,0.19842210412025452,0.9999999403953552,0.289264440536499,0.2714994251728058
the,0.33890387415885925,0.34736719727516174,0.2833483815193176,0.23661735653877258,0.2389037162065506,0.5107308030128479,0.2299763560295105,0.22068053483963013
territory,0.12335657328367233,0.14672954380512238,0.08174171298742294,0.11528368294239044,0.2130717635154724,0.15374188125133514,0.12946709990501404,0.09435105323791504
and,0.33647966384887695,0.34479495882987976,0.29231131076812744,0.2751510441303253,0.33353009819984436,0.4077630043029785,0.28617945313453674,0.20544172823429108
told,0.3298983871936798,0.5070855021476746,0.10085098445415497,0.23788779973983765,0.17559510469436646,0.2631709575653076,0.2562197744846344,0.28178566694259644
them,0.5142028331756592,0.44189682602882385,0.18415053188800812,0.3360486924648285,0.18099957704544067,0.30083513259887695,0.23847045004367828,0.35435691475868225
to,0.44169697165489197,0.4452643394470215,0.22752350568771362,0.30356109142303467,0.28079214692115784,0.41031414270401,0.29589349031448364,0.29463258385658264
