,the,house,of,the,baryczko,merchant,family,is,a,notable,example,of,what,type,of,architecture,?
the,1.0,0.2847244441509247,0.733189046382904,1.0,0.39765822887420654,0.18435479700565338,0.2394849956035614,0.5823672413825989,0.5829201340675354,0.20948168635368347,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
most,0.47635307908058167,0.18339915573596954,0.4178851246833801,0.47635307908058167,0.2822807729244232,0.18809688091278076,0.2513381838798523,0.41165053844451904,0.3508910834789276,0.33399084210395813,0.3754276633262634,0.4178851246833801,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.23562611639499664,0.2107497900724411
notable,0.20948168635368347,0.12830254435539246,0.1985267549753189,0.20948168635368347,0.3021465837955475,0.19193397462368011,0.1368664801120758,0.20672309398651123,0.21731382608413696,0.9999998807907104,0.18953588604927063,0.1985267549753189,0.31026893854141235,0.13867312669754028,0.1985267549753189,0.18053461611270905,0.31928157806396484
examples,0.30092597007751465,0.11324454098939896,0.3054686188697815,0.30092597007751465,0.26558634638786316,0.08514565974473953,0.19760841131210327,0.29282552003860474,0.2633219361305237,0.21862390637397766,0.7060196995735168,0.3054686188697815,0.26665759086608887,0.3520980179309845,0.3054686188697815,0.28389036655426025,0.19976599514484406
of,0.733189046382904,0.285114049911499,1.0,0.733189046382904,0.3376273214817047,0.17877620458602905,0.1893671154975891,0.4854315221309662,0.5052502155303955,0.1985267549753189,0.3570667505264282,1.0,0.33290785551071167,0.18112817406654358,1.0,0.2756515443325043,0.1826142966747284
renaissance,0.2050212025642395,0.2564566731452942,0.21895526349544525,0.2050212025642395,0.2582111954689026,0.28614360094070435,0.2116546630859375,0.15399330854415894,0.1908426582813263,0.1803620308637619,0.18573416769504547,0.21895526349544525,0.22905825078487396,0.16023048758506775,0.21895526349544525,0.37049630284309387,0.12260647863149643
architecture,0.24488379061222076,0.23519815504550934,0.2756515443325043,0.24488379061222076,0.20151618123054504,0.13741843402385712,0.17374563217163086,0.19717231392860413,0.2194099873304367,0.18053461611270905,0.24465352296829224,0.2756515443325043,0.23286667466163635,0.12609367072582245,0.2756515443325043,1.0,0.14343059062957764
in,0.6662389636039734,0.20026938617229462,0.5696388483047485,0.6662389636039734,0.27745139598846436,0.18030290305614471,0.2165997177362442,0.5394441485404968,0.539380669593811,0.25145605206489563,0.30483278632164,0.5696388483047485,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2624244689941406,0.20430970191955566
the,1.0,0.2847244441509247,0.733189046382904,1.0,0.39765822887420654,0.18435479700565338,0.2394849956035614,0.5823672413825989,0.5829201340675354,0.20948168635368347,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
city,0.35769423842430115,0.23462864756584167,0.32503411173820496,0.35769423842430115,0.22644324600696564,0.21418851613998413,0.15144364535808563,0.3186660706996918,0.2349124401807785,0.1933334767818451,0.15744195878505707,0.32503411173820496,0.17493832111358643,0.1293686032295227,0.32503411173820496,0.27280953526496887,0.13423943519592285
are,0.40399202704429626,0.15609823167324066,0.39081433415412903,0.40399202704429626,0.29127275943756104,0.06217791140079498,0.19916178286075592,0.5330929756164551,0.265255331993103,0.2350337952375412,0.4108889698982239,0.39081433415412903,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.15150071680545807,0.24591213464736938
the,1.0,0.2847244441509247,0.733189046382904,1.0,0.39765822887420654,0.18435479700565338,0.2394849956035614,0.5823672413825989,0.5829201340675354,0.20948168635368347,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.22068053483963013
house,0.2847244441509247,0.9999998807907104,0.285114049911499,0.2847244441509247,0.19045282900333405,0.18826425075531006,0.31997427344322205,0.2084006369113922,0.26758551597595215,0.12830254435539246,0.1831550896167755,0.285114049911499,0.200801283121109,0.10964325815439224,0.285114049911499,0.23519815504550934,0.13736455142498016
of,0.733189046382904,0.285114049911499,1.0,0.733189046382904,0.3376273214817047,0.17877620458602905,0.1893671154975891,0.4854315221309662,0.5052502155303955,0.1985267549753189,0.3570667505264282,1.0,0.33290785551071167,0.18112817406654358,1.0,0.2756515443325043,0.1826142966747284
baryczko,0.39765822887420654,0.19045282900333405,0.3376273214817047,0.39765822887420654,1.0,0.2142687290906906,0.2183103859424591,0.3131313621997833,0.3702163100242615,0.3021465837955475,0.29747459292411804,0.3376273214817047,0.30303624272346497,0.24383904039859772,0.3376273214817047,0.20151618123054504,0.2568697929382324
merchant,0.18435479700565338,0.18826425075531006,0.17877620458602905,0.18435479700565338,0.2142687290906906,1.0000001192092896,0.21409568190574646,0.14698295295238495,0.22357913851737976,0.19193397462368011,0.13057467341423035,0.17877620458602905,0.10597449541091919,-0.0018370664911344647,0.17877620458602905,0.13741843402385712,0.07701034098863602
family,0.2394849956035614,0.31997427344322205,0.1893671154975891,0.2394849956035614,0.2183103859424591,0.21409568190574646,0.9999998807907104,0.20392227172851562,0.24362227320671082,0.1368664801120758,0.19305676221847534,0.1893671154975891,0.16391263902187347,0.1312943696975708,0.1893671154975891,0.17374563217163086,0.15222905576229095
